# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.998000, 0.990385, 0.980769, 1.000000, 0.989177, 0.980769, 0.989234, 2.961538, 0.996094, 1.000000, 0.990291, 0.990338
1, 0.996000, 0.997788, 1.000000, 0.960000, 0.977376, 0.958333, 0.977626, 3.004444, 0.967742, 1.000000, 0.979592, 0.997785
2, 0.998000, 0.989796, 0.979592, 1.000000, 0.988583, 0.979592, 0.988648, 2.959184, 0.995851, 1.000000, 0.989691, 0.989743
3, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.999977, 0.989899, 0.998891
4, 0.990000, 0.985556, 0.980000, 0.924528, 0.945887, 0.900000, 0.946386, 2.968969, 0.935115, 1.000000, 0.951456, 0.985540
5, 0.998000, 0.990000, 0.980000, 1.000000, 0.988789, 0.980000, 0.988851, 2.960000, 0.995935, 0.999978, 0.989899, 0.989949
6, 0.994000, 0.996667, 1.000000, 0.943396, 0.967532, 0.940000, 0.968043, 3.006711, 0.954198, 1.000000, 0.970874, 0.996661
7, 0.996000, 0.997788, 1.000000, 0.960000, 0.977376, 0.958333, 0.977626, 3.004444, 0.967742, 1.000000, 0.979592, 0.997785
8, 0.992000, 0.987036, 0.980769, 0.944444, 0.957792, 0.923077, 0.958005, 2.968280, 0.951493, 0.999979, 0.962264, 0.987017
9, 0.994000, 0.978889, 0.960000, 0.979592, 0.966368, 0.940000, 0.966428, 2.922227, 0.975610, 1.000000, 0.969697, 0.978707
10, 0.990000, 0.984947, 0.978723, 0.920000, 0.942922, 0.893617, 0.943476, 2.966355, 0.931174, 0.999930, 0.948454, 0.984927
11, 0.988000, 0.976658, 0.962264, 0.927273, 0.937721, 0.886792, 0.937923, 2.933558, 0.934066, 0.999831, 0.944444, 0.976552
12, 0.992000, 0.995585, 1.000000, 0.921569, 0.954757, 0.914894, 0.955736, 3.008909, 0.936255, 1.000000, 0.959184, 0.995575
13, 0.994000, 0.987371, 0.979167, 0.959184, 0.965750, 0.937500, 0.965813, 2.962778, 0.963115, 1.000000, 0.969072, 0.987337
14, 0.994000, 0.996644, 1.000000, 0.946429, 0.969113, 0.943396, 0.969576, 3.006757, 0.956679, 1.000000, 0.972477, 0.996639
15, 0.998000, 0.998899, 1.000000, 0.978723, 0.988145, 0.978261, 0.988214, 3.002208, 0.982906, 1.000000, 0.989247, 0.998898
16, 0.994000, 0.996659, 1.000000, 0.944444, 0.968080, 0.941176, 0.968573, 3.006726, 0.955056, 0.999956, 0.971429, 0.996654
17, 0.994000, 0.978483, 0.959184, 0.979167, 0.965750, 0.938776, 0.965813, 2.920590, 0.975104, 1.000000, 0.969072, 0.978293
18, 0.992000, 0.978895, 0.962264, 0.962264, 0.957790, 0.924528, 0.957790, 2.929023, 0.962264, 1.000000, 0.962264, 0.978754
19, 0.992000, 0.995585, 1.000000, 0.921569, 0.954757, 0.914894, 0.955736, 3.008909, 0.936255, 1.000000, 0.959184, 0.995575
20, 0.988000, 0.984253, 0.979592, 0.905660, 0.934506, 0.877551, 0.935398, 2.970394, 0.919540, 0.999909, 0.941176, 0.984242
21, 0.992000, 0.995575, 1.000000, 0.923077, 0.955563, 0.916667, 0.956508, 3.008929, 0.937500, 1.000000, 0.960000, 0.995565
22, 0.988000, 0.984628, 0.980392, 0.909091, 0.936696, 0.882353, 0.937531, 2.972046, 0.922509, 0.999956, 0.943396, 0.984619
23, 0.992000, 0.978165, 0.960784, 0.960784, 0.956330, 0.921569, 0.956330, 2.926043, 0.960784, 1.000000, 0.960784, 0.978011
24, 0.992000, 0.995585, 1.000000, 0.921569, 0.954757, 0.914894, 0.955736, 3.008909, 0.936255, 1.000000, 0.959184, 0.995575
25, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
26, 0.998000, 0.990196, 0.980392, 1.000000, 0.988987, 0.980392, 0.989047, 2.960784, 0.996016, 0.999978, 0.990099, 0.990148
27, 0.992000, 0.987378, 0.981481, 0.946429, 0.959144, 0.925926, 0.959344, 2.969735, 0.953237, 1.000000, 0.963636, 0.987360
28, 0.996000, 0.987004, 0.976190, 0.976190, 0.974007, 0.952381, 0.974007, 2.954569, 0.976190, 1.000000, 0.976190, 0.986944
29, 0.994000, 0.996652, 1.000000, 0.945455, 0.968606, 0.942308, 0.969084, 3.006742, 0.955882, 1.000000, 0.971963, 0.996646
30, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 1.000000, 0.989899, 0.998891
31, 0.996000, 0.997783, 1.000000, 0.960784, 0.977779, 0.959184, 0.978020, 3.004454, 0.968379, 1.000000, 0.980000, 0.997780
32, 0.994000, 0.969388, 0.938776, 1.000000, 0.965110, 0.938776, 0.965698, 2.877551, 0.987124, 1.000000, 0.968421, 0.968904
33, 0.986000, 0.976200, 0.963636, 0.913793, 0.930168, 0.872727, 0.930584, 2.938636, 0.923345, 1.000000, 0.938053, 0.976119
34, 0.992000, 0.995585, 1.000000, 0.921569, 0.954757, 0.914894, 0.955736, 3.008909, 0.936255, 1.000000, 0.959184, 0.995575
35, 0.996000, 0.988258, 0.978723, 0.978723, 0.976516, 0.957447, 0.976516, 2.959659, 0.978723, 1.000000, 0.978723, 0.988212
36, 0.994000, 0.996674, 1.000000, 0.942308, 0.966963, 0.938776, 0.967491, 3.006696, 0.953307, 1.000000, 0.970297, 0.996669
