# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.100000, 0.500000, 1.000000, 0.100000, 0.000000, -8.000000, 0.000000, 3.000000, 0.121951, 0.908933, 0.181818, 0.000000
1, 0.108000, 0.500000, 1.000000, 0.108000, 0.000000, -7.259259, 0.000000, 3.000000, 0.131451, 0.881000, 0.194946, 0.000000
2, 0.092000, 0.501099, 1.000000, 0.090180, 0.000396, -9.088889, 0.014078, 457.000000, 0.110240, 0.754774, 0.165441, 0.046881
3, 0.130000, 0.505107, 0.981132, 0.106996, 0.002220, -7.207547, 0.019061, 36.346880, 0.130195, 0.601410, 0.192950, 0.168920
4, 0.314000, 0.583352, 0.918367, 0.117188, 0.041192, -6.000000, 0.117419, 5.863520, 0.141956, 0.676049, 0.207852, 0.477561
5, 0.690000, 0.655331, 0.611111, 0.197605, 0.161836, -1.870370, 0.204443, 2.651709, 0.228532, 0.666085, 0.298643, 0.653838
6, 0.878000, 0.596178, 0.255814, 0.275000, 0.198634, -0.418605, 0.198788, 1.579385, 0.270936, 0.646023, 0.265060, 0.489470
7, 0.896000, 0.551028, 0.117647, 0.461538, 0.152377, -0.019608, 0.194095, 1.251131, 0.291262, 0.689026, 0.187500, 0.340313
8, 0.916000, 0.581121, 0.166667, 0.800000, 0.251070, 0.125000, 0.341393, 1.337778, 0.454545, 0.749124, 0.275862, 0.407344
9, 0.906000, 0.588662, 0.181818, 0.833333, 0.269733, 0.145455, 0.362517, 1.368151, 0.485437, 0.887681, 0.298507, 0.425442
10, 0.924000, 0.605279, 0.212766, 0.909091, 0.320604, 0.191489, 0.418909, 1.427744, 0.549451, 0.908412, 0.344828, 0.460756
11, 0.930000, 0.642857, 0.285714, 1.000000, 0.419145, 0.285714, 0.514916, 1.571429, 0.666667, 0.928956, 0.444444, 0.534522
12, 0.926000, 0.663326, 0.333333, 0.850000, 0.447101, 0.274510, 0.504496, 1.673393, 0.648855, 0.969999, 0.478873, 0.575418
13, 0.968000, 0.840000, 0.680000, 1.000000, 0.792746, 0.680000, 0.810341, 2.360000, 0.913978, 0.989867, 0.809524, 0.824621
14, 0.968000, 0.836735, 0.673469, 1.000000, 0.788169, 0.673469, 0.806471, 2.346939, 0.911602, 0.988552, 0.804878, 0.820652
15, 0.970000, 0.840426, 0.680851, 1.000000, 0.794476, 0.680851, 0.811806, 2.361702, 0.914286, 0.997652, 0.810127, 0.825137
16, 0.974000, 0.904044, 0.814815, 0.936170, 0.856904, 0.759259, 0.859459, 2.636402, 0.909091, 0.996927, 0.871287, 0.899630
17, 0.984000, 0.914894, 0.829787, 1.000000, 0.898307, 0.829787, 0.902988, 2.659574, 0.960591, 0.998450, 0.906977, 0.910927
18, 0.994000, 0.980014, 0.962264, 0.980769, 0.968077, 0.943396, 0.968132, 2.926770, 0.977011, 0.999831, 0.971429, 0.979853
19, 0.996000, 0.988477, 0.979167, 0.979167, 0.976954, 0.958333, 0.976954, 2.960551, 0.979167, 0.999908, 0.979167, 0.988433
20, 0.994000, 0.987778, 0.980000, 0.960784, 0.966960, 0.940000, 0.967019, 2.964464, 0.964567, 0.999467, 0.970297, 0.987747
21, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.999955, 0.989899, 0.998891
22, 0.990000, 0.960422, 0.923077, 0.979592, 0.944939, 0.903846, 0.945455, 2.848391, 0.967742, 0.998798, 0.950495, 0.959696
23, 0.992000, 0.986470, 0.979592, 0.941176, 0.955558, 0.918367, 0.955794, 2.965880, 0.948617, 0.999683, 0.960000, 0.986446
24, 0.990000, 0.985556, 0.980000, 0.924528, 0.945887, 0.900000, 0.946386, 2.968969, 0.935115, 0.999244, 0.951456, 0.985540
25, 0.994000, 0.996674, 1.000000, 0.942308, 0.966963, 0.938776, 0.967491, 3.006696, 0.953307, 1.000000, 0.970297, 0.996669
26, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
27, 0.992000, 0.977778, 0.960000, 0.960000, 0.955556, 0.920000, 0.955556, 2.924464, 0.960000, 0.999422, 0.960000, 0.977616
28, 0.994000, 0.996659, 1.000000, 0.944444, 0.968080, 0.941176, 0.968573, 3.006726, 0.955056, 0.999607, 0.971429, 0.996654
29, 0.988000, 0.967806, 0.942308, 0.942308, 0.935611, 0.884615, 0.935611, 2.891357, 0.942308, 0.998841, 0.942308, 0.967470
30, 0.998000, 0.989362, 0.978723, 1.000000, 0.988145, 0.978723, 0.988214, 2.957447, 0.995671, 0.998356, 0.989247, 0.989305
31, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
32, 0.996000, 0.988258, 0.978723, 0.978723, 0.976516, 0.957447, 0.976516, 2.959659, 0.978723, 0.999953, 0.978723, 0.988212
33, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
34, 0.994000, 0.986928, 0.978261, 0.957447, 0.964435, 0.934783, 0.964503, 2.960947, 0.961538, 0.999713, 0.967742, 0.986890
35, 0.990000, 0.969461, 0.943396, 0.961538, 0.946795, 0.905660, 0.946849, 2.891287, 0.957854, 0.999114, 0.952381, 0.969111
36, 0.996000, 0.997768, 1.000000, 0.962963, 0.978896, 0.961538, 0.979114, 3.004484, 0.970149, 1.000000, 0.981132, 0.997765
