# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.976000, 0.986667, 1.000000, 0.806452, 0.879518, 0.760000, 0.885972, 3.027397, 0.838926, 0.996200, 0.892857, 0.986577
1, 0.982000, 0.981287, 0.980392, 0.862069, 0.907377, 0.823529, 0.909741, 2.978925, 0.883392, 0.993930, 0.917431, 0.981287
2, 0.986000, 0.992222, 1.000000, 0.877193, 0.926778, 0.860000, 0.929273, 3.015801, 0.899281, 0.997244, 0.934579, 0.992192
3, 0.992000, 0.995595, 1.000000, 0.920000, 0.953917, 0.913043, 0.954932, 3.008889, 0.934959, 0.997366, 0.958333, 0.995585
4, 0.988000, 0.984973, 0.981132, 0.912281, 0.938723, 0.886792, 0.939507, 2.973576, 0.925267, 0.995863, 0.945455, 0.984966
5, 0.984000, 0.982401, 0.980392, 0.877193, 0.916988, 0.843137, 0.918771, 2.976621, 0.896057, 0.997926, 0.925926, 0.982399
6, 0.988000, 0.993377, 1.000000, 0.886792, 0.933360, 0.872340, 0.935439, 3.013423, 0.907336, 0.998779, 0.940000, 0.993355
7, 0.990000, 0.994457, 1.000000, 0.907407, 0.945897, 0.897959, 0.947284, 3.011211, 0.924528, 0.999932, 0.951456, 0.994441
8, 0.992000, 0.979239, 0.962963, 0.962963, 0.958479, 0.925926, 0.958479, 2.930430, 0.962963, 0.999585, 0.962963, 0.979104
9, 0.978000, 0.977671, 0.977273, 0.811321, 0.874532, 0.750000, 0.879177, 2.976967, 0.839844, 0.997757, 0.886598, 0.977671
10, 0.990000, 0.994395, 1.000000, 0.915254, 0.950128, 0.907407, 0.951311, 3.011338, 0.931034, 0.999875, 0.955752, 0.994379
11, 0.994000, 0.996674, 1.000000, 0.942308, 0.966963, 0.938776, 0.967491, 3.006696, 0.953307, 0.997715, 0.970297, 0.996669
12, 0.978000, 0.979060, 0.980392, 0.833333, 0.888619, 0.784314, 0.892332, 2.983563, 0.859107, 0.995458, 0.900901, 0.979059
13, 0.994000, 0.996689, 1.000000, 0.940000, 0.965753, 0.936170, 0.966320, 3.006667, 0.951417, 0.996407, 0.969072, 0.996683
14, 0.992000, 0.987210, 0.981132, 0.945455, 0.958480, 0.924528, 0.958687, 2.969021, 0.952381, 0.997214, 0.962963, 0.987192
