# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.999952, 1.000000, 1.000000
1, 0.998000, 0.998737, 1.000000, 0.990476, 0.993951, 0.990385, 0.993969, 3.002532, 0.992366, 1.000000, 0.995215, 0.998737
2, 0.998000, 0.998768, 1.000000, 0.989474, 0.993476, 0.989362, 0.993497, 3.002469, 0.991561, 1.000000, 0.994709, 0.998768
3, 0.994000, 0.996287, 1.000000, 0.969697, 0.980890, 0.968750, 0.981069, 3.007481, 0.975610, 0.998711, 0.984615, 0.996280
4, 0.994000, 0.996241, 1.000000, 0.971154, 0.981593, 0.970297, 0.981760, 3.007576, 0.976789, 0.997370, 0.985366, 0.996234
5, 0.998000, 0.998737, 1.000000, 0.990476, 0.993951, 0.990385, 0.993969, 3.002532, 0.992366, 1.000000, 0.995215, 0.998737
6, 0.982000, 0.988722, 1.000000, 0.918182, 0.945965, 0.910891, 0.947349, 3.023077, 0.933457, 0.994987, 0.957346, 0.988657
7, 0.986000, 0.991443, 1.000000, 0.928571, 0.954346, 0.923077, 0.955342, 3.017413, 0.942029, 0.998778, 0.962963, 0.991406
8, 0.998000, 0.998734, 1.000000, 0.990566, 0.993993, 0.990476, 0.994011, 3.002538, 0.992439, 1.000000, 0.995261, 0.998733
9, 0.994000, 0.996222, 1.000000, 0.971698, 0.981854, 0.970874, 0.982016, 3.007614, 0.977230, 0.999939, 0.985646, 0.996214
10, 0.994000, 0.996278, 1.000000, 0.970000, 0.981037, 0.969072, 0.981213, 3.007500, 0.975855, 0.998734, 0.984772, 0.996271
11, 0.996000, 0.997531, 1.000000, 0.979381, 0.987108, 0.978947, 0.987190, 3.004963, 0.983437, 1.000000, 0.989583, 0.997528
12, 0.990000, 0.990000, 0.990000, 0.961165, 0.969098, 0.950000, 0.969264, 2.990101, 0.966797, 0.998725, 0.975369, 0.990000
13, 0.992000, 0.994975, 1.000000, 0.962264, 0.975721, 0.960784, 0.976009, 3.010152, 0.969582, 0.997487, 0.980769, 0.994962
14, 0.990000, 0.993719, 1.000000, 0.953271, 0.969760, 0.950980, 0.970204, 3.012723, 0.962264, 1.000000, 0.976077, 0.993699
15, 0.992000, 0.995037, 1.000000, 0.960396, 0.974813, 0.958763, 0.975122, 3.010025, 0.968064, 0.998759, 0.979798, 0.995025
16, 0.986000, 0.991139, 1.000000, 0.937500, 0.958814, 0.933333, 0.959628, 3.018041, 0.949367, 0.998734, 0.967742, 0.991100
17, 0.984000, 0.990050, 1.000000, 0.924528, 0.950753, 0.918367, 0.951908, 3.020305, 0.938697, 0.998756, 0.960784, 0.990000
18, 0.982000, 0.988834, 1.000000, 0.915094, 0.944401, 0.907216, 0.945864, 3.022843, 0.930902, 0.998759, 0.955665, 0.988771
19, 0.994000, 0.996231, 1.000000, 0.971429, 0.981725, 0.970588, 0.981889, 3.007595, 0.977011, 0.998744, 0.985507, 0.996224
20, 0.990000, 0.993766, 1.000000, 0.951923, 0.969101, 0.949495, 0.969564, 3.012626, 0.961165, 1.000000, 0.975369, 0.993746
21, 0.974000, 0.983627, 1.000000, 0.887931, 0.924069, 0.873786, 0.926744, 3.033854, 0.908289, 0.998741, 0.940639, 0.983491
22, 0.978000, 0.986318, 1.000000, 0.899083, 0.933038, 0.887755, 0.935137, 3.028133, 0.917603, 0.997512, 0.946860, 0.986224
23, 0.986000, 0.991315, 1.000000, 0.932692, 0.956426, 0.927835, 0.957336, 3.017677, 0.945419, 1.000000, 0.965174, 0.991277
