# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.996000, 0.997494, 1.000000, 0.980583, 0.987684, 0.980198, 0.987759, 3.005038, 0.984405, 0.999988, 0.990196, 0.997491
1, 0.992000, 0.987209, 0.979381, 0.979381, 0.974419, 0.958763, 0.974419, 2.963750, 0.979381, 0.999770, 0.979381, 0.987178
2, 0.988000, 0.985171, 0.980392, 0.961538, 0.963318, 0.941176, 0.963390, 2.970937, 0.965251, 0.999532, 0.970874, 0.985159
3, 0.988000, 0.984821, 0.979592, 0.960000, 0.962217, 0.938776, 0.962293, 2.969234, 0.963855, 0.999784, 0.969697, 0.984807
4, 0.992000, 0.984709, 0.971963, 0.990476, 0.976057, 0.962617, 0.976126, 2.946476, 0.986717, 0.999560, 0.981132, 0.984627
5, 0.984000, 0.974009, 0.957895, 0.957895, 0.948018, 0.915789, 0.948018, 2.925765, 0.957895, 0.999272, 0.957895, 0.973876
6, 0.986000, 0.983003, 0.978261, 0.947368, 0.953959, 0.923913, 0.954145, 2.968929, 0.953390, 0.999574, 0.962567, 0.982992
7, 0.986000, 0.976623, 0.960784, 0.970297, 0.956735, 0.931373, 0.956753, 2.929164, 0.968379, 0.999815, 0.965517, 0.976495
8, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.999889, 1.000000, 1.000000
9, 0.986000, 0.976057, 0.959596, 0.969388, 0.955750, 0.929293, 0.955769, 2.926730, 0.967413, 0.999156, 0.964467, 0.975919
10, 0.992000, 0.987209, 0.979381, 0.979381, 0.974419, 0.958763, 0.974419, 2.963750, 0.979381, 0.999923, 0.979381, 0.987178
11, 0.990000, 0.986250, 0.980000, 0.970297, 0.968867, 0.950000, 0.968886, 2.967557, 0.972222, 0.999713, 0.975124, 0.986230
12, 0.994000, 0.992667, 0.990385, 0.980952, 0.981853, 0.971154, 0.981871, 2.985845, 0.982824, 0.999939, 0.985646, 0.992664
13, 0.988000, 0.980963, 0.969388, 0.969388, 0.961925, 0.938776, 0.961925, 2.946294, 0.969388, 0.998642, 0.969388, 0.980894
14, 0.992000, 0.987108, 0.979167, 0.979167, 0.974216, 0.958333, 0.974216, 2.963308, 0.979167, 0.999820, 0.979167, 0.987076
15, 0.994000, 0.996222, 1.000000, 0.971698, 0.981854, 0.970874, 0.982016, 3.007614, 0.977230, 0.999878, 0.985646, 0.996214
16, 0.998000, 0.998724, 1.000000, 0.990826, 0.994115, 0.990741, 0.994132, 3.002558, 0.992647, 0.999941, 0.995392, 0.998724
17, 0.990000, 0.993842, 1.000000, 0.949495, 0.967903, 0.946809, 0.968402, 3.012469, 0.959184, 1.000000, 0.974093, 0.993823
18, 0.990000, 0.978750, 0.960000, 0.989691, 0.968394, 0.950000, 0.968569, 2.922506, 0.983607, 0.999750, 0.974619, 0.978570
19, 0.988000, 0.980814, 0.969072, 0.969072, 0.961628, 0.938144, 0.961628, 2.945644, 0.969072, 0.999962, 0.969072, 0.980744
20, 0.992000, 0.983450, 0.969388, 0.989583, 0.974419, 0.959184, 0.974499, 2.941269, 0.985477, 0.999937, 0.979381, 0.983350
21, 0.988000, 0.985086, 0.980198, 0.961165, 0.963051, 0.940594, 0.963125, 2.970523, 0.964912, 0.999876, 0.970588, 0.985074
22, 0.990000, 0.981900, 0.968750, 0.978947, 0.967642, 0.947917, 0.967662, 2.942475, 0.976891, 0.999910, 0.973822, 0.981812
23, 0.988000, 0.981108, 0.969697, 0.969697, 0.962216, 0.939394, 0.962216, 2.946932, 0.969697, 0.999874, 0.969697, 0.981041
24, 0.994000, 0.992543, 0.990099, 0.980392, 0.981458, 0.970297, 0.981476, 2.985236, 0.982318, 0.999901, 0.985222, 0.992540
25, 0.988000, 0.978421, 0.961905, 0.980583, 0.963579, 0.942857, 0.963650, 2.928899, 0.976789, 0.999566, 0.971154, 0.978281
26, 0.996000, 0.997494, 1.000000, 0.980583, 0.987684, 0.980198, 0.987759, 3.005038, 0.984405, 0.999888, 0.990196, 0.997491
27, 0.994000, 0.996278, 1.000000, 0.970000, 0.981037, 0.969072, 0.981213, 3.007500, 0.975855, 0.999949, 0.984772, 0.996271
28, 0.994000, 0.985714, 0.971429, 1.000000, 0.981725, 0.971429, 0.981889, 2.942857, 0.994152, 0.999735, 0.985507, 0.985611
29, 0.996000, 0.993796, 0.990099, 0.990099, 0.987593, 0.980198, 0.987593, 2.982711, 0.990099, 0.999901, 0.990099, 0.993789
30, 0.990000, 0.993932, 1.000000, 0.946237, 0.966276, 0.943182, 0.966826, 3.012285, 0.956522, 0.999972, 0.972376, 0.993914
31, 0.992000, 0.988028, 0.981132, 0.981132, 0.976056, 0.962264, 0.976056, 2.967366, 0.981132, 0.999629, 0.981132, 0.988004
