# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.988000, 0.991477, 1.000000, 0.961039, 0.971541, 0.959459, 0.971935, 3.017341, 0.968586, 1.000000, 0.980132, 0.991441
1, 0.996000, 0.997118, 1.000000, 0.987097, 0.990616, 0.986928, 0.990660, 3.005797, 0.989651, 0.998521, 0.993506, 0.997114
2, 0.994000, 0.995726, 1.000000, 0.980263, 0.985742, 0.979866, 0.985842, 3.008621, 0.984148, 0.997151, 0.990033, 0.995717
3, 0.992000, 0.994286, 1.000000, 0.974026, 0.981096, 0.973333, 0.981272, 3.011561, 0.979112, 0.994038, 0.986842, 0.994269
4, 0.982000, 0.987106, 1.000000, 0.943750, 0.958015, 0.940397, 0.958860, 3.026471, 0.954488, 0.999981, 0.971061, 0.987022
5, 0.992000, 0.994253, 1.000000, 0.974359, 0.981234, 0.973684, 0.981407, 3.011628, 0.979381, 0.998544, 0.987013, 0.994236
6, 0.996000, 0.997175, 1.000000, 0.986486, 0.990365, 0.986301, 0.990411, 3.005682, 0.989160, 0.998578, 0.993197, 0.997171
7, 0.998000, 0.998555, 1.000000, 0.993548, 0.995317, 0.993506, 0.995328, 3.002899, 0.994832, 0.999953, 0.996764, 0.998554
8, 0.998000, 0.998563, 1.000000, 0.993464, 0.995282, 0.993421, 0.995294, 3.002882, 0.994764, 0.998563, 0.996721, 0.998562
9, 0.992000, 0.994429, 1.000000, 0.972414, 0.980413, 0.971631, 0.980601, 3.011268, 0.977809, 0.998548, 0.986014, 0.994413
10, 0.982000, 0.986994, 1.000000, 0.944785, 0.958447, 0.941558, 0.959276, 3.026706, 0.955335, 0.998555, 0.971609, 0.986909
11, 0.990000, 0.992775, 1.000000, 0.968553, 0.976750, 0.967532, 0.977014, 3.014663, 0.974684, 0.999916, 0.984026, 0.992748
12, 0.996000, 0.997183, 1.000000, 0.986395, 0.990326, 0.986207, 0.990372, 3.005666, 0.989086, 0.998553, 0.993151, 0.997179
13, 0.982000, 0.985267, 0.993197, 0.948052, 0.957234, 0.938776, 0.957764, 3.009583, 0.956750, 0.999807, 0.970100, 0.985235
14, 0.998000, 0.998542, 1.000000, 0.993671, 0.995366, 0.993631, 0.995376, 3.002924, 0.994930, 0.999889, 0.996825, 0.998541
15, 0.994000, 0.995822, 1.000000, 0.979167, 0.985279, 0.978723, 0.985385, 3.008427, 0.983264, 0.999951, 0.989474, 0.995813
16, 0.984000, 0.988506, 1.000000, 0.950000, 0.962742, 0.947368, 0.963411, 3.023529, 0.959596, 0.994215, 0.974359, 0.988439
17, 0.988000, 0.989527, 0.993421, 0.967949, 0.971851, 0.960526, 0.972022, 3.001419, 0.972938, 0.993582, 0.980519, 0.989519
18, 0.990000, 0.992857, 1.000000, 0.967742, 0.976415, 0.966667, 0.976687, 3.014493, 0.974026, 0.998571, 0.983607, 0.992831
19, 0.990000, 0.990958, 0.993377, 0.974026, 0.976413, 0.966887, 0.976511, 2.998349, 0.977836, 0.998321, 0.983607, 0.990955
20, 0.980000, 0.985755, 1.000000, 0.937107, 0.953104, 0.932886, 0.954153, 3.029326, 0.949045, 0.999704, 0.967532, 0.985652
21, 0.994000, 0.995677, 1.000000, 0.980769, 0.985950, 0.980392, 0.986048, 3.008721, 0.984556, 0.999972, 0.990291, 0.995668
