# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.992000, 0.983740, 0.967480, 1.000000, 0.978196, 0.967480, 0.978429, 2.934959, 0.993322, 1.000000, 0.983471, 0.983605
1, 0.996000, 0.994667, 0.992000, 0.992000, 0.989333, 0.984000, 0.989333, 2.986674, 0.992000, 0.999552, 0.992000, 0.994663
2, 0.980000, 0.960317, 0.920635, 1.000000, 0.945515, 0.920635, 0.946921, 2.841270, 0.983051, 1.000000, 0.958678, 0.959497
3, 0.988000, 0.976562, 0.953125, 1.000000, 0.968006, 0.953125, 0.968502, 2.906250, 0.990260, 1.000000, 0.976000, 0.976281
4, 0.988000, 0.976190, 0.952381, 1.000000, 0.967658, 0.952381, 0.968165, 2.904762, 0.990099, 1.000000, 0.975610, 0.975900
5, 0.984000, 0.966667, 0.933333, 1.000000, 0.955117, 0.933333, 0.956080, 2.866667, 0.985915, 1.000000, 0.965517, 0.966092
6, 0.986000, 0.971545, 0.943089, 1.000000, 0.961523, 0.943089, 0.962236, 2.886179, 0.988075, 1.000000, 0.970711, 0.971128
7, 0.992000, 0.984615, 0.969231, 1.000000, 0.979000, 0.969231, 0.979216, 2.938462, 0.993691, 1.000000, 0.984375, 0.984495
8, 0.988000, 0.977679, 0.957983, 0.991304, 0.966529, 0.949580, 0.966770, 2.918598, 0.984456, 0.999978, 0.974359, 0.977481
9, 0.984000, 0.969925, 0.939850, 1.000000, 0.958225, 0.939850, 0.959062, 2.879699, 0.987362, 1.000000, 0.968992, 0.969458
10, 0.990000, 0.979508, 0.959016, 1.000000, 0.972513, 0.959016, 0.972881, 2.918033, 0.991525, 1.000000, 0.979079, 0.979294
11, 0.990000, 0.979508, 0.959016, 1.000000, 0.972513, 0.959016, 0.972881, 2.918033, 0.991525, 1.000000, 0.979079, 0.979294
12, 0.990000, 0.981203, 0.962406, 1.000000, 0.974080, 0.962406, 0.974408, 2.924812, 0.992248, 1.000000, 0.980843, 0.981023
13, 0.984000, 0.964602, 0.929204, 1.000000, 0.953090, 0.929204, 0.954141, 2.858407, 0.984991, 1.000000, 0.963303, 0.963952
14, 0.994000, 0.988189, 0.976378, 1.000000, 0.984043, 0.976378, 0.984169, 2.952756, 0.995185, 1.000000, 0.988048, 0.988118
15, 0.984000, 0.968504, 0.937008, 1.000000, 0.956884, 0.937008, 0.957775, 2.874016, 0.986733, 0.999979, 0.967480, 0.967992
16, 0.990000, 0.980000, 0.960000, 1.000000, 0.972973, 0.960000, 0.973329, 2.920000, 0.991736, 1.000000, 0.979592, 0.979796
17, 0.994000, 0.988000, 0.976000, 1.000000, 0.983871, 0.976000, 0.983999, 2.952000, 0.995106, 1.000000, 0.987854, 0.987927
18, 0.986000, 0.971311, 0.942623, 1.000000, 0.961300, 0.942623, 0.962021, 2.885246, 0.987973, 1.000000, 0.970464, 0.970888
19, 0.994000, 0.988095, 0.976190, 1.000000, 0.983958, 0.976190, 0.984085, 2.952381, 0.995146, 1.000000, 0.987952, 0.988024
20, 0.990000, 0.980769, 0.961538, 1.000000, 0.973684, 0.961538, 0.974022, 2.923077, 0.992063, 1.000000, 0.980392, 0.980581
21, 0.994000, 0.987603, 0.975207, 1.000000, 0.983506, 0.975207, 0.983640, 2.950413, 0.994941, 1.000000, 0.987448, 0.987525
22, 0.988000, 0.976190, 0.952381, 1.000000, 0.967658, 0.952381, 0.968165, 2.904762, 0.990099, 1.000000, 0.975610, 0.975900
23, 0.996000, 0.991935, 0.983871, 1.000000, 0.989218, 0.983871, 0.989275, 2.967742, 0.996732, 1.000000, 0.991870, 0.991903
24, 0.994000, 0.987903, 0.975806, 1.000000, 0.983782, 0.975806, 0.983912, 2.951613, 0.995066, 1.000000, 0.987755, 0.987829
25, 0.988000, 0.975610, 0.951220, 1.000000, 0.967112, 0.951220, 0.967635, 2.902439, 0.989848, 1.000000, 0.975000, 0.975305
26, 0.986000, 0.972222, 0.944444, 1.000000, 0.962167, 0.944444, 0.962856, 2.888889, 0.988372, 1.000000, 0.971429, 0.971825
27, 0.990000, 0.979508, 0.959016, 1.000000, 0.972513, 0.959016, 0.972881, 2.918033, 0.991525, 1.000000, 0.979079, 0.979294
28, 0.990000, 0.980469, 0.960938, 1.000000, 0.973408, 0.960938, 0.973752, 2.921875, 0.991935, 1.000000, 0.980080, 0.980274
29, 0.978000, 0.954167, 0.908333, 1.000000, 0.937741, 0.908333, 0.939563, 2.816667, 0.980216, 1.000000, 0.951965, 0.953065
30, 0.992000, 0.984615, 0.969231, 1.000000, 0.979000, 0.969231, 0.979216, 2.938462, 0.993691, 1.000000, 0.984375, 0.984495
31, 0.988000, 0.977099, 0.954198, 1.000000, 0.968504, 0.954198, 0.968985, 2.908397, 0.990491, 1.000000, 0.976562, 0.976831
32, 0.980000, 0.958678, 0.917355, 1.000000, 0.943907, 0.917355, 0.945396, 2.834711, 0.982301, 1.000000, 0.956897, 0.957787
33, 0.984000, 0.966942, 0.933884, 1.000000, 0.955384, 0.933884, 0.956336, 2.867769, 0.986038, 1.000000, 0.965812, 0.966377
34, 0.988000, 0.976000, 0.952000, 1.000000, 0.967480, 0.952000, 0.967992, 2.904000, 0.990017, 1.000000, 0.975410, 0.975705
35, 0.986000, 0.969828, 0.939655, 1.000000, 0.959868, 0.939655, 0.960642, 2.879310, 0.987319, 1.000000, 0.968889, 0.969358
36, 0.990000, 0.982014, 0.964029, 1.000000, 0.974811, 0.964029, 0.975120, 2.928058, 0.992593, 1.000000, 0.981685, 0.981850
