# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.486000, 0.577089, 0.872832, 0.391192, 0.119525, -0.485549, 0.174813, 5.300013, 0.439720, 0.612151, 0.540250, 0.495548
1, 0.636000, 0.595854, 0.460227, 0.482143, 0.193720, -0.034091, 0.193842, 2.287543, 0.477594, 0.685992, 0.470930, 0.580214
2, 0.708000, 0.603233, 0.267442, 0.696970, 0.241921, 0.151163, 0.289757, 1.599819, 0.527523, 0.796423, 0.386555, 0.501133
3, 0.784000, 0.700374, 0.425287, 0.902439, 0.457090, 0.379310, 0.515536, 1.875732, 0.737052, 0.919470, 0.578125, 0.644089
4, 0.854000, 0.810917, 0.659218, 0.907692, 0.661912, 0.592179, 0.679644, 2.357271, 0.844063, 0.975809, 0.763754, 0.796602
5, 0.930000, 0.922202, 0.896552, 0.901734, 0.845537, 0.798851, 0.845546, 2.848120, 0.900693, 0.993442, 0.899135, 0.921845
6, 0.932000, 0.939929, 0.964706, 0.854167, 0.853094, 0.800000, 0.856974, 3.022127, 0.874200, 0.995419, 0.906077, 0.939602
7, 0.924000, 0.938221, 0.994652, 0.834081, 0.843747, 0.796791, 0.853146, 3.123363, 0.861909, 0.997813, 0.907317, 0.936522
8, 0.938000, 0.951961, 0.994012, 0.846939, 0.866421, 0.814371, 0.873266, 3.087034, 0.872766, 0.998921, 0.914601, 0.951032
9, 0.954000, 0.964054, 0.993976, 0.882353, 0.899490, 0.861446, 0.903301, 3.058465, 0.902626, 0.998954, 0.934844, 0.963589
10, 0.976000, 0.979494, 0.994819, 0.945813, 0.949850, 0.937824, 0.950681, 3.026799, 0.955224, 0.998937, 0.969697, 0.979374
11, 0.972000, 0.978979, 1.000000, 0.922652, 0.938351, 0.916168, 0.940139, 3.043887, 0.937149, 0.999820, 0.959770, 0.978753
12, 0.984000, 0.982840, 0.978378, 0.978378, 0.965680, 0.956757, 0.965680, 2.969618, 0.978378, 0.999142, 0.978378, 0.982830
13, 0.988000, 0.987950, 0.987805, 0.975904, 0.972863, 0.963415, 0.972903, 2.987658, 0.978261, 0.999492, 0.981818, 0.987950
