# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.090000, 0.146535, 0.236559, 0.054187, -0.307592, -3.892473, -0.704025, 18.168770, 0.064065, 0.112150, 0.088176, 0.115621
1, 0.546000, 0.350256, 0.019608, 0.015504, -0.272650, -1.225490, -0.275828, 1.507850, 0.016181, 0.273278, 0.017316, 0.115547
2, 0.784000, 0.494925, 0.009901, 0.111111, -0.015381, -0.069307, -0.030649, 1.040262, 0.036496, 0.548128, 0.018182, 0.098501
3, 0.806000, 0.503914, 0.010309, 0.500000, 0.012461, 0.000000, 0.049040, 1.023106, 0.047619, 0.709447, 0.020202, 0.101409
4, 0.800000, 0.514563, 0.029126, 1.000000, 0.045474, 0.029126, 0.152531, 1.058252, 0.130435, 0.867477, 0.056604, 0.170664
5, 0.814000, 0.561321, 0.122642, 1.000000, 0.180530, 0.122642, 0.314994, 1.245283, 0.411392, 0.954051, 0.218487, 0.350202
6, 0.880000, 0.684939, 0.372340, 0.972222, 0.484819, 0.361702, 0.559081, 1.747150, 0.735294, 0.990908, 0.538462, 0.609445
7, 0.920000, 0.799777, 0.602041, 0.983333, 0.702558, 0.591837, 0.732406, 2.206575, 0.872781, 0.991395, 0.746835, 0.774947
8, 0.962000, 0.909890, 0.824742, 0.975610, 0.870910, 0.804124, 0.875468, 2.654472, 0.941176, 0.995523, 0.893855, 0.905897
9, 0.968000, 0.960344, 0.947917, 0.892157, 0.899265, 0.833333, 0.899907, 2.923823, 0.902778, 0.998556, 0.919192, 0.960264
10, 0.968000, 0.965618, 0.961538, 0.892857, 0.905553, 0.846154, 0.906565, 2.954327, 0.905797, 0.998932, 0.925926, 0.965609
11, 0.964000, 0.973699, 0.990654, 0.861789, 0.898509, 0.831776, 0.902188, 3.026521, 0.884808, 0.999453, 0.921739, 0.973551
12, 0.960000, 0.975124, 1.000000, 0.830508, 0.882176, 0.795918, 0.888363, 3.052356, 0.859649, 0.999695, 0.907407, 0.974807
13, 0.982000, 0.988861, 1.000000, 0.914286, 0.943988, 0.906250, 0.945472, 3.022785, 0.930233, 0.999974, 0.955224, 0.988799
14, 0.990000, 0.993671, 1.000000, 0.954545, 0.970379, 0.952381, 0.970805, 3.012821, 0.963303, 0.999879, 0.976744, 0.993651
15, 0.996000, 0.997512, 1.000000, 0.980000, 0.987406, 0.979592, 0.987484, 3.005000, 0.983936, 0.999873, 0.989899, 0.997509
16, 0.994000, 0.992456, 0.989899, 0.980000, 0.981179, 0.969697, 0.981199, 2.984811, 0.981964, 0.999673, 0.984925, 0.992452
17, 0.998000, 0.998747, 1.000000, 0.990196, 0.993819, 0.990099, 0.993838, 3.002513, 0.992141, 1.000000, 0.995074, 0.998746
18, 0.990000, 0.974227, 0.948454, 1.000000, 0.967385, 0.948454, 0.967900, 2.896907, 0.989247, 0.999360, 0.973545, 0.973886
19, 0.990000, 0.979136, 0.960784, 0.989899, 0.968868, 0.950980, 0.969037, 2.924088, 0.983936, 0.999754, 0.975124, 0.978964
20, 0.996000, 0.989691, 0.979381, 1.000000, 0.987108, 0.979381, 0.987190, 2.958763, 0.995807, 0.999898, 0.989583, 0.989637
21, 0.994000, 0.992364, 0.989691, 0.979592, 0.980889, 0.969072, 0.980909, 2.984369, 0.981595, 0.999949, 0.984615, 0.992360
22, 0.996000, 0.993750, 0.990000, 0.990000, 0.987500, 0.980000, 0.987500, 2.982506, 0.990000, 0.999725, 0.990000, 0.993743
23, 0.996000, 0.990654, 0.981308, 1.000000, 0.988028, 0.981308, 0.988099, 2.962617, 0.996205, 0.999738, 0.990566, 0.990610
24, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
25, 0.996000, 0.990826, 0.981651, 1.000000, 0.988190, 0.981651, 0.988259, 2.963303, 0.996276, 0.999859, 0.990741, 0.990783
26, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
27, 0.994000, 0.988750, 0.980000, 0.989899, 0.981179, 0.970000, 0.981199, 2.962506, 0.987903, 0.999925, 0.984925, 0.988711
