# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
4, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
5, 0.998000, 0.998731, 1.000000, 0.990654, 0.994035, 0.990566, 0.994052, 3.002545, 0.992509, 1.000000, 0.995305, 0.998730
6, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
7, 0.998000, 0.998756, 1.000000, 0.989899, 0.993679, 0.989796, 0.993698, 3.002494, 0.991903, 1.000000, 0.994924, 0.998755
8, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
9, 0.998000, 0.998762, 1.000000, 0.989691, 0.993580, 0.989583, 0.993600, 3.002481, 0.991736, 1.000000, 0.994819, 0.998762
10, 0.998000, 0.998737, 1.000000, 0.990476, 0.993951, 0.990385, 0.993969, 3.002532, 0.992366, 1.000000, 0.995215, 0.998737
11, 0.996000, 0.997455, 1.000000, 0.981651, 0.988190, 0.981308, 0.988259, 3.005115, 0.985267, 1.000000, 0.990741, 0.997452
12, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
13, 0.996000, 0.997525, 1.000000, 0.979592, 0.987210, 0.979167, 0.987290, 3.004975, 0.983607, 0.998762, 0.989691, 0.997522
14, 0.996000, 0.997468, 1.000000, 0.981308, 0.988028, 0.980952, 0.988099, 3.005089, 0.984991, 0.998734, 0.990566, 0.997465
15, 0.998000, 0.998756, 1.000000, 0.989899, 0.993679, 0.989796, 0.993698, 3.002494, 0.991903, 1.000000, 0.994924, 0.998755
16, 0.996000, 0.997506, 1.000000, 0.980198, 0.987500, 0.979798, 0.987577, 3.005013, 0.984095, 1.000000, 0.990000, 0.997503
17, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
18, 0.998000, 0.998759, 1.000000, 0.989796, 0.993630, 0.989691, 0.993650, 3.002488, 0.991820, 0.998759, 0.994872, 0.998759
19, 0.998000, 0.998744, 1.000000, 0.990291, 0.993864, 0.990196, 0.993883, 3.002519, 0.992218, 1.000000, 0.995122, 0.998743
20, 0.998000, 0.998759, 1.000000, 0.989796, 0.993630, 0.989691, 0.993650, 3.002488, 0.991820, 1.000000, 0.994872, 0.998759
21, 0.998000, 0.998759, 1.000000, 0.989796, 0.993630, 0.989691, 0.993650, 3.002488, 0.991820, 1.000000, 0.994872, 0.998759
22, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
23, 0.998000, 0.998728, 1.000000, 0.990741, 0.994075, 0.990654, 0.994092, 3.002551, 0.992579, 1.000000, 0.995349, 0.998727
24, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
25, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
26, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
27, 0.996000, 0.997500, 1.000000, 0.980392, 0.987593, 0.980000, 0.987669, 3.005025, 0.984252, 1.000000, 0.990099, 0.997497
28, 0.996000, 0.997487, 1.000000, 0.980769, 0.987773, 0.980392, 0.987847, 3.005051, 0.984556, 1.000000, 0.990291, 0.997484
29, 0.996000, 0.997512, 1.000000, 0.980000, 0.987406, 0.979592, 0.987484, 3.005000, 0.983936, 0.998744, 0.989899, 0.997509
30, 0.992000, 0.995062, 1.000000, 0.959596, 0.974421, 0.957895, 0.974740, 3.009975, 0.967413, 1.000000, 0.979381, 0.995049
31, 0.998000, 0.998737, 1.000000, 0.990476, 0.993951, 0.990385, 0.993969, 3.002532, 0.992366, 1.000000, 0.995215, 0.998737
32, 0.998000, 0.998765, 1.000000, 0.989583, 0.993528, 0.989474, 0.993549, 3.002475, 0.991649, 1.000000, 0.994764, 0.998765
33, 0.996000, 0.997487, 1.000000, 0.980769, 0.987773, 0.980392, 0.987847, 3.005051, 0.984556, 0.998744, 0.990291, 0.997484
34, 0.994000, 0.996287, 1.000000, 0.969697, 0.980890, 0.968750, 0.981069, 3.007481, 0.975610, 1.000000, 0.984615, 0.996280
35, 0.994000, 0.996193, 1.000000, 0.972477, 0.982226, 0.971698, 0.982381, 3.007673, 0.977860, 1.000000, 0.986047, 0.996186
36, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
