# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.840000, 0.607843, 0.215686, 1.000000, 0.304493, 0.215686, 0.423778, 1.431373, 0.578947, 1.000000, 0.354839, 0.464420
1, 0.834000, 0.576531, 0.153061, 1.000000, 0.225168, 0.153061, 0.356184, 1.306122, 0.474684, 1.000000, 0.265487, 0.391230
2, 0.832000, 0.575758, 0.151515, 1.000000, 0.222654, 0.151515, 0.353940, 1.303030, 0.471698, 1.000000, 0.263158, 0.389249
3, 0.830000, 0.557292, 0.114583, 1.000000, 0.172959, 0.114583, 0.307678, 1.229167, 0.392857, 1.000000, 0.205607, 0.338502
4, 0.842000, 0.620192, 0.240385, 1.000000, 0.333895, 0.240385, 0.447666, 1.480769, 0.612745, 1.000000, 0.387597, 0.490290
5, 0.836000, 0.594059, 0.188119, 1.000000, 0.269969, 0.188119, 0.395030, 1.376238, 0.536723, 1.000000, 0.316667, 0.433727
6, 0.834000, 0.580808, 0.161616, 1.000000, 0.236178, 0.161616, 0.365925, 1.323232, 0.490798, 1.000000, 0.278261, 0.402015
7, 0.826000, 0.569307, 0.138614, 1.000000, 0.204346, 0.138614, 0.337343, 1.277228, 0.445860, 1.000000, 0.243478, 0.372309
8, 0.846000, 0.607143, 0.214286, 1.000000, 0.304853, 0.214286, 0.424074, 1.428571, 0.576923, 1.000000, 0.352941, 0.462910
9, 0.840000, 0.587629, 0.175258, 1.000000, 0.255149, 0.175258, 0.382400, 1.350515, 0.515152, 1.000000, 0.298246, 0.418638
10, 0.830000, 0.595238, 0.190476, 1.000000, 0.271012, 0.190476, 0.395912, 1.380952, 0.540541, 1.000000, 0.320000, 0.436436
11, 0.858000, 0.622340, 0.244681, 1.000000, 0.344728, 0.244681, 0.456356, 1.489362, 0.618280, 1.000000, 0.393162, 0.494652
12, 0.824000, 0.576923, 0.153846, 1.000000, 0.223602, 0.153846, 0.354787, 1.307692, 0.476190, 1.000000, 0.266667, 0.392232
13, 0.834000, 0.585000, 0.170000, 1.000000, 0.246824, 0.170000, 0.375216, 1.340000, 0.505952, 1.000000, 0.290598, 0.412311
14, 0.840000, 0.583333, 0.166667, 1.000000, 0.244256, 0.166667, 0.372986, 1.333333, 0.500000, 1.000000, 0.285714, 0.408248
15, 0.826000, 0.577670, 0.155340, 1.000000, 0.226034, 0.155340, 0.356955, 1.310680, 0.479042, 1.000000, 0.268908, 0.394132
16, 0.842000, 0.605000, 0.210000, 1.000000, 0.298401, 0.210000, 0.418766, 1.420000, 0.570652, 1.000000, 0.347107, 0.458258
17, 0.858000, 0.641414, 0.282828, 1.000000, 0.387466, 0.282828, 0.490188, 1.565657, 0.663507, 1.000000, 0.440945, 0.531816
18, 0.826000, 0.546875, 0.093750, 1.000000, 0.143229, 0.093750, 0.277738, 1.187500, 0.340909, 1.000000, 0.171429, 0.306186
19, 0.824000, 0.584906, 0.169811, 1.000000, 0.243778, 0.169811, 0.372570, 1.339623, 0.505618, 1.000000, 0.290323, 0.412082
20, 0.858000, 0.618280, 0.236559, 1.000000, 0.335306, 0.236559, 0.448800, 1.473118, 0.607735, 1.000000, 0.382609, 0.486373
21, 0.810000, 0.543269, 0.086538, 1.000000, 0.130483, 0.086538, 0.264187, 1.173077, 0.321429, 1.000000, 0.159292, 0.294174
22, 0.818000, 0.558252, 0.116505, 1.000000, 0.173148, 0.116505, 0.307863, 1.233010, 0.397351, 1.000000, 0.208696, 0.341328
23, 0.832000, 0.571429, 0.142857, 1.000000, 0.211356, 0.142857, 0.343753, 1.285714, 0.454545, 1.000000, 0.250000, 0.377964
24, 0.842000, 0.596939, 0.193878, 1.000000, 0.278881, 0.193878, 0.402536, 1.387755, 0.545977, 1.000000, 0.324786, 0.440315
25, 0.828000, 0.582524, 0.165049, 1.000000, 0.238911, 0.165049, 0.368322, 1.330097, 0.497076, 1.000000, 0.283333, 0.406262
26, 0.836000, 0.601942, 0.203883, 1.000000, 0.289108, 0.203883, 0.411073, 1.407767, 0.561497, 1.000000, 0.338710, 0.451535
27, 0.836000, 0.572917, 0.145833, 1.000000, 0.216241, 0.145833, 0.348178, 1.291667, 0.460526, 1.000000, 0.254545, 0.381881
28, 0.846000, 0.586022, 0.172043, 1.000000, 0.252775, 0.172043, 0.380358, 1.344086, 0.509554, 1.000000, 0.293578, 0.414781
29, 0.814000, 0.557143, 0.114286, 1.000000, 0.169346, 0.114286, 0.304148, 1.228571, 0.392157, 1.000000, 0.205128, 0.338062
30, 0.826000, 0.573529, 0.147059, 1.000000, 0.215368, 0.147059, 0.347389, 1.294118, 0.462963, 1.000000, 0.256410, 0.383482
31, 0.818000, 0.558252, 0.116505, 1.000000, 0.173148, 0.116505, 0.307863, 1.233010, 0.397351, 1.000000, 0.208696, 0.341328
32, 0.840000, 0.591837, 0.183673, 1.000000, 0.265678, 0.183673, 0.391393, 1.367347, 0.529412, 1.000000, 0.310345, 0.428571
33, 0.838000, 0.595000, 0.190000, 1.000000, 0.272890, 0.190000, 0.397497, 1.380000, 0.539773, 1.000000, 0.319328, 0.435890
34, 0.846000, 0.586022, 0.172043, 1.000000, 0.252775, 0.172043, 0.380358, 1.344086, 0.509554, 1.000000, 0.293578, 0.414781
35, 0.848000, 0.604167, 0.208333, 1.000000, 0.298375, 0.208333, 0.418745, 1.416667, 0.568182, 1.000000, 0.344828, 0.456435
36, 0.826000, 0.604545, 0.209091, 1.000000, 0.291992, 0.209091, 0.413467, 1.418182, 0.569307, 1.000000, 0.345865, 0.457265
