# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.680000, 0.641667, 0.450000, 0.642857, 0.298246, 0.200000, 0.309142, 2.100000, 0.592105, 0.888333, 0.529412, 0.612372
1, 0.720000, 0.715909, 0.681818, 0.681818, 0.431818, 0.363636, 0.431818, 2.696970, 0.681818, 0.874188, 0.681818, 0.715097
2, 0.620000, 0.606280, 0.434783, 0.625000, 0.217463, 0.173913, 0.227106, 2.155280, 0.574713, 0.869565, 0.512821, 0.581519
3, 0.620000, 0.612013, 0.545455, 0.571429, 0.225122, 0.136364, 0.225310, 2.564593, 0.566038, 0.823864, 0.558140, 0.608383
4, 0.580000, 0.576299, 0.545455, 0.521739, 0.151858, 0.045455, 0.151982, 2.737968, 0.526316, 0.740260, 0.533333, 0.575473
5, 0.640000, 0.641026, 0.615385, 0.666667, 0.281150, 0.307692, 0.282051, 2.730769, 0.655738, 0.825321, 0.640000, 0.640513
6, 0.700000, 0.675000, 0.550000, 0.647059, 0.358974, 0.250000, 0.361961, 2.350000, 0.625000, 0.868333, 0.594595, 0.663325
7, 0.660000, 0.656200, 0.608696, 0.636364, 0.313409, 0.260870, 0.313665, 2.638444, 0.630631, 0.772947, 0.622222, 0.654478
8, 0.580000, 0.558333, 0.450000, 0.473684, 0.117647, -0.050000, 0.117751, 2.400000, 0.468750, 0.783333, 0.461538, 0.547723
9, 0.620000, 0.620000, 0.520000, 0.650000, 0.240000, 0.240000, 0.244949, 2.428889, 0.619048, 0.815200, 0.577778, 0.611882
10, 0.660000, 0.641667, 0.550000, 0.578947, 0.285714, 0.150000, 0.285967, 2.463636, 0.572917, 0.836667, 0.564103, 0.635085
