# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.680000, 0.641667, 0.450000, 0.642857, 0.298246, 0.200000, 0.309142, 2.100000, 0.592105, 0.889167, 0.529412, 0.612372
1, 0.700000, 0.693182, 0.636364, 0.666667, 0.388254, 0.318182, 0.388578, 2.606061, 0.660377, 0.868506, 0.651163, 0.690849
2, 0.680000, 0.671498, 0.565217, 0.684211, 0.347471, 0.304348, 0.352189, 2.416149, 0.656566, 0.863929, 0.619048, 0.663034
3, 0.680000, 0.675325, 0.636364, 0.636364, 0.350649, 0.272727, 0.350649, 2.672727, 0.636364, 0.835227, 0.636364, 0.674200
4, 0.540000, 0.540584, 0.545455, 0.480000, 0.080000, -0.045455, 0.080582, 2.957576, 0.491803, 0.723214, 0.510638, 0.540562
5, 0.620000, 0.621795, 0.576923, 0.652174, 0.242424, 0.269231, 0.244177, 2.653846, 0.635593, 0.822917, 0.612245, 0.620174
6, 0.740000, 0.725000, 0.650000, 0.684211, 0.453782, 0.350000, 0.454183, 2.550000, 0.677083, 0.873333, 0.666667, 0.721110
7, 0.620000, 0.622383, 0.652174, 0.576923, 0.242424, 0.173913, 0.244177, 2.991848, 0.590551, 0.797101, 0.612245, 0.621670
8, 0.620000, 0.608333, 0.550000, 0.523810, 0.214876, 0.050000, 0.215060, 2.600000, 0.528846, 0.805833, 0.536585, 0.605530
9, 0.580000, 0.580000, 0.560000, 0.583333, 0.160000, 0.160000, 0.160128, 2.786667, 0.578512, 0.784000, 0.571429, 0.579655
10, 0.700000, 0.708333, 0.750000, 0.600000, 0.400000, 0.250000, 0.408248, 3.000000, 0.625000, 0.859167, 0.666667, 0.707107
