# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.300000, 0.308333, 0.350000, 0.241379, -0.356589, -0.750000, -0.380490, 4.450000, 0.257353, 0.430000, 0.285714, 0.305505
1, 0.420000, 0.413961, 0.363636, 0.347826, -0.171244, -0.318182, -0.171384, 2.881119, 0.350877, 0.570617, 0.355556, 0.410891
2, 0.560000, 0.563607, 0.608696, 0.518519, 0.125596, 0.043478, 0.127214, 3.145963, 0.534351, 0.545089, 0.560000, 0.561801
3, 0.480000, 0.482143, 0.500000, 0.423077, -0.035032, -0.181818, -0.035485, 3.153846, 0.436508, 0.469968, 0.458333, 0.481812
4, 0.460000, 0.478896, 0.636364, 0.424242, -0.040062, -0.227273, -0.044228, 4.383838, 0.454545, 0.566558, 0.509091, 0.452267
5, 0.560000, 0.554487, 0.692308, 0.562500, 0.110032, 0.153846, 0.113424, 3.784615, 0.584416, 0.641026, 0.620690, 0.537086
6, 0.380000, 0.358333, 0.250000, 0.238095, -0.280992, -0.550000, -0.281232, 2.642857, 0.240385, 0.420000, 0.243902, 0.341565
7, 0.500000, 0.514493, 0.695652, 0.470588, 0.027994, -0.086957, 0.030969, 4.391304, 0.503145, 0.523349, 0.561404, 0.481543
8, 0.320000, 0.375000, 0.650000, 0.325000, -0.214286, -0.700000, -0.306186, 11.300000, 0.361111, 0.694167, 0.433333, 0.254951
9, 0.520000, 0.520000, 0.480000, 0.521739, 0.040000, 0.040000, 0.040129, 2.745714, 0.512821, 0.660800, 0.500000, 0.518459
10, 0.420000, 0.416667, 0.400000, 0.320000, -0.160000, -0.450000, -0.163299, 3.107692, 0.333333, 0.537500, 0.355556, 0.416333
