# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.640000, 0.608333, 0.450000, 0.562500, 0.224138, 0.100000, 0.227546, 2.204348, 0.535714, 0.818333, 0.500000, 0.587367
1, 0.680000, 0.675325, 0.636364, 0.636364, 0.350649, 0.272727, 0.350649, 2.672727, 0.636364, 0.828734, 0.636364, 0.674200
2, 0.560000, 0.547504, 0.391304, 0.529412, 0.096880, 0.043478, 0.099960, 2.203661, 0.494505, 0.830918, 0.450000, 0.524750
3, 0.620000, 0.607143, 0.500000, 0.578947, 0.217463, 0.136364, 0.219142, 2.400000, 0.561224, 0.801948, 0.536585, 0.597614
4, 0.580000, 0.581169, 0.590909, 0.520000, 0.160000, 0.045455, 0.161165, 2.931818, 0.532787, 0.760552, 0.553191, 0.581087
5, 0.660000, 0.658654, 0.692308, 0.666667, 0.317817, 0.346154, 0.318073, 2.984615, 0.671642, 0.862981, 0.679245, 0.657794
6, 0.540000, 0.491667, 0.250000, 0.384615, -0.017699, -0.150000, -0.018615, 1.863636, 0.347222, 0.840833, 0.303030, 0.428174
7, 0.540000, 0.541868, 0.565217, 0.500000, 0.082935, 0.000000, 0.083534, 3.059006, 0.511811, 0.725443, 0.530612, 0.541365
8, 0.460000, 0.425000, 0.250000, 0.294118, -0.153846, -0.350000, -0.155126, 2.166667, 0.284091, 0.861667, 0.270270, 0.387298
9, 0.500000, 0.500000, 0.680000, 0.500000, 0.000000, 0.000000, 0.000000, 4.485000, 0.527950, 0.788800, 0.576271, 0.466476
10, 0.700000, 0.683333, 0.600000, 0.631579, 0.369748, 0.250000, 0.370075, 2.504348, 0.625000, 0.884167, 0.615385, 0.678233
