# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.400000, 0.500000, 1.000000, 0.400000, 0.000000, -0.500000, 0.000000, 3.000000, 0.454545, 0.650833, 0.571429, 0.000000
1, 0.460000, 0.512987, 0.954545, 0.446809, 0.023155, -0.227273, 0.054290, 15.909091, 0.500000, 0.696429, 0.608696, 0.261116
2, 0.640000, 0.660225, 0.913043, 0.567568, 0.306626, 0.217391, 0.364112, 4.280632, 0.614035, 0.643317, 0.700000, 0.609902
3, 0.440000, 0.495130, 0.954545, 0.437500, -0.008646, -0.272727, -0.024673, 29.909091, 0.490654, 0.674513, 0.600000, 0.184637
4, 0.440000, 0.500000, 1.000000, 0.440000, 0.000000, -0.272727, 0.000000, 3.000000, 0.495495, 0.706169, 0.611111, 0.000000
5, 0.520000, 0.501603, 0.961538, 0.520833, 0.003322, 0.076923, 0.008172, 25.923077, 0.573394, 0.661058, 0.675676, 0.200160
6, 0.380000, 0.466667, 0.900000, 0.382979, -0.054422, -0.550000, -0.137523, 31.800000, 0.432692, 0.621667, 0.537313, 0.173205
7, 0.480000, 0.518519, 1.000000, 0.469388, 0.034175, -0.130435, 0.131851, 29.000000, 0.525114, 0.582931, 0.638889, 0.192450
8, 0.360000, 0.450000, 0.900000, 0.375000, -0.081081, -0.600000, -0.250000, 2.800000, 0.424528, 0.633333, 0.529412, 0.000000
9, 0.440000, 0.440000, 0.840000, 0.466667, -0.120000, -0.120000, -0.200000, 26.680000, 0.512195, 0.691200, 0.600000, 0.183303
10, 0.420000, 0.508333, 0.950000, 0.404255, 0.013605, -0.450000, 0.034381, 16.900000, 0.456731, 0.720000, 0.567164, 0.251661
