# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.700000, 0.641667, 0.350000, 0.777778, 0.311927, 0.250000, 0.361293, 1.771429, 0.625000, 0.630833, 0.482759, 0.571548
1, 0.540000, 0.564935, 0.772727, 0.485714, 0.122137, -0.045455, 0.140676, 4.345455, 0.524691, 0.563312, 0.596491, 0.525332
2, 0.460000, 0.500000, 1.000000, 0.460000, 0.000000, -0.173913, 0.000000, 3.000000, 0.515695, 0.626409, 0.630137, 0.000000
3, 0.440000, 0.500000, 1.000000, 0.440000, 0.000000, -0.272727, 0.000000, 3.000000, 0.495495, 0.573052, 0.611111, 0.000000
4, 0.440000, 0.500000, 1.000000, 0.440000, 0.000000, -0.272727, 0.000000, 3.000000, 0.495495, 0.585227, 0.611111, 0.000000
5, 0.520000, 0.500000, 1.000000, 0.520000, 0.000000, 0.076923, 0.000000, 3.000000, 0.575221, 0.491987, 0.684211, 0.000000
6, 0.400000, 0.500000, 1.000000, 0.400000, 0.000000, -0.500000, 0.000000, 3.000000, 0.454545, 0.541667, 0.571429, 0.000000
7, 0.460000, 0.500000, 1.000000, 0.460000, 0.000000, -0.173913, 0.000000, 3.000000, 0.515695, 0.484702, 0.630137, 0.000000
8, 0.400000, 0.500000, 1.000000, 0.400000, 0.000000, -0.500000, 0.000000, 3.000000, 0.454545, 0.628333, 0.571429, 0.000000
9, 0.500000, 0.500000, 1.000000, 0.500000, 0.000000, 0.000000, 0.000000, 3.000000, 0.555556, 0.540000, 0.666667, 0.000000
10, 0.400000, 0.500000, 1.000000, 0.400000, 0.000000, -0.500000, 0.000000, 3.000000, 0.454545, 0.691667, 0.571429, 0.000000
