# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.680000, 0.641667, 0.450000, 0.642857, 0.298246, 0.200000, 0.309142, 2.100000, 0.592105, 0.771667, 0.529412, 0.612372
1, 0.680000, 0.655844, 0.454545, 0.714286, 0.324324, 0.272727, 0.344584, 2.075758, 0.641026, 0.806818, 0.555556, 0.624188
2, 0.560000, 0.541063, 0.304348, 0.538462, 0.084859, 0.043478, 0.093315, 1.894410, 0.466667, 0.797101, 0.388889, 0.486534
3, 0.640000, 0.620130, 0.454545, 0.625000, 0.247492, 0.181818, 0.255665, 2.181818, 0.581395, 0.748377, 0.526316, 0.597614
4, 0.600000, 0.579545, 0.409091, 0.562500, 0.163880, 0.090909, 0.169292, 2.151515, 0.523256, 0.749188, 0.473684, 0.553912
5, 0.680000, 0.681090, 0.653846, 0.708333, 0.361022, 0.384615, 0.362179, 2.719457, 0.696721, 0.866186, 0.680000, 0.680545
6, 0.580000, 0.541667, 0.350000, 0.466667, 0.086957, -0.050000, 0.089087, 2.063636, 0.437500, 0.827500, 0.400000, 0.506623
7, 0.580000, 0.575684, 0.521739, 0.545455, 0.151858, 0.086957, 0.151982, 2.631714, 0.540541, 0.744767, 0.533333, 0.573151
8, 0.520000, 0.491667, 0.350000, 0.388889, -0.016949, -0.200000, -0.017010, 2.278947, 0.380435, 0.830833, 0.368421, 0.470815
9, 0.600000, 0.600000, 0.680000, 0.586207, 0.200000, 0.200000, 0.202610, 3.283077, 0.602837, 0.788800, 0.629630, 0.594643
10, 0.700000, 0.683333, 0.600000, 0.631579, 0.369748, 0.250000, 0.370075, 2.504348, 0.625000, 0.900833, 0.615385, 0.678233
