# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.644000, 0.619618, 0.578431, 0.304124, 0.179149, -0.745098, 0.197836, 2.670171, 0.335991, 0.953087, 0.398649, 0.618247
1, 0.774000, 0.767924, 0.739796, 0.700483, 0.530559, 0.423469, 0.531114, 2.735790, 0.708008, 0.962666, 0.719603, 0.767409
2, 0.694000, 0.682955, 0.590909, 0.673575, 0.370785, 0.304545, 0.373092, 2.472141, 0.655242, 0.952703, 0.629540, 0.676723
3, 0.672000, 0.668649, 0.654450, 0.560538, 0.326843, 0.141361, 0.329699, 2.773355, 0.577101, 0.957615, 0.603865, 0.668498
4, 0.744000, 0.741944, 0.806202, 0.727273, 0.485630, 0.503876, 0.488733, 3.088013, 0.741797, 0.963819, 0.764706, 0.739156
5, 0.746000, 0.714316, 0.646617, 0.518072, 0.397213, 0.045113, 0.402177, 2.571979, 0.539523, 0.970427, 0.575251, 0.711101
6, 0.760000, 0.679854, 0.409091, 0.818182, 0.406082, 0.318182, 0.451117, 1.870130, 0.681818, 0.948653, 0.545455, 0.623610
7, 0.812000, 0.789971, 0.713483, 0.747059, 0.585830, 0.471910, 0.586194, 2.581088, 0.740093, 0.955370, 0.729885, 0.786260
8, 0.746000, 0.728938, 0.634146, 0.714286, 0.465848, 0.380488, 0.468043, 2.482284, 0.696677, 0.941935, 0.671835, 0.722748
9, 0.762000, 0.768473, 0.812207, 0.686508, 0.524563, 0.441315, 0.531049, 3.004221, 0.708436, 0.950205, 0.744086, 0.767227
10, 0.760000, 0.750389, 0.685446, 0.733668, 0.505057, 0.436620, 0.505901, 2.597388, 0.723489, 0.941167, 0.708738, 0.747573
11, 0.726000, 0.694876, 0.509615, 0.751773, 0.408688, 0.341346, 0.426928, 2.155418, 0.686528, 0.956319, 0.607450, 0.669725
12, 0.606000, 0.606000, 0.412000, 0.673203, 0.212000, 0.212000, 0.230020, 2.074000, 0.597448, 0.931416, 0.511166, 0.574108
13, 0.668000, 0.667475, 0.672727, 0.708812, 0.333065, 0.396364, 0.333594, 2.855522, 0.701289, 0.939176, 0.690299, 0.667454
14, 0.818000, 0.816521, 0.847328, 0.813187, 0.634385, 0.652672, 0.635006, 2.967384, 0.819793, 0.972128, 0.829907, 0.815940
15, 0.808000, 0.808070, 0.806818, 0.825581, 0.615311, 0.636364, 0.615489, 2.849238, 0.821759, 0.979736, 0.816092, 0.808069
16, 0.752000, 0.756787, 0.823276, 0.697080, 0.507405, 0.465517, 0.514618, 3.095200, 0.719127, 0.944062, 0.754941, 0.753861
17, 0.802000, 0.804070, 0.764259, 0.844538, 0.604986, 0.623574, 0.608018, 2.713517, 0.827160, 0.960285, 0.802395, 0.803084
18, 0.850000, 0.844750, 0.904412, 0.833898, 0.695172, 0.724265, 0.698229, 3.082567, 0.847107, 0.984343, 0.867725, 0.842640
19, 0.780000, 0.788076, 0.837321, 0.697211, 0.560288, 0.473684, 0.568356, 3.028130, 0.721352, 0.967913, 0.760870, 0.786536
20, 0.718000, 0.674788, 0.494737, 0.676259, 0.368732, 0.257895, 0.378737, 2.159285, 0.630027, 0.963277, 0.571429, 0.650323
21, 0.708000, 0.712235, 0.594595, 0.789744, 0.420589, 0.436293, 0.434849, 2.394189, 0.741097, 0.976121, 0.678414, 0.702452
22, 0.588000, 0.588090, 0.590909, 0.572000, 0.176000, 0.148760, 0.176090, 2.890427, 0.575684, 0.945568, 0.581301, 0.588083
23, 0.622000, 0.622849, 0.580392, 0.643478, 0.245208, 0.258824, 0.246439, 2.663852, 0.629787, 0.966427, 0.610309, 0.621400
24, 0.686000, 0.689169, 0.745763, 0.644689, 0.375219, 0.334746, 0.379354, 3.072364, 0.662651, 0.960452, 0.691552, 0.686842
25, 0.780000, 0.778067, 0.808271, 0.784672, 0.557280, 0.586466, 0.557569, 2.953684, 0.789280, 0.979926, 0.796296, 0.777481
26, 0.720000, 0.720161, 0.721461, 0.666667, 0.436366, 0.360731, 0.437516, 2.834011, 0.676949, 0.946465, 0.692982, 0.720160
27, 0.768000, 0.748166, 0.632850, 0.766082, 0.509331, 0.439614, 0.515341, 2.423803, 0.735129, 0.970957, 0.693122, 0.739225
28, 0.666000, 0.650618, 0.572139, 0.586735, 0.302469, 0.169154, 0.302535, 2.515838, 0.583756, 0.951206, 0.579345, 0.645868
29, 0.628000, 0.608929, 0.450000, 0.603659, 0.223965, 0.154545, 0.230341, 2.202326, 0.565068, 0.925349, 0.515625, 0.587823
30, 0.688000, 0.675261, 0.608911, 0.615000, 0.351082, 0.227723, 0.351094, 2.566238, 0.613772, 0.926341, 0.611940, 0.671993
31, 0.772000, 0.734584, 0.632911, 0.641026, 0.470772, 0.278481, 0.470792, 2.461627, 0.639386, 0.944407, 0.636943, 0.727514
32, 0.746000, 0.736868, 0.703297, 0.636816, 0.463392, 0.302198, 0.464893, 2.704553, 0.649087, 0.932640, 0.668407, 0.736103
33, 0.724000, 0.729220, 0.801724, 0.669065, 0.452416, 0.405172, 0.460146, 3.126176, 0.691964, 0.977089, 0.729412, 0.725607
34, 0.776000, 0.779987, 0.793103, 0.644860, 0.531491, 0.356322, 0.539091, 2.890207, 0.669903, 0.968964, 0.711340, 0.779877
35, 0.800000, 0.809799, 0.845304, 0.680000, 0.588647, 0.447514, 0.598532, 2.982106, 0.707678, 0.986006, 0.753695, 0.809021
36, 0.688000, 0.692788, 0.573077, 0.768041, 0.381541, 0.400000, 0.395314, 2.376923, 0.719112, 0.957083, 0.656388, 0.682367
37, 0.786000, 0.786450, 0.842742, 0.754513, 0.572369, 0.568548, 0.576253, 3.055049, 0.770649, 0.976927, 0.796190, 0.784433
38, 0.672000, 0.671364, 0.656904, 0.656904, 0.342728, 0.313808, 0.342728, 2.771908, 0.656904, 0.932044, 0.656904, 0.671208
39, 0.676000, 0.661430, 0.580488, 0.610256, 0.325281, 0.209756, 0.325564, 2.508008, 0.604061, 0.943001, 0.595000, 0.656459
40, 0.646000, 0.687278, 0.763158, 0.367089, 0.271389, -0.552632, 0.314711, 3.161909, 0.409605, 0.926291, 0.495726, 0.683077
41, 0.698000, 0.703493, 0.718750, 0.520362, 0.369678, 0.056250, 0.382279, 2.890491, 0.550766, 0.935864, 0.603675, 0.703327
42, 0.604000, 0.581761, 0.500000, 0.459596, 0.160505, -0.087912, 0.160875, 2.507109, 0.467146, 0.943241, 0.478947, 0.575987
43, 0.696000, 0.694118, 0.600000, 0.731343, 0.389607, 0.379592, 0.395835, 2.468657, 0.700667, 0.966899, 0.659193, 0.687707
44, 0.718000, 0.703654, 0.658824, 0.574359, 0.393287, 0.170588, 0.395583, 2.653679, 0.589474, 0.962112, 0.613699, 0.702225
45, 0.656000, 0.636910, 0.438053, 0.687500, 0.282807, 0.238938, 0.300945, 2.072613, 0.617207, 0.957343, 0.535135, 0.605070
46, 0.694000, 0.702296, 0.724359, 0.506726, 0.362096, 0.019231, 0.377108, 2.918803, 0.539122, 0.984841, 0.596306, 0.701949
47, 0.670000, 0.646451, 0.443439, 0.700000, 0.304502, 0.253394, 0.323970, 2.064093, 0.627401, 0.975332, 0.542936, 0.613746
48, 0.592000, 0.565253, 0.297778, 0.592920, 0.136691, 0.093333, 0.155235, 1.796429, 0.494830, 0.970101, 0.396450, 0.497964
49, 0.688000, 0.678168, 0.603687, 0.651741, 0.359427, 0.281106, 0.360205, 2.536012, 0.641528, 0.973319, 0.626794, 0.674066
50, 0.736000, 0.675701, 0.428571, 0.771429, 0.384959, 0.301587, 0.418332, 1.940767, 0.665025, 0.971146, 0.551020, 0.628887
51, 0.784000, 0.777291, 0.719457, 0.775610, 0.558787, 0.511312, 0.559985, 2.636339, 0.763689, 0.983263, 0.746479, 0.775137
52, 0.708000, 0.709091, 0.718182, 0.652893, 0.413749, 0.336364, 0.415373, 2.864935, 0.664983, 0.984310, 0.683983, 0.709033
53, 0.676000, 0.678608, 0.689474, 0.559829, 0.341891, 0.147368, 0.347488, 2.876532, 0.581705, 0.949270, 0.617925, 0.678521
54, 0.622000, 0.599794, 0.519337, 0.479592, 0.196073, -0.044199, 0.196473, 2.508720, 0.487047, 0.963655, 0.498674, 0.594373
55, 0.672000, 0.619167, 0.355000, 0.669811, 0.258590, 0.180000, 0.285667, 1.842075, 0.568910, 0.989258, 0.464052, 0.559985
56, 0.798000, 0.775777, 0.686170, 0.754386, 0.561647, 0.462766, 0.563182, 2.527896, 0.739679, 0.984247, 0.718663, 0.770585
57, 0.596000, 0.584266, 0.514423, 0.514423, 0.168533, 0.028846, 0.168533, 2.557642, 0.514423, 0.977114, 0.514423, 0.580077
58, 0.590000, 0.561545, 0.446809, 0.454054, 0.123482, -0.090426, 0.123492, 2.372290, 0.452586, 0.971563, 0.450402, 0.549699
59, 0.668000, 0.656416, 0.607330, 0.560386, 0.307907, 0.130890, 0.308594, 2.632091, 0.569185, 0.952363, 0.582915, 0.654578
60, 0.600000, 0.568571, 0.443850, 0.463687, 0.138332, -0.069519, 0.138414, 2.330097, 0.459579, 0.946225, 0.453552, 0.554723
61, 0.614000, 0.608370, 0.530172, 0.594203, 0.218320, 0.168103, 0.219447, 2.516867, 0.580189, 0.957717, 0.560364, 0.603323
62, 0.624000, 0.612662, 0.518182, 0.581633, 0.227989, 0.145455, 0.229105, 2.450505, 0.567729, 0.953458, 0.548077, 0.605333
63, 0.734000, 0.740385, 0.846809, 0.672297, 0.473809, 0.434043, 0.488241, 3.270998, 0.701198, 0.984882, 0.749529, 0.732697
64, 0.638000, 0.652980, 0.757009, 0.556701, 0.292704, 0.154206, 0.306927, 3.335675, 0.587808, 0.959316, 0.641584, 0.644640
65, 0.710000, 0.693978, 0.643275, 0.567010, 0.375818, 0.152047, 0.377674, 2.629407, 0.580781, 0.970591, 0.602740, 0.692123
66, 0.632000, 0.631400, 0.556452, 0.650943, 0.263104, 0.258065, 0.265882, 2.528634, 0.629562, 0.956981, 0.600000, 0.626936
67, 0.604000, 0.606053, 0.612717, 0.447257, 0.195109, -0.144509, 0.202067, 2.893801, 0.472792, 0.962940, 0.517073, 0.606016
68, 0.618000, 0.639085, 0.691275, 0.415323, 0.233523, -0.281879, 0.254466, 3.086434, 0.451358, 0.962753, 0.518892, 0.636950
69, 0.732000, 0.737312, 0.751592, 0.553991, 0.432771, 0.146497, 0.445468, 2.886249, 0.584737, 0.959481, 0.637838, 0.737174
70, 0.630000, 0.622727, 0.600000, 0.465753, 0.229424, -0.088235, 0.234357, 2.749296, 0.487572, 0.961774, 0.524422, 0.622312
71, 0.594000, 0.593386, 0.591160, 0.453390, 0.175253, -0.121547, 0.179799, 2.861268, 0.475556, 0.955576, 0.513189, 0.593382
72, 0.592000, 0.627949, 0.734940, 0.432624, 0.217647, -0.228916, 0.243019, 3.389420, 0.471406, 0.948534, 0.544643, 0.618767
73, 0.634000, 0.656211, 0.728324, 0.480916, 0.278664, -0.057803, 0.297577, 3.168689, 0.515971, 0.961950, 0.579310, 0.652236
74, 0.634000, 0.633502, 0.628319, 0.589212, 0.265461, 0.190265, 0.265944, 2.822351, 0.596639, 0.969430, 0.608137, 0.633481
75, 0.684000, 0.682010, 0.619835, 0.694444, 0.365238, 0.347107, 0.367246, 2.583419, 0.678119, 0.967951, 0.655022, 0.679170
76, 0.700000, 0.699092, 0.731518, 0.698885, 0.398720, 0.416342, 0.399183, 2.963035, 0.705176, 0.962306, 0.714829, 0.698340
77, 0.672000, 0.680251, 0.636364, 0.771429, 0.346457, 0.447811, 0.354144, 2.653680, 0.740016, 0.969473, 0.697417, 0.678834
78, 0.708000, 0.706905, 0.682008, 0.699571, 0.414247, 0.389121, 0.414368, 2.730509, 0.695986, 0.951009, 0.690678, 0.706466
79, 0.682000, 0.706994, 0.558219, 0.844560, 0.387463, 0.455479, 0.419144, 2.284978, 0.765977, 0.955471, 0.672165, 0.691163
80, 0.650000, 0.659420, 0.568841, 0.737089, 0.310611, 0.365942, 0.320643, 2.471014, 0.695922, 0.973732, 0.642127, 0.653170
81, 0.760000, 0.750725, 0.634783, 0.802198, 0.509323, 0.478261, 0.519426, 2.423411, 0.762004, 0.974686, 0.708738, 0.741718
82, 0.740000, 0.730505, 0.635556, 0.748691, 0.467431, 0.422222, 0.472033, 2.482565, 0.722952, 0.979863, 0.687500, 0.724308
83, 0.678000, 0.675481, 0.612500, 0.683721, 0.352373, 0.329167, 0.354169, 2.579167, 0.668182, 0.965553, 0.646154, 0.672538
84, 0.726000, 0.709326, 0.607656, 0.697802, 0.426413, 0.344498, 0.429164, 2.448362, 0.677695, 0.958401, 0.649616, 0.702002
85, 0.610000, 0.571897, 0.468354, 0.400000, 0.137473, -0.234177, 0.138464, 2.417228, 0.412027, 0.951930, 0.431487, 0.562445
86, 0.750000, 0.741310, 0.671233, 0.735000, 0.487285, 0.429224, 0.488771, 2.574922, 0.721295, 0.974155, 0.701671, 0.737991
87, 0.788000, 0.777181, 0.717073, 0.753846, 0.558517, 0.482927, 0.559002, 2.628478, 0.746193, 0.982456, 0.735000, 0.774853
