# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.644000, 0.619618, 0.578431, 0.304124, 0.179149, -0.745098, 0.197836, 2.670171, 0.335991, 0.951793, 0.398649, 0.618247
1, 0.772000, 0.765373, 0.734694, 0.699029, 0.525980, 0.418367, 0.526435, 2.725586, 0.705882, 0.963447, 0.716418, 0.764758
2, 0.696000, 0.682792, 0.572727, 0.684783, 0.372108, 0.309091, 0.376293, 2.406716, 0.658996, 0.946778, 0.623762, 0.673863
3, 0.706000, 0.697157, 0.659686, 0.605769, 0.387725, 0.230366, 0.388700, 2.680605, 0.615836, 0.965460, 0.631579, 0.696149
4, 0.736000, 0.734192, 0.790698, 0.723404, 0.469828, 0.488372, 0.472027, 3.057005, 0.735931, 0.959679, 0.755556, 0.732014
5, 0.766000, 0.723146, 0.631579, 0.552632, 0.426853, 0.120301, 0.428714, 2.490583, 0.566802, 0.972557, 0.589474, 0.717326
6, 0.748000, 0.661511, 0.369318, 0.812500, 0.368990, 0.284091, 0.420815, 1.787180, 0.655242, 0.951880, 0.507812, 0.593481
7, 0.808000, 0.784353, 0.702247, 0.744048, 0.575942, 0.460674, 0.576504, 2.558616, 0.735294, 0.962314, 0.722543, 0.780044
8, 0.734000, 0.715792, 0.614634, 0.700000, 0.439764, 0.351220, 0.442223, 2.453335, 0.681081, 0.940050, 0.654545, 0.708608
9, 0.758000, 0.764988, 0.812207, 0.681102, 0.517143, 0.431925, 0.524207, 3.017617, 0.703824, 0.953845, 0.740899, 0.763530
10, 0.754000, 0.746978, 0.699531, 0.716346, 0.495455, 0.422535, 0.495559, 2.657833, 0.712919, 0.935646, 0.707838, 0.745469
11, 0.710000, 0.681178, 0.509615, 0.711409, 0.377768, 0.302885, 0.390491, 2.191922, 0.659204, 0.960855, 0.593838, 0.659219
12, 0.604000, 0.604000, 0.392000, 0.680556, 0.208000, 0.208000, 0.229666, 2.009490, 0.593220, 0.937768, 0.497462, 0.565572
13, 0.676000, 0.679192, 0.647273, 0.732510, 0.353809, 0.410909, 0.356727, 2.700795, 0.713713, 0.938384, 0.687259, 0.678441
14, 0.808000, 0.806594, 0.835878, 0.805147, 0.614371, 0.633588, 0.614867, 2.958242, 0.811111, 0.972112, 0.820225, 0.806063
15, 0.804000, 0.803833, 0.806818, 0.819231, 0.607120, 0.628788, 0.607198, 2.862314, 0.816718, 0.978806, 0.812977, 0.803827
16, 0.758000, 0.763542, 0.840517, 0.698925, 0.520009, 0.478448, 0.529290, 3.137556, 0.723294, 0.951364, 0.763209, 0.759652
17, 0.808000, 0.810608, 0.760456, 0.858369, 0.617353, 0.634981, 0.621815, 2.682677, 0.836820, 0.954541, 0.806452, 0.809055
18, 0.854000, 0.848071, 0.915441, 0.832776, 0.702875, 0.731618, 0.707158, 3.111781, 0.848093, 0.984311, 0.872154, 0.845391
19, 0.790000, 0.799364, 0.856459, 0.704724, 0.581099, 0.497608, 0.590696, 3.060141, 0.730612, 0.969853, 0.773218, 0.797322
20, 0.714000, 0.671562, 0.494737, 0.666667, 0.361151, 0.247368, 0.370128, 2.168181, 0.623342, 0.963616, 0.567976, 0.647864
21, 0.702000, 0.707164, 0.563707, 0.802198, 0.409779, 0.424710, 0.430283, 2.303023, 0.739615, 0.976153, 0.662132, 0.692460
22, 0.588000, 0.588090, 0.590909, 0.572000, 0.176000, 0.148760, 0.176090, 2.890427, 0.575684, 0.943174, 0.581301, 0.588083
23, 0.626000, 0.626931, 0.580392, 0.649123, 0.253314, 0.266667, 0.254799, 2.645633, 0.634105, 0.967347, 0.612836, 0.625201
24, 0.688000, 0.690838, 0.741525, 0.648148, 0.378783, 0.338983, 0.382303, 3.045181, 0.664894, 0.960388, 0.691700, 0.688977
25, 0.782000, 0.779947, 0.812030, 0.785455, 0.561192, 0.590226, 0.561560, 2.961203, 0.790630, 0.980408, 0.798521, 0.779287
26, 0.734000, 0.731105, 0.707763, 0.691964, 0.461050, 0.392694, 0.461144, 2.740997, 0.695067, 0.946993, 0.699774, 0.730733
27, 0.770000, 0.750581, 0.637681, 0.767442, 0.513915, 0.444444, 0.519633, 2.433465, 0.737430, 0.971872, 0.696570, 0.742042
28, 0.662000, 0.646458, 0.567164, 0.581633, 0.294116, 0.159204, 0.294180, 2.512209, 0.578680, 0.952470, 0.574307, 0.641577
29, 0.620000, 0.598864, 0.422727, 0.596154, 0.204088, 0.136364, 0.211844, 2.135777, 0.550948, 0.919773, 0.494681, 0.572375
30, 0.684000, 0.667121, 0.579208, 0.615789, 0.337471, 0.217822, 0.337899, 2.482860, 0.608108, 0.926714, 0.596939, 0.661303
31, 0.742000, 0.700737, 0.588608, 0.592357, 0.402158, 0.183544, 0.402162, 2.407431, 0.591603, 0.944722, 0.590476, 0.691707
32, 0.722000, 0.703901, 0.637363, 0.613757, 0.404476, 0.236264, 0.404658, 2.572684, 0.618337, 0.925038, 0.625337, 0.700749
33, 0.742000, 0.746301, 0.806034, 0.690037, 0.487102, 0.443966, 0.493066, 3.068591, 0.710486, 0.976414, 0.743539, 0.743906
34, 0.770000, 0.772706, 0.781609, 0.638498, 0.518329, 0.339080, 0.525385, 2.872455, 0.662768, 0.969590, 0.702842, 0.772655
35, 0.800000, 0.808604, 0.839779, 0.681614, 0.587710, 0.447514, 0.596725, 2.965848, 0.708295, 0.986188, 0.752475, 0.808003
36, 0.690000, 0.695994, 0.546154, 0.793296, 0.386964, 0.403846, 0.408493, 2.274574, 0.727459, 0.961154, 0.646925, 0.679673
37, 0.780000, 0.780274, 0.814516, 0.759398, 0.560225, 0.556452, 0.561681, 2.969458, 0.769817, 0.977535, 0.785992, 0.779522
38, 0.682000, 0.681648, 0.673640, 0.665289, 0.363103, 0.334728, 0.363129, 2.797280, 0.666943, 0.930097, 0.669439, 0.681601
39, 0.670000, 0.654113, 0.565854, 0.604167, 0.311237, 0.195122, 0.311697, 2.478739, 0.596095, 0.943415, 0.584383, 0.648131
40, 0.638000, 0.672825, 0.736842, 0.357447, 0.251571, -0.587719, 0.290554, 3.116237, 0.398482, 0.924757, 0.481375, 0.669773
41, 0.688000, 0.684559, 0.675000, 0.509434, 0.339878, 0.025000, 0.348418, 2.790678, 0.535714, 0.925708, 0.580645, 0.684492
42, 0.632000, 0.611998, 0.538462, 0.494949, 0.219863, -0.010989, 0.220371, 2.535639, 0.503080, 0.942377, 0.515789, 0.607564
43, 0.690000, 0.686635, 0.518367, 0.774390, 0.375705, 0.367347, 0.397451, 2.206459, 0.704772, 0.965402, 0.621027, 0.665698
44, 0.700000, 0.680036, 0.617647, 0.552632, 0.350087, 0.117647, 0.351409, 2.582233, 0.564516, 0.954198, 0.583333, 0.677168
45, 0.642000, 0.619873, 0.389381, 0.682171, 0.249111, 0.207965, 0.272708, 1.954727, 0.592992, 0.954226, 0.495775, 0.575426
46, 0.730000, 0.721452, 0.698718, 0.553299, 0.413227, 0.134615, 0.419949, 2.741186, 0.577331, 0.984859, 0.617564, 0.721094
47, 0.670000, 0.650213, 0.479638, 0.679487, 0.309901, 0.253394, 0.322029, 2.177617, 0.627219, 0.971796, 0.562334, 0.627440
