# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.614000, 0.582545, 0.529412, 0.271357, 0.121961, -0.892157, 0.135911, 2.631946, 0.300668, 0.909560, 0.358804, 0.580117
1, 0.606000, 0.576296, 0.438776, 0.497110, 0.155840, -0.005102, 0.156602, 2.278473, 0.484234, 0.929646, 0.466125, 0.559647
2, 0.574000, 0.565584, 0.495455, 0.516588, 0.131746, 0.031818, 0.131835, 2.563943, 0.512218, 0.866291, 0.505800, 0.561220
3, 0.546000, 0.548713, 0.560209, 0.428000, 0.092000, -0.188482, 0.094674, 2.981865, 0.449202, 0.899583, 0.485261, 0.548593
4, 0.624000, 0.624255, 0.616279, 0.641129, 0.248192, 0.271318, 0.248391, 2.814257, 0.636000, 0.895573, 0.628458, 0.624204
5, 0.634000, 0.623640, 0.601504, 0.380952, 0.208751, -0.375940, 0.221381, 2.751531, 0.411100, 0.877599, 0.466472, 0.623247
6, 0.606000, 0.524691, 0.250000, 0.403670, 0.054085, -0.119318, 0.057122, 1.750965, 0.359477, 0.877332, 0.308772, 0.447041
7, 0.620000, 0.561763, 0.359551, 0.457143, 0.129718, -0.067416, 0.131729, 2.028044, 0.433604, 0.907173, 0.402516, 0.524107
8, 0.526000, 0.509756, 0.419512, 0.421569, 0.019527, -0.156098, 0.019527, 2.505691, 0.421156, 0.919206, 0.420538, 0.501704
9, 0.642000, 0.618549, 0.460094, 0.604938, 0.244649, 0.159624, 0.250520, 2.207183, 0.569106, 0.928293, 0.522667, 0.597908
10, 0.662000, 0.640207, 0.492958, 0.632530, 0.288625, 0.206573, 0.294445, 2.255827, 0.598632, 0.913006, 0.554090, 0.623043
11, 0.594000, 0.580479, 0.500000, 0.512315, 0.161517, 0.024038, 0.161552, 2.512953, 0.509804, 0.898643, 0.506083, 0.574873
12, 0.608000, 0.608000, 0.456000, 0.655172, 0.216000, 0.216000, 0.226731, 2.227789, 0.602537, 0.876424, 0.537736, 0.588693
13, 0.664000, 0.661414, 0.687273, 0.697417, 0.322307, 0.389091, 0.322349, 2.947972, 0.695364, 0.911305, 0.692308, 0.660908
14, 0.680000, 0.680223, 0.675573, 0.702381, 0.359754, 0.389313, 0.360043, 2.811268, 0.696850, 0.937480, 0.688716, 0.680207
15, 0.710000, 0.709874, 0.712121, 0.731518, 0.419089, 0.450758, 0.419254, 2.837416, 0.727554, 0.928576, 0.721689, 0.709871
16, 0.634000, 0.637159, 0.681034, 0.591760, 0.271566, 0.211207, 0.274241, 3.047604, 0.607692, 0.937235, 0.633267, 0.635647
17, 0.676000, 0.681796, 0.570342, 0.753769, 0.358802, 0.384030, 0.370899, 2.401323, 0.708215, 0.894082, 0.649351, 0.672624
18, 0.716000, 0.716976, 0.705882, 0.755906, 0.431199, 0.477941, 0.432324, 2.785259, 0.745342, 0.937105, 0.730038, 0.716890
19, 0.676000, 0.660304, 0.564593, 0.624339, 0.324989, 0.224880, 0.326123, 2.451914, 0.611399, 0.912494, 0.592965, 0.653330
20, 0.536000, 0.509677, 0.400000, 0.391753, 0.019276, -0.221053, 0.019279, 2.414583, 0.393375, 0.942301, 0.395833, 0.497737
21, 0.652000, 0.655730, 0.552124, 0.711443, 0.308877, 0.328185, 0.317414, 2.421187, 0.672625, 0.934002, 0.621739, 0.647493
22, 0.586000, 0.584487, 0.537190, 0.577778, 0.169342, 0.144628, 0.169737, 2.657202, 0.569177, 0.913271, 0.556745, 0.582570
23, 0.600000, 0.601601, 0.521569, 0.630332, 0.202488, 0.215686, 0.205679, 2.510203, 0.605096, 0.930020, 0.570815, 0.596253
24, 0.704000, 0.705990, 0.741525, 0.667939, 0.409587, 0.372881, 0.411808, 2.974576, 0.681464, 0.940790, 0.702811, 0.705095
25, 0.738000, 0.738336, 0.733083, 0.764706, 0.475328, 0.507519, 0.475790, 2.810993, 0.758165, 0.969636, 0.748560, 0.738318
26, 0.716000, 0.717106, 0.726027, 0.659751, 0.429453, 0.351598, 0.431141, 2.864115, 0.672020, 0.926153, 0.691304, 0.717051
27, 0.746000, 0.734357, 0.666667, 0.704082, 0.472399, 0.386473, 0.472893, 2.580142, 0.696266, 0.917932, 0.684864, 0.731231
28, 0.554000, 0.533328, 0.427861, 0.443299, 0.067039, -0.109453, 0.067068, 2.421166, 0.440123, 0.921247, 0.435443, 0.522796
29, 0.610000, 0.592370, 0.445455, 0.573099, 0.189257, 0.113636, 0.193311, 2.243566, 0.542035, 0.901453, 0.501279, 0.573863
30, 0.620000, 0.632567, 0.698020, 0.522222, 0.251497, 0.059406, 0.261038, 3.159353, 0.549922, 0.909845, 0.597458, 0.629172
31, 0.712000, 0.728181, 0.772152, 0.530435, 0.406528, 0.088608, 0.425702, 3.005842, 0.565863, 0.936959, 0.628866, 0.726852
32, 0.770000, 0.756911, 0.708791, 0.675393, 0.508446, 0.368132, 0.508823, 2.659770, 0.681818, 0.915569, 0.691689, 0.755380
33, 0.672000, 0.667396, 0.603448, 0.660377, 0.336741, 0.293103, 0.337848, 2.574243, 0.648148, 0.954701, 0.630631, 0.664325
34, 0.732000, 0.738206, 0.758621, 0.589286, 0.446501, 0.229885, 0.456339, 2.910404, 0.616822, 0.928954, 0.663317, 0.737924
35, 0.794000, 0.809877, 0.867403, 0.665254, 0.581532, 0.430939, 0.596618, 3.063973, 0.697778, 0.955247, 0.752998, 0.807832
36, 0.686000, 0.690705, 0.573077, 0.764103, 0.377478, 0.396154, 0.390677, 2.383267, 0.716346, 0.933654, 0.654945, 0.680615
37, 0.792000, 0.792275, 0.826613, 0.770677, 0.584213, 0.580645, 0.585732, 2.972598, 0.781250, 0.954125, 0.797665, 0.791530
38, 0.676000, 0.673784, 0.623431, 0.674208, 0.348676, 0.322176, 0.349592, 2.627814, 0.663402, 0.897257, 0.647826, 0.671900
39, 0.644000, 0.629847, 0.551220, 0.567839, 0.260859, 0.131707, 0.260940, 2.513922, 0.564436, 0.897148, 0.559406, 0.624920
40, 0.670000, 0.671916, 0.675439, 0.375610, 0.268358, -0.447368, 0.293295, 2.847001, 0.412206, 0.894885, 0.482759, 0.671907
41, 0.754000, 0.729779, 0.662500, 0.605714, 0.448430, 0.231250, 0.449448, 2.579613, 0.616279, 0.914724, 0.632836, 0.726672
42, 0.706000, 0.677224, 0.571429, 0.601156, 0.358236, 0.192308, 0.358512, 2.419966, 0.594966, 0.908840, 0.585915, 0.668909
43, 0.674000, 0.671589, 0.551020, 0.718085, 0.344750, 0.334694, 0.354173, 2.364417, 0.677031, 0.936423, 0.623557, 0.660677
44, 0.730000, 0.685651, 0.547059, 0.615894, 0.381642, 0.205882, 0.383095, 2.307353, 0.600775, 0.950963, 0.579439, 0.671498
45, 0.648000, 0.640463, 0.561947, 0.622549, 0.283341, 0.221239, 0.284485, 2.514757, 0.609405, 0.942365, 0.590698, 0.635632
46, 0.732000, 0.672108, 0.512821, 0.579710, 0.355422, 0.141026, 0.356762, 2.228438, 0.564972, 0.948606, 0.544218, 0.652960
47, 0.646000, 0.631060, 0.502262, 0.623596, 0.267530, 0.199095, 0.271869, 2.320563, 0.594855, 0.954151, 0.556391, 0.617776
48, 0.598000, 0.589293, 0.502222, 0.559406, 0.180261, 0.106667, 0.181059, 2.482939, 0.546951, 0.935911, 0.529274, 0.582825
49, 0.738000, 0.750281, 0.843318, 0.653571, 0.484171, 0.396313, 0.499793, 3.208141, 0.684368, 0.957158, 0.736419, 0.744490
50, 0.836000, 0.804862, 0.677249, 0.859060, 0.636131, 0.566138, 0.646395, 2.426911, 0.815287, 0.955801, 0.757396, 0.794681
51, 0.758000, 0.756345, 0.742081, 0.719298, 0.511008, 0.452489, 0.511213, 2.781837, 0.723742, 0.966542, 0.730512, 0.756211
52, 0.702000, 0.700812, 0.690909, 0.652361, 0.399097, 0.322727, 0.399646, 2.788853, 0.659722, 0.962589, 0.671082, 0.700742
53, 0.664000, 0.667912, 0.684211, 0.546218, 0.320168, 0.115789, 0.326384, 2.903075, 0.569177, 0.928251, 0.607477, 0.667713
54, 0.642000, 0.626223, 0.569061, 0.504902, 0.245693, 0.011050, 0.246855, 2.601424, 0.516550, 0.916278, 0.535065, 0.623609
55, 0.644000, 0.606667, 0.420000, 0.575342, 0.223386, 0.110000, 0.229856, 2.100504, 0.535714, 0.969158, 0.485549, 0.577235
56, 0.704000, 0.706799, 0.718085, 0.586957, 0.396017, 0.212766, 0.401965, 2.873958, 0.609206, 0.961607, 0.645933, 0.706709
57, 0.612000, 0.612487, 0.615385, 0.528926, 0.219806, 0.067308, 0.221890, 2.871219, 0.544218, 0.929284, 0.568889, 0.612480
58, 0.524000, 0.486463, 0.335106, 0.357955, -0.027421, -0.265957, -0.027458, 2.238052, 0.353139, 0.953781, 0.346154, 0.462318
59, 0.616000, 0.607347, 0.570681, 0.497717, 0.208848, -0.005236, 0.210252, 2.694125, 0.510778, 0.933589, 0.531707, 0.606239
60, 0.646000, 0.598854, 0.411765, 0.534722, 0.207302, 0.053476, 0.211256, 2.095887, 0.504587, 0.924160, 0.465257, 0.568879
61, 0.656000, 0.649286, 0.556034, 0.651515, 0.301540, 0.258621, 0.304456, 2.458803, 0.629883, 0.930632, 0.600000, 0.642555
