# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.642000, 0.618361, 0.578431, 0.302564, 0.176784, -0.754902, 0.195576, 2.675947, 0.334467, 0.988238, 0.397306, 0.617071
1, 0.618000, 0.586164, 0.438776, 0.514970, 0.176980, 0.025510, 0.178378, 2.240780, 0.497685, 0.977813, 0.473829, 0.567331
2, 0.584000, 0.572565, 0.477273, 0.530303, 0.146702, 0.054545, 0.147303, 2.451872, 0.518775, 0.951185, 0.502392, 0.564579
3, 0.578000, 0.588599, 0.633508, 0.461832, 0.165454, -0.104712, 0.172391, 3.106301, 0.488297, 0.959860, 0.534216, 0.586883
4, 0.652000, 0.651259, 0.674419, 0.659091, 0.302751, 0.325581, 0.302838, 2.940942, 0.662100, 0.961441, 0.666667, 0.650847
5, 0.640000, 0.634918, 0.624060, 0.389671, 0.226419, -0.353383, 0.241118, 2.796644, 0.421320, 0.975467, 0.479769, 0.634826
6, 0.686000, 0.611076, 0.357955, 0.588785, 0.244000, 0.107955, 0.258697, 1.873052, 0.521523, 0.953406, 0.445230, 0.556187
7, 0.652000, 0.597913, 0.410112, 0.514085, 0.205102, 0.022472, 0.207933, 2.092952, 0.489276, 0.966196, 0.456250, 0.567654
8, 0.536000, 0.522695, 0.448780, 0.436019, 0.045189, -0.131707, 0.045203, 2.573697, 0.438513, 0.968508, 0.442308, 0.517443
9, 0.670000, 0.651413, 0.525822, 0.636364, 0.309762, 0.225352, 0.313541, 2.338639, 0.610687, 0.969124, 0.575835, 0.639191
10, 0.684000, 0.666029, 0.544601, 0.655367, 0.339454, 0.258216, 0.343365, 2.359113, 0.629750, 0.954319, 0.594872, 0.654866
11, 0.612000, 0.595199, 0.495192, 0.536458, 0.192528, 0.067308, 0.192956, 2.428808, 0.527664, 0.957332, 0.515000, 0.586737
12, 0.586000, 0.586000, 0.456000, 0.616216, 0.172000, 0.172000, 0.178126, 2.308648, 0.575758, 0.946912, 0.524138, 0.571398
13, 0.648000, 0.642828, 0.694545, 0.674912, 0.286583, 0.360000, 0.286734, 3.080820, 0.678749, 0.964251, 0.684588, 0.640745
14, 0.684000, 0.684040, 0.683206, 0.704724, 0.367514, 0.396947, 0.367703, 2.826535, 0.700313, 0.977244, 0.693798, 0.684040
