# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.316000, 0.522958, 0.872549, 0.212919, 0.021336, -2.352941, 0.049970, 7.513214, 0.250846, 0.859013, 0.342308, 0.388936
1, 0.476000, 0.502920, 0.627551, 0.394231, 0.005285, -0.336735, 0.005887, 3.898580, 0.425900, 0.891036, 0.484252, 0.487233
2, 0.506000, 0.535065, 0.777273, 0.463415, 0.065385, -0.122727, 0.079167, 4.969180, 0.504127, 0.814245, 0.580645, 0.477106
3, 0.374000, 0.476533, 0.910995, 0.370213, -0.036698, -0.638743, -0.096023, 25.591220, 0.420087, 0.814568, 0.526475, 0.195772
4, 0.600000, 0.590493, 0.887597, 0.572500, 0.184339, 0.224806, 0.226116, 5.183645, 0.616254, 0.836416, 0.696049, 0.510304
5, 0.434000, 0.576089, 0.879699, 0.304688, 0.095014, -1.127820, 0.159301, 5.429398, 0.350509, 0.796931, 0.452611, 0.489592
6, 0.404000, 0.493406, 0.795455, 0.348259, -0.010197, -0.693182, -0.015866, 6.816716, 0.392377, 0.830150, 0.484429, 0.390149
7, 0.472000, 0.487054, 0.539326, 0.345324, -0.023002, -0.483146, -0.024952, 3.378652, 0.372093, 0.792641, 0.421053, 0.484241
8, 0.436000, 0.490781, 0.795122, 0.404467, -0.016070, -0.375610, -0.022932, 6.953880, 0.448542, 0.879893, 0.536184, 0.385023
9, 0.578000, 0.605168, 0.788732, 0.502994, 0.195982, 0.009390, 0.220859, 3.949366, 0.542285, 0.856178, 0.614260, 0.576656
10, 0.472000, 0.532201, 0.938967, 0.443459, 0.056294, -0.239437, 0.107115, 9.850156, 0.495786, 0.806686, 0.602410, 0.343191
11, 0.446000, 0.472438, 0.629808, 0.395770, -0.050803, -0.331731, -0.057439, 4.433528, 0.427546, 0.821284, 0.486085, 0.445458
12, 0.574000, 0.574000, 0.680000, 0.561056, 0.148000, 0.148000, 0.151442, 3.496752, 0.581395, 0.811256, 0.614828, 0.564128
13, 0.590000, 0.552929, 0.923636, 0.579909, 0.113322, 0.254545, 0.159790, 7.335078, 0.626542, 0.855257, 0.712482, 0.410252
14, 0.660000, 0.646129, 0.935115, 0.615578, 0.300112, 0.351145, 0.362212, 4.670229, 0.660734, 0.887886, 0.742424, 0.577901
15, 0.634000, 0.617681, 0.909091, 0.601504, 0.242725, 0.306818, 0.292649, 4.883117, 0.645161, 0.828101, 0.723982, 0.544619
16, 0.556000, 0.577715, 0.879310, 0.512563, 0.148303, 0.043103, 0.192355, 5.380242, 0.559211, 0.891276, 0.647619, 0.492742
17, 0.594000, 0.585078, 0.756654, 0.588757, 0.172860, 0.228137, 0.181545, 3.931675, 0.616099, 0.828087, 0.662230, 0.559355
18, 0.684000, 0.657056, 0.963235, 0.639024, 0.330281, 0.419118, 0.407215, 4.776471, 0.685146, 0.827287, 0.768328, 0.581358
19, 0.518000, 0.579169, 0.952153, 0.462791, 0.137808, -0.153110, 0.225073, 6.754306, 0.515811, 0.843108, 0.622848, 0.443080
20, 0.498000, 0.563582, 0.836842, 0.419525, 0.106634, -0.321053, 0.144116, 5.118129, 0.466002, 0.915153, 0.558875, 0.492904
21, 0.536000, 0.531216, 0.664093, 0.542587, 0.062959, 0.104247, 0.064761, 3.838602, 0.563196, 0.893278, 0.597222, 0.514330
22, 0.556000, 0.562464, 0.764463, 0.528571, 0.123223, 0.082645, 0.136238, 4.303119, 0.563337, 0.861170, 0.625000, 0.524940
23, 0.590000, 0.586034, 0.784314, 0.571429, 0.173387, 0.196078, 0.187705, 4.147575, 0.604230, 0.916463, 0.661157, 0.551472
24, 0.522000, 0.542180, 0.902542, 0.496503, 0.080854, -0.012712, 0.120653, 7.305085, 0.545594, 0.887351, 0.640602, 0.405091
25, 0.636000, 0.618823, 0.887218, 0.608247, 0.245339, 0.315789, 0.284416, 4.628095, 0.649065, 0.941794, 0.721713, 0.557589
26, 0.652000, 0.681324, 0.917808, 0.563025, 0.339077, 0.205479, 0.398161, 4.083616, 0.610200, 0.843546, 0.697917, 0.638966
27, 0.504000, 0.562612, 0.903382, 0.450602, 0.109131, -0.198068, 0.164201, 6.314456, 0.500803, 0.873374, 0.601286, 0.447671
28, 0.508000, 0.545417, 0.736318, 0.434018, 0.081528, -0.223881, 0.095632, 4.293392, 0.472843, 0.909774, 0.546125, 0.510917
29, 0.578000, 0.595455, 0.740909, 0.514196, 0.182297, 0.040909, 0.196726, 3.704040, 0.547715, 0.852955, 0.607076, 0.577416
30, 0.448000, 0.513788, 0.856436, 0.411905, 0.023493, -0.366337, 0.036911, 7.556009, 0.459617, 0.874477, 0.556270, 0.382846
31, 0.530000, 0.632597, 0.911392, 0.394521, 0.196086, -0.487342, 0.277710, 4.649231, 0.444994, 0.873307, 0.550669, 0.567848
32, 0.648000, 0.690373, 0.846154, 0.509934, 0.333697, 0.032967, 0.374582, 3.562896, 0.553957, 0.867389, 0.636364, 0.672567
33, 0.550000, 0.572118, 0.879310, 0.508728, 0.137508, 0.030172, 0.180507, 5.533269, 0.555556, 0.879302, 0.644550, 0.482651
34, 0.570000, 0.652828, 0.925287, 0.443526, 0.243895, -0.235632, 0.326439, 4.479607, 0.495080, 0.877794, 0.599628, 0.593254
35, 0.498000, 0.598218, 0.961326, 0.416268, 0.153080, -0.386740, 0.254953, 6.175985, 0.469509, 0.899305, 0.580968, 0.475413
36, 0.650000, 0.645513, 0.757692, 0.637540, 0.293329, 0.326923, 0.299245, 3.390385, 0.658422, 0.889527, 0.692443, 0.635691
37, 0.688000, 0.690188, 0.963710, 0.619171, 0.378704, 0.370968, 0.453308, 4.327419, 0.666853, 0.899706, 0.753943, 0.633676
38, 0.602000, 0.615247, 0.916318, 0.550251, 0.224208, 0.167364, 0.285718, 5.015563, 0.598034, 0.858246, 0.687598, 0.536549
39, 0.596000, 0.645721, 0.921951, 0.504000, 0.258716, 0.014634, 0.331032, 4.550324, 0.554252, 0.833129, 0.651724, 0.583655
40, 0.446000, 0.585560, 0.842105, 0.270423, 0.098072, -1.429825, 0.158216, 4.723581, 0.312907, 0.806370, 0.409382, 0.526370
