# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.796000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.345280, 0.000000, 0.000000
1, 0.608000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.653246, 0.000000, 0.000000
2, 0.560000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.479367, 0.000000, 0.000000
3, 0.634000, 0.520942, 0.041885, 1.000000, 0.051263, 0.041885, 0.162190, 1.083770, 0.179372, 0.641522, 0.080402, 0.204658
4, 0.534000, 0.546656, 0.151163, 0.735849, 0.090923, 0.096899, 0.151482, 1.363729, 0.414894, 0.634201, 0.250804, 0.377383
5, 0.684000, 0.477925, 0.037594, 0.142857, -0.057705, -0.187970, -0.076459, 1.164209, 0.091575, 0.476552, 0.059524, 0.185798
6, 0.616000, 0.506453, 0.136364, 0.375000, 0.015102, -0.090909, 0.018451, 1.413572, 0.277778, 0.602816, 0.200000, 0.345729
7, 0.602000, 0.474928, 0.033708, 0.181818, -0.061311, -0.117978, -0.096702, 1.158941, 0.096774, 0.547927, 0.056872, 0.175731
8, 0.654000, 0.581769, 0.180488, 0.880952, 0.186112, 0.156098, 0.289969, 1.378217, 0.495979, 0.729657, 0.299595, 0.421223
9, 0.588000, 0.516432, 0.032864, 1.000000, 0.037545, 0.032864, 0.138317, 1.065728, 0.145228, 0.579984, 0.063636, 0.181284
10, 0.574000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.632003, 0.000000, 0.000000
11, 0.584000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.438949, 0.000000, 0.000000
12, 0.508000, 0.508000, 0.016000, 1.000000, 0.016000, 0.016000, 0.089803, 1.032000, 0.075188, 0.473472, 0.031496, 0.126491
13, 0.468000, 0.514747, 0.047273, 0.764706, 0.026711, 0.032727, 0.080967, 1.112645, 0.189504, 0.617115, 0.089041, 0.215482
14, 0.550000, 0.567916, 0.194656, 0.784615, 0.130871, 0.141221, 0.201717, 1.451813, 0.488506, 0.655254, 0.311927, 0.428026
15, 0.516000, 0.537847, 0.147727, 0.696429, 0.072314, 0.083333, 0.119820, 1.373080, 0.399590, 0.751814, 0.243750, 0.370251
16, 0.608000, 0.624485, 0.853448, 0.550000, 0.240074, 0.155172, 0.276531, 4.235198, 0.592105, 0.738002, 0.668919, 0.580997
17, 0.682000, 0.665808, 0.977186, 0.626829, 0.342105, 0.395437, 0.430998, 4.775801, 0.675250, 0.774735, 0.763744, 0.588510
18, 0.592000, 0.552986, 0.996324, 0.571730, 0.114153, 0.250000, 0.237722, 11.112647, 0.625000, 0.718282, 0.726542, 0.330524
19, 0.426000, 0.506873, 1.000000, 0.421371, 0.011517, -0.373206, 0.076105, 74.750000, 0.476516, 0.736793, 0.592908, 0.117242
20, 0.544000, 0.625127, 0.963158, 0.452970, 0.205464, -0.200000, 0.308399, 5.409462, 0.506645, 0.691154, 0.616162, 0.525851
21, 0.672000, 0.663932, 0.888031, 0.630137, 0.332954, 0.366795, 0.369012, 4.049647, 0.668994, 0.687691, 0.737179, 0.624969
22, 0.578000, 0.580707, 0.665289, 0.553265, 0.160406, 0.128099, 0.163545, 3.346204, 0.572546, 0.658306, 0.604128, 0.574514
23, 0.674000, 0.673109, 0.717647, 0.667883, 0.346746, 0.360784, 0.347755, 3.026203, 0.677276, 0.771140, 0.691871, 0.671634
24, 0.680000, 0.679892, 0.677966, 0.655738, 0.359139, 0.322034, 0.359323, 2.822599, 0.660066, 0.756468, 0.666667, 0.679889
25, 0.618000, 0.620670, 0.578947, 0.660944, 0.239311, 0.281955, 0.241405, 2.667572, 0.642738, 0.688886, 0.617234, 0.619266
26, 0.664000, 0.659760, 0.625571, 0.614350, 0.318878, 0.232877, 0.318920, 2.692167, 0.616562, 0.748533, 0.619910, 0.658874
27, 0.614000, 0.578482, 0.371981, 0.550000, 0.164791, 0.067633, 0.172188, 2.017874, 0.501956, 0.684490, 0.443804, 0.540369
28, 0.606000, 0.569469, 0.383085, 0.513333, 0.144965, 0.019900, 0.148653, 2.089178, 0.480649, 0.580109, 0.438746, 0.538104
29, 0.580000, 0.529058, 0.104545, 0.638889, 0.063837, 0.045455, 0.111605, 1.257780, 0.315934, 0.629724, 0.179687, 0.315740
30, 0.670000, 0.604342, 0.262376, 0.768116, 0.233442, 0.183168, 0.296901, 1.581490, 0.554393, 0.660044, 0.391144, 0.498286
31, 0.708000, 0.555000, 0.139241, 0.687500, 0.140043, 0.075949, 0.208949, 1.308601, 0.384615, 0.720816, 0.231579, 0.367654
32, 0.672000, 0.565900, 0.175824, 0.695652, 0.156864, 0.098901, 0.219409, 1.397701, 0.437158, 0.653535, 0.280702, 0.409980
33, 0.530000, 0.497877, 0.051724, 0.444444, -0.004514, -0.012931, -0.009369, 1.162737, 0.176471, 0.636226, 0.092664, 0.220973
34, 0.678000, 0.549415, 0.126437, 0.709677, 0.122252, 0.074713, 0.195210, 1.281265, 0.369128, 0.631020, 0.214634, 0.350637
35, 0.622000, 0.498216, 0.049724, 0.346154, -0.004379, -0.044199, -0.007722, 1.155739, 0.157895, 0.627773, 0.086957, 0.216965
36, 0.542000, 0.558494, 0.146154, 0.844444, 0.113091, 0.119231, 0.204230, 1.322351, 0.431818, 0.696907, 0.249180, 0.376684
37, 0.554000, 0.550403, 0.100806, 1.000000, 0.101531, 0.100806, 0.231258, 1.201613, 0.359195, 0.774146, 0.183150, 0.317500
38, 0.652000, 0.637394, 0.305439, 0.901235, 0.282664, 0.271967, 0.372535, 1.642499, 0.648313, 0.762981, 0.456250, 0.544130
39, 0.754000, 0.716370, 0.507317, 0.825397, 0.459768, 0.400000, 0.490224, 2.095220, 0.733427, 0.758727, 0.628399, 0.685188
40, 0.658000, 0.605422, 0.508772, 0.335260, 0.178327, -0.500000, 0.185956, 2.441898, 0.359801, 0.655554, 0.404181, 0.597658
41, 0.712000, 0.644301, 0.456250, 0.561538, 0.303675, 0.100000, 0.306922, 2.113913, 0.536765, 0.683879, 0.503448, 0.616248
42, 0.610000, 0.503058, 0.109890, 0.377358, 0.007209, -0.071429, 0.009560, 1.335570, 0.253807, 0.666891, 0.170213, 0.313825
43, 0.570000, 0.561224, 0.122449, 1.000000, 0.124593, 0.122449, 0.257750, 1.244898, 0.410959, 0.750012, 0.218182, 0.349927
44, 0.692000, 0.547059, 0.094118, 1.000000, 0.120603, 0.094118, 0.253320, 1.188235, 0.341880, 0.690535, 0.172043, 0.306786
45, 0.580000, 0.536561, 0.084071, 0.863636, 0.079400, 0.070796, 0.177440, 1.179212, 0.302548, 0.770687, 0.153226, 0.288358
46, 0.712000, 0.540213, 0.083333, 0.928571, 0.107054, 0.076923, 0.225870, 1.169582, 0.306604, 0.730415, 0.152941, 0.288255
47, 0.602000, 0.549774, 0.099548, 1.000000, 0.109827, 0.099548, 0.241048, 1.199095, 0.355987, 0.622894, 0.181070, 0.315512
48, 0.570000, 0.522626, 0.048889, 0.916667, 0.049514, 0.044444, 0.147096, 1.101427, 0.201465, 0.715038, 0.092827, 0.220706
49, 0.606000, 0.551457, 0.138249, 0.750000, 0.113730, 0.092166, 0.188012, 1.313128, 0.397878, 0.746755, 0.233463, 0.365190
50, 0.648000, 0.543732, 0.116402, 0.709677, 0.104617, 0.068783, 0.175861, 1.262606, 0.351438, 0.682540, 0.200000, 0.336205
51, 0.592000, 0.567622, 0.357466, 0.560284, 0.140532, 0.076923, 0.149265, 2.000646, 0.503185, 0.715857, 0.436464, 0.527285
