# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.278000, 0.462632, 0.774510, 0.189448, -0.034787, -2.539216, -0.080941, 8.182353, 0.223164, 0.542159, 0.304432, 0.341702
1, 0.434000, 0.521852, 0.928571, 0.403548, 0.035499, -0.443878, 0.071761, 10.542857, 0.455000, 0.453813, 0.562597, 0.326968
2, 0.460000, 0.510552, 0.931818, 0.445652, 0.018895, -0.227273, 0.038614, 13.063636, 0.497573, 0.531769, 0.602941, 0.288441
3, 0.408000, 0.513038, 0.958115, 0.388535, 0.020374, -0.549738, 0.054204, 16.630516, 0.440964, 0.531854, 0.552870, 0.255176
4, 0.550000, 0.535765, 0.980620, 0.534884, 0.073556, 0.127907, 0.158157, 12.961240, 0.588372, 0.559821, 0.692202, 0.298575
5, 0.286000, 0.492051, 0.932331, 0.262712, -0.008771, -1.684211, -0.030553, 21.180451, 0.306779, 0.564535, 0.409917, 0.219699
6, 0.416000, 0.544192, 0.977273, 0.373913, 0.064582, -0.659091, 0.155594, 10.954545, 0.426587, 0.527304, 0.540881, 0.329524
7, 0.366000, 0.492690, 0.932584, 0.352442, -0.010687, -0.780899, -0.029950, 20.806345, 0.402522, 0.539448, 0.511556, 0.221891
8, 0.460000, 0.535676, 0.956098, 0.428884, 0.060085, -0.317073, 0.125170, 10.588666, 0.482046, 0.567912, 0.592145, 0.331955
9, 0.448000, 0.514322, 0.962441, 0.433404, 0.024749, -0.295775, 0.062668, 17.030146, 0.486936, 0.560894, 0.597668, 0.252420
10, 0.444000, 0.508416, 0.943662, 0.430407, 0.014590, -0.305164, 0.033525, 15.553991, 0.482941, 0.540511, 0.591176, 0.262771
11, 0.430000, 0.502997, 0.937500, 0.417559, 0.005083, -0.370192, 0.011898, 16.475000, 0.469653, 0.474636, 0.577778, 0.253402
12, 0.468000, 0.468000, 0.916000, 0.483122, -0.064000, -0.064000, -0.144127, 51.832000, 0.533551, 0.586144, 0.632597, 0.135351
13, 0.584000, 0.539394, 0.985455, 0.570526, 0.085714, 0.243636, 0.179846, 12.685195, 0.622989, 0.559192, 0.722667, 0.303275
14, 0.548000, 0.526172, 0.980916, 0.537657, 0.054615, 0.137405, 0.127463, 15.961832, 0.591076, 0.616380, 0.694595, 0.264699
15, 0.546000, 0.521540, 0.958333, 0.539446, 0.045159, 0.140152, 0.089178, 13.716667, 0.591121, 0.568776, 0.690314, 0.284982
16, 0.470000, 0.503281, 0.965517, 0.465696, 0.006121, -0.142241, 0.017116, 26.294671, 0.519481, 0.529167, 0.628331, 0.199071
17, 0.554000, 0.531622, 0.961977, 0.542918, 0.066039, 0.152091, 0.125439, 11.798954, 0.594734, 0.601779, 0.694102, 0.312114
18, 0.586000, 0.546053, 1.000000, 0.567850, 0.099405, 0.238971, 0.228696, 12.857143, 0.621572, 0.537257, 0.724368, 0.303488
19, 0.470000, 0.541977, 0.980861, 0.439914, 0.071557, -0.267943, 0.164486, 11.661722, 0.494452, 0.599821, 0.607407, 0.317993
20, 0.452000, 0.552971, 0.973684, 0.407489, 0.083489, -0.442105, 0.177918, 9.508344, 0.461117, 0.550424, 0.574534, 0.358856
21, 0.642000, 0.628919, 0.992278, 0.592166, 0.264513, 0.308880, 0.380618, 5.750181, 0.644110, 0.516557, 0.741703, 0.513332
22, 0.446000, 0.458950, 0.863636, 0.461369, -0.079939, -0.144628, -0.140593, 20.155844, 0.508763, 0.525122, 0.601439, 0.216481
23, 0.502000, 0.494638, 0.862745, 0.506912, -0.010880, 0.023529, -0.015838, 9.628716, 0.552486, 0.531052, 0.638607, 0.330399
24, 0.472000, 0.495955, 0.923729, 0.469828, -0.007695, -0.118644, -0.015623, 16.514124, 0.521033, 0.557845, 0.622857, 0.250961
25, 0.576000, 0.547009, 1.000000, 0.556485, 0.099436, 0.203008, 0.228734, 12.636364, 0.610652, 0.565725, 0.715054, 0.306622
26, 0.482000, 0.537635, 0.986301, 0.457627, 0.066761, -0.182648, 0.162421, 13.212603, 0.512577, 0.575432, 0.625181, 0.296225
27, 0.486000, 0.559307, 0.985507, 0.445415, 0.100694, -0.241546, 0.210617, 9.483835, 0.500245, 0.525589, 0.613534, 0.362183
28, 0.454000, 0.543478, 1.000000, 0.424051, 0.071125, -0.358209, 0.192026, 13.500000, 0.479256, 0.515458, 0.595556, 0.294884
29, 0.500000, 0.551623, 0.981818, 0.467532, 0.092361, -0.136364, 0.193399, 10.198930, 0.522244, 0.574359, 0.633431, 0.345284
30, 0.456000, 0.543624, 1.000000, 0.426160, 0.071698, -0.346535, 0.192826, 13.461538, 0.481411, 0.595546, 0.597633, 0.295378
31, 0.354000, 0.514157, 0.949367, 0.322581, 0.018595, -1.044304, 0.051593, 14.565401, 0.371655, 0.578207, 0.481541, 0.273770
32, 0.392000, 0.520838, 0.994505, 0.373967, 0.030761, -0.670330, 0.113932, 23.189011, 0.427290, 0.505045, 0.543544, 0.216589
33, 0.526000, 0.557836, 1.000000, 0.494670, 0.108245, -0.021552, 0.239205, 10.645161, 0.550285, 0.505517, 0.661912, 0.340105
34, 0.378000, 0.513627, 0.959770, 0.354565, 0.019497, -0.787356, 0.055541, 16.737722, 0.405734, 0.577304, 0.517829, 0.254499
35, 0.438000, 0.557171, 0.988950, 0.390830, 0.085905, -0.552486, 0.198100, 9.952901, 0.444610, 0.528109, 0.560250, 0.352145
36, 0.564000, 0.546314, 0.988462, 0.544492, 0.095886, 0.161538, 0.201273, 11.576923, 0.598231, 0.524744, 0.702186, 0.320881
37, 0.526000, 0.529506, 0.967742, 0.511727, 0.058597, 0.044355, 0.122348, 12.892006, 0.564972, 0.529810, 0.669456, 0.297196
38, 0.508000, 0.527678, 0.974895, 0.492600, 0.053162, -0.029289, 0.122339, 14.378362, 0.546692, 0.519975, 0.654494, 0.280071
39, 0.436000, 0.517569, 0.970732, 0.418947, 0.029260, -0.375610, 0.079297, 17.467779, 0.472684, 0.493568, 0.585294, 0.250043
40, 0.278000, 0.516930, 0.956140, 0.234409, 0.016242, -2.166667, 0.055677, 14.778947, 0.276089, 0.549405, 0.376511, 0.272601
41, 0.350000, 0.520404, 0.993750, 0.329193, 0.026596, -1.031250, 0.105040, 23.237500, 0.380019, 0.521434, 0.494557, 0.216251
42, 0.402000, 0.529874, 1.000000, 0.378378, 0.044215, -0.642857, 0.150358, 18.736842, 0.432099, 0.565839, 0.549020, 0.244435
43, 0.498000, 0.507203, 0.967347, 0.493750, 0.014140, -0.024490, 0.036750, 23.184694, 0.547344, 0.599024, 0.653793, 0.213359
44, 0.388000, 0.530660, 0.976471, 0.354701, 0.043032, -0.800000, 0.118680, 13.738655, 0.406464, 0.543494, 0.520376, 0.287840
45, 0.502000, 0.544070, 0.982301, 0.475375, 0.080611, -0.101770, 0.176681, 11.412878, 0.530086, 0.557514, 0.640693, 0.322438
46, 0.346000, 0.519454, 0.980769, 0.320755, 0.024905, -1.096154, 0.086053, 19.161538, 0.370640, 0.587862, 0.483412, 0.238792
47, 0.510000, 0.557640, 0.968326, 0.473451, 0.103982, -0.108597, 0.194339, 8.741530, 0.527353, 0.510136, 0.635958, 0.377225
48, 0.462000, 0.500808, 0.888889, 0.450450, 0.001485, -0.195556, 0.002550, 10.648746, 0.499750, 0.551556, 0.597907, 0.316547
49, 0.502000, 0.560071, 1.000000, 0.465665, 0.105963, -0.147465, 0.236528, 10.323529, 0.521384, 0.570997, 0.635432, 0.346614
50, 0.450000, 0.550613, 0.962963, 0.404444, 0.079652, -0.455026, 0.163612, 9.158484, 0.457516, 0.616181, 0.569640, 0.364887
51, 0.544000, 0.589987, 0.986425, 0.492099, 0.162959, -0.031674, 0.281234, 7.139517, 0.546914, 0.594982, 0.656627, 0.436945
52, 0.490000, 0.544643, 1.000000, 0.463158, 0.079422, -0.159091, 0.203355, 13.200000, 0.518868, 0.501396, 0.633094, 0.298807
53, 0.380000, 0.478608, 0.889474, 0.368996, -0.033609, -0.631579, -0.074866, 16.540852, 0.417903, 0.577250, 0.521605, 0.245468
54, 0.356000, 0.471397, 0.889503, 0.347732, -0.042787, -0.779006, -0.105023, 20.543711, 0.395967, 0.539947, 0.500000, 0.217722
55, 0.394000, 0.465833, 0.825000, 0.381062, -0.057223, -0.515000, -0.098271, 11.025000, 0.427019, 0.582750, 0.521327, 0.296648
56, 0.480000, 0.581219, 0.989362, 0.418919, 0.127845, -0.382979, 0.249494, 7.756501, 0.473523, 0.492107, 0.588608, 0.413806
57, 0.386000, 0.447346, 0.812500, 0.386728, -0.090912, -0.475962, -0.156414, 13.791667, 0.432004, 0.516909, 0.524031, 0.258420
58, 0.370000, 0.463482, 0.840426, 0.356659, -0.057530, -0.675532, -0.111315, 13.236407, 0.403061, 0.539016, 0.500792, 0.269683
59, 0.442000, 0.547544, 0.994764, 0.405983, 0.074467, -0.460733, 0.188766, 11.957271, 0.460494, 0.506735, 0.576631, 0.315909
60, 0.450000, 0.553168, 0.962567, 0.401786, 0.083015, -0.470588, 0.168553, 8.880689, 0.454775, 0.604244, 0.566929, 0.372006
61, 0.516000, 0.545612, 0.956897, 0.488987, 0.085716, -0.043103, 0.157405, 9.358238, 0.541992, 0.531306, 0.647230, 0.358522
62, 0.422000, 0.475162, 0.918182, 0.427061, -0.044226, -0.313636, -0.109098, 32.947475, 0.478220, 0.580731, 0.582973, 0.171793
63, 0.502000, 0.529225, 0.982979, 0.485294, 0.055244, -0.059574, 0.136469, 15.215957, 0.539972, 0.593127, 0.649789, 0.272373
64, 0.452000, 0.516862, 0.967290, 0.436709, 0.029250, -0.280374, 0.075153, 16.987211, 0.490521, 0.473825, 0.601744, 0.253497
65, 0.358000, 0.506541, 0.976608, 0.345041, 0.009088, -0.877193, 0.035261, 29.369883, 0.396298, 0.527960, 0.509924, 0.188735
66, 0.536000, 0.539619, 0.991935, 0.516807, 0.078663, 0.064516, 0.185330, 13.438416, 0.571561, 0.542363, 0.679558, 0.294275
67, 0.348000, 0.475668, 0.890173, 0.334056, -0.034960, -0.884393, -0.086323, 18.130347, 0.381755, 0.577610, 0.485804, 0.233334
68, 0.318000, 0.512314, 0.993289, 0.303279, 0.014884, -1.288591, 0.073598, 33.895668, 0.352213, 0.497648, 0.464678, 0.176433
69, 0.340000, 0.512042, 0.974522, 0.319415, 0.015478, -1.101911, 0.055727, 22.125515, 0.369030, 0.581837, 0.481132, 0.219772
70, 0.376000, 0.522995, 0.982353, 0.350840, 0.032018, -0.835294, 0.101913, 17.678992, 0.402604, 0.567380, 0.517028, 0.250027
71, 0.398000, 0.525823, 0.988950, 0.374477, 0.038117, -0.662983, 0.121017, 17.927901, 0.427616, 0.561795, 0.543247, 0.249004
72, 0.374000, 0.519317, 0.951807, 0.341253, 0.026644, -0.885542, 0.069503, 13.420856, 0.391477, 0.511020, 0.502385, 0.287475
73, 0.362000, 0.494538, 0.924855, 0.343348, -0.007810, -0.843931, -0.020642, 17.421140, 0.392734, 0.598434, 0.500782, 0.243710
74, 0.454000, 0.497174, 0.946903, 0.450526, -0.005155, -0.207965, -0.012907, 22.970728, 0.503293, 0.489116, 0.610556, 0.211958
75, 0.502000, 0.516032, 0.954545, 0.492537, 0.031159, -0.028926, 0.066448, 14.809091, 0.545326, 0.568838, 0.649789, 0.272022
76, 0.550000, 0.537597, 0.980545, 0.533898, 0.077052, 0.124514, 0.163459, 12.526307, 0.587413, 0.541465, 0.691358, 0.304645
