# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.644000, 0.619618, 0.578431, 0.304124, 0.179149, -0.745098, 0.197836, 2.670171, 0.335991, 0.973618, 0.398649, 0.618247
1, 0.622000, 0.565890, 0.306122, 0.530973, 0.142499, 0.035714, 0.153823, 1.823400, 0.462963, 0.974733, 0.388350, 0.502745
2, 0.578000, 0.563312, 0.440909, 0.524324, 0.128819, 0.040909, 0.130186, 2.340152, 0.505208, 0.951323, 0.479012, 0.549852
3, 0.586000, 0.588073, 0.596859, 0.467213, 0.167283, -0.083770, 0.171220, 2.919974, 0.488432, 0.953981, 0.524138, 0.588008
4, 0.644000, 0.645429, 0.600775, 0.673913, 0.289818, 0.310078, 0.291644, 2.650652, 0.657895, 0.960255, 0.635246, 0.643882
5, 0.636000, 0.636988, 0.639098, 0.388128, 0.227150, -0.368421, 0.244003, 2.853303, 0.421209, 0.961966, 0.482955, 0.636984
6, 0.676000, 0.567024, 0.198864, 0.625000, 0.158774, 0.079545, 0.203005, 1.467034, 0.437500, 0.941139, 0.301724, 0.431247
7, 0.682000, 0.608643, 0.353933, 0.588785, 0.238564, 0.106742, 0.253678, 1.866139, 0.519802, 0.961520, 0.442105, 0.552783
8, 0.564000, 0.536751, 0.385366, 0.461988, 0.075409, -0.063415, 0.076206, 2.223934, 0.444319, 0.963811, 0.420213, 0.514960
9, 0.670000, 0.644755, 0.474178, 0.655844, 0.300231, 0.225352, 0.310095, 2.174853, 0.609168, 0.964813, 0.550409, 0.621782
10, 0.664000, 0.641344, 0.488263, 0.638037, 0.291510, 0.211268, 0.298215, 2.235298, 0.601156, 0.951743, 0.553191, 0.622807
11, 0.620000, 0.599974, 0.480769, 0.549451, 0.203608, 0.086538, 0.204828, 2.352015, 0.534188, 0.944020, 0.512821, 0.588012
12, 0.576000, 0.576000, 0.436000, 0.605556, 0.152000, 0.152000, 0.158333, 2.268648, 0.561856, 0.946912, 0.506977, 0.558727
13, 0.648000, 0.642828, 0.694545, 0.674912, 0.286583, 0.360000, 0.286734, 3.080820, 0.678749, 0.962626, 0.684588, 0.640745
14, 0.686000, 0.684794, 0.709924, 0.696629, 0.369943, 0.400763, 0.370018, 2.935771, 0.699248, 0.976690, 0.703214, 0.684333
15, 0.714000, 0.711190, 0.761364, 0.715302, 0.424000, 0.458333, 0.424998, 3.035548, 0.724063, 0.971238, 0.737615, 0.709418
16, 0.638000, 0.643206, 0.715517, 0.590747, 0.282407, 0.219828, 0.287891, 3.182668, 0.612094, 0.979815, 0.647173, 0.639129
17, 0.676000, 0.680961, 0.585551, 0.743961, 0.357744, 0.384030, 0.366901, 2.459146, 0.705775, 0.950699, 0.655319, 0.674244
18, 0.742000, 0.739100, 0.772059, 0.758123, 0.479049, 0.525735, 0.479147, 2.960267, 0.760870, 0.975152, 0.765027, 0.738364
19, 0.704000, 0.698515, 0.665072, 0.640553, 0.394901, 0.291866, 0.395112, 2.696341, 0.645311, 0.962594, 0.652582, 0.697714
20, 0.546000, 0.513667, 0.378947, 0.397790, 0.027587, -0.194737, 0.027608, 2.300183, 0.393873, 0.973642, 0.388140, 0.495686
21, 0.630000, 0.635936, 0.471042, 0.717647, 0.268428, 0.285714, 0.286775, 2.190790, 0.649627, 0.976762, 0.568765, 0.614186
22, 0.590000, 0.590028, 0.590909, 0.574297, 0.179895, 0.152893, 0.179966, 2.879187, 0.577544, 0.957044, 0.582485, 0.590028
23, 0.574000, 0.574750, 0.537255, 0.590517, 0.149225, 0.164706, 0.149859, 2.707843, 0.579036, 0.978936, 0.562628, 0.573526
24, 0.682000, 0.684707, 0.733051, 0.643123, 0.366695, 0.326271, 0.369905, 3.037530, 0.659299, 0.979480, 0.685149, 0.682998
25, 0.746000, 0.747397, 0.725564, 0.781377, 0.492390, 0.522556, 0.493816, 2.751128, 0.769537, 0.990618, 0.752437, 0.747078
26, 0.708000, 0.712508, 0.748858, 0.643137, 0.417445, 0.333333, 0.421819, 2.976664, 0.661824, 0.967630, 0.691983, 0.711580
27, 0.766000, 0.754258, 0.685990, 0.731959, 0.513246, 0.434783, 0.513999, 2.587748, 0.722279, 0.964601, 0.708229, 0.751162
28, 0.562000, 0.539202, 0.422886, 0.452128, 0.079244, -0.089552, 0.079363, 2.371281, 0.445960, 0.971630, 0.437018, 0.526507
29, 0.622000, 0.600162, 0.418182, 0.601307, 0.207082, 0.140909, 0.215782, 2.114902, 0.552885, 0.956088, 0.493298, 0.571907
30, 0.634000, 0.645907, 0.707921, 0.535581, 0.277434, 0.094059, 0.287049, 3.128485, 0.562992, 0.960637, 0.609808, 0.642923
31, 0.736000, 0.737212, 0.740506, 0.562500, 0.437206, 0.164557, 0.447492, 2.843562, 0.590909, 0.966180, 0.639344, 0.737205
32, 0.770000, 0.732238, 0.593407, 0.724832, 0.483211, 0.368132, 0.488614, 2.334828, 0.694087, 0.975879, 0.652568, 0.718956
33, 0.674000, 0.667235, 0.573276, 0.675127, 0.337894, 0.297414, 0.341361, 2.460277, 0.651961, 0.983362, 0.620047, 0.660586
34, 0.772000, 0.774240, 0.781609, 0.641509, 0.521908, 0.344828, 0.528665, 2.867218, 0.665362, 0.965376, 0.704663, 0.774205
35, 0.828000, 0.819793, 0.790055, 0.748691, 0.632032, 0.524862, 0.632611, 2.757232, 0.756614, 0.987357, 0.768817, 0.819253
36, 0.674000, 0.680288, 0.523077, 0.777143, 0.355731, 0.373077, 0.377685, 2.240184, 0.708333, 0.971587, 0.625287, 0.661874
37, 0.770000, 0.770385, 0.818548, 0.743590, 0.540338, 0.536290, 0.543056, 3.021712, 0.757463, 0.985927, 0.779271, 0.768878
38, 0.690000, 0.689840, 0.686192, 0.672131, 0.379345, 0.351464, 0.379421, 2.814374, 0.674897, 0.952708, 0.679089, 0.689830
39, 0.694000, 0.686358, 0.643902, 0.622642, 0.370785, 0.253659, 0.370938, 2.659898, 0.626781, 0.943853, 0.633094, 0.685044
40, 0.680000, 0.641305, 0.570175, 0.369318, 0.237165, -0.403509, 0.248259, 2.543987, 0.397311, 0.950345, 0.448276, 0.637348
41, 0.704000, 0.592096, 0.281250, 0.576923, 0.213101, 0.075000, 0.236791, 1.669992, 0.476695, 0.956232, 0.378151, 0.503937
42, 0.672000, 0.621121, 0.434066, 0.564286, 0.254816, 0.098901, 0.259587, 2.105486, 0.532345, 0.958688, 0.490683, 0.592285
43, 0.678000, 0.674790, 0.514286, 0.750000, 0.351747, 0.342857, 0.369978, 2.225755, 0.687023, 0.978567, 0.610169, 0.655423
44, 0.744000, 0.716221, 0.629412, 0.622093, 0.431212, 0.247059, 0.431229, 2.504107, 0.623543, 0.976791, 0.625731, 0.710941
45, 0.676000, 0.660972, 0.504425, 0.695122, 0.329870, 0.283186, 0.341285, 2.232064, 0.646259, 0.974711, 0.584615, 0.642165
46, 0.718000, 0.647920, 0.461538, 0.558140, 0.310527, 0.096154, 0.313269, 2.121683, 0.535714, 0.988111, 0.505263, 0.620534
47, 0.588000, 0.562627, 0.343891, 0.554745, 0.130405, 0.067873, 0.139468, 1.967599, 0.494148, 0.978892, 0.424581, 0.518366
48, 0.596000, 0.588283, 0.511111, 0.555556, 0.177859, 0.102222, 0.178338, 2.524954, 0.546059, 0.973737, 0.532407, 0.583199
49, 0.734000, 0.745673, 0.834101, 0.651079, 0.475751, 0.387097, 0.490130, 3.189708, 0.680963, 0.981754, 0.731313, 0.740411
50, 0.818000, 0.784166, 0.645503, 0.835616, 0.594879, 0.518519, 0.606087, 2.374629, 0.789133, 0.979542, 0.728358, 0.771809
