# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.730000, 0.603821, 0.428571, 0.240000, 0.156250, -0.928571, 0.166390, 2.140725, 0.263158, 0.852575, 0.307692, 0.577830
1, 0.610000, 0.650000, 0.700000, 0.162791, 0.121622, -2.900000, 0.181790, 3.066667, 0.192308, 0.875556, 0.264151, 0.648074
2, 0.580000, 0.509470, 0.416667, 0.125000, 0.009434, -2.500000, 0.012563, 2.493711, 0.145349, 0.825758, 0.192308, 0.500946
3, 0.730000, 0.650248, 0.529412, 0.321429, 0.239008, -0.588235, 0.251395, 2.355699, 0.348837, 0.858257, 0.400000, 0.638922
4, 0.700000, 0.562013, 0.352941, 0.240000, 0.104478, -0.764706, 0.107590, 2.002757, 0.256410, 0.821403, 0.285714, 0.521677
5, 0.800000, 0.717647, 0.600000, 0.391304, 0.356913, -0.333333, 0.369342, 2.397183, 0.420561, 0.914902, 0.473684, 0.707938
6, 0.730000, 0.687500, 0.625000, 0.322581, 0.271845, -0.687500, 0.297252, 2.583333, 0.357143, 0.902530, 0.425532, 0.684653
7, 0.770000, 0.689394, 0.583333, 0.280000, 0.258065, -0.916667, 0.284268, 2.423810, 0.312500, 0.845644, 0.378378, 0.681187
8, 0.780000, 0.750532, 0.705882, 0.413793, 0.391256, -0.294118, 0.414789, 2.669340, 0.451128, 0.927356, 0.521739, 0.749202
9, 0.650000, 0.621212, 0.583333, 0.189189, 0.127617, -1.916667, 0.163169, 2.683908, 0.218750, 0.782670, 0.285714, 0.620056
10, 0.750000, 0.638909, 0.470588, 0.333333, 0.238733, -0.470588, 0.244349, 2.179982, 0.353982, 0.861446, 0.390244, 0.616338
11, 0.710000, 0.571618, 0.384615, 0.192308, 0.100496, -1.230769, 0.109820, 2.087413, 0.213675, 0.884615, 0.256410, 0.540164
12, 0.750000, 0.750000, 0.750000, 0.363636, 0.349636, -0.562500, 0.389830, 2.833333, 0.405405, 0.891369, 0.489796, 0.750000
13, 0.770000, 0.716777, 0.642857, 0.333333, 0.312201, -0.642857, 0.338855, 2.550420, 0.368852, 0.843854, 0.439024, 0.712956
14, 0.730000, 0.718750, 0.700000, 0.400000, 0.341463, -0.350000, 0.366900, 2.755932, 0.437500, 0.851250, 0.509091, 0.718505
15, 0.650000, 0.656118, 0.666667, 0.333333, 0.228395, -0.666667, 0.257672, 2.882353, 0.370370, 0.858951, 0.444444, 0.656033
16, 0.740000, 0.718750, 0.687500, 0.343750, 0.311441, -0.625000, 0.343834, 2.708333, 0.381944, 0.885789, 0.458333, 0.718070
17, 0.720000, 0.690999, 0.647059, 0.333333, 0.277978, -0.647059, 0.305162, 2.654773, 0.369128, 0.888377, 0.440000, 0.689601
18, 0.810000, 0.799834, 0.785714, 0.407407, 0.431818, -0.357143, 0.468685, 2.800000, 0.450820, 0.886213, 0.536585, 0.799709
