# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.160000, 0.302326, 0.500000, 0.083333, -0.127820, -5.000000, -0.374192, 10.555556, 0.100000, 0.349668, 0.142857, 0.228748
1, 0.230000, 0.438889, 0.700000, 0.086420, -0.029412, -6.700000, -0.093466, 7.025000, 0.104790, 0.347222, 0.153846, 0.352767
2, 0.150000, 0.373106, 0.666667, 0.089888, -0.067303, -6.083333, -0.263579, 13.904762, 0.108696, 0.373106, 0.158416, 0.230283
3, 0.160000, 0.377038, 0.705882, 0.131868, -0.090060, -3.941176, -0.322793, 22.161765, 0.157480, 0.340893, 0.222222, 0.184441
4, 0.220000, 0.366407, 0.588235, 0.123457, -0.107011, -3.588235, -0.255834, 8.093137, 0.146628, 0.384479, 0.204082, 0.291627
5, 0.200000, 0.309804, 0.466667, 0.088608, -0.137980, -4.333333, -0.333475, 7.471795, 0.105740, 0.465098, 0.148936, 0.267156
6, 0.230000, 0.364583, 0.562500, 0.113924, -0.104418, -3.812500, -0.243769, 7.125000, 0.135542, 0.470238, 0.189474, 0.306186
7, 0.210000, 0.335227, 0.500000, 0.075949, -0.096613, -5.583333, -0.262920, 6.866667, 0.091463, 0.469697, 0.131868, 0.291937
8, 0.190000, 0.348335, 0.588235, 0.119048, -0.118167, -3.764706, -0.310800, 10.398693, 0.141643, 0.751595, 0.198020, 0.252556
9, 0.710000, 0.547348, 0.333333, 0.160000, 0.064516, -1.416667, 0.071067, 1.980100, 0.178571, 0.325758, 0.216216, 0.503774
10, 0.150000, 0.371013, 0.705882, 0.130435, -0.093670, -4.000000, -0.357190, 29.078431, 0.155844, 0.318568, 0.220183, 0.159730
11, 0.200000, 0.376658, 0.615385, 0.096386, -0.074980, -5.153846, -0.220856, 8.480769, 0.115942, 0.284704, 0.166667, 0.291343
12, 0.200000, 0.169643, 0.125000, 0.029412, -0.285347, -4.000000, -0.519259, 4.916667, 0.034722, 0.659970, 0.047619, 0.163663
13, 0.780000, 0.573090, 0.285714, 0.250000, 0.137931, -0.571429, 0.138357, 1.733591, 0.256410, 0.287375, 0.266667, 0.495830
14, 0.170000, 0.387500, 0.750000, 0.161290, -0.094987, -3.150000, -0.352738, 41.500000, 0.191327, 0.461250, 0.265487, 0.136931
15, 0.260000, 0.409283, 0.666667, 0.172840, -0.088555, -2.523810, -0.188375, 7.916667, 0.202899, 0.412899, 0.274510, 0.318223
16, 0.170000, 0.252976, 0.375000, 0.075949, -0.190476, -4.187500, -0.444678, 8.386364, 0.090361, 0.267857, 0.126316, 0.221601
17, 0.250000, 0.314316, 0.411765, 0.097222, -0.162430, -3.411765, -0.310687, 5.434641, 0.114754, 0.282069, 0.157303, 0.298828
18, 0.160000, 0.332226, 0.571429, 0.093023, -0.106428, -5.000000, -0.335548, 11.892857, 0.111732, 0.309385, 0.160000, 0.230556
