# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.720000, 0.747508, 0.785714, 0.305556, 0.298597, -1.000000, 0.357842, 2.981265, 0.348101, 0.894518, 0.440000, 0.746531
1, 0.720000, 0.622222, 0.500000, 0.178571, 0.135802, -1.800000, 0.163326, 2.343284, 0.204918, 0.918333, 0.263158, 0.610100
2, 0.620000, 0.712121, 0.833333, 0.217391, 0.190801, -2.166667, 0.276612, 3.358974, 0.255102, 0.930871, 0.344828, 0.701729
3, 0.630000, 0.566619, 0.470588, 0.222222, 0.092247, -1.176471, 0.104268, 2.450267, 0.248447, 0.927711, 0.301887, 0.558422
4, 0.730000, 0.626860, 0.470588, 0.307692, 0.209602, -0.588235, 0.217279, 2.218100, 0.330579, 0.897590, 0.372093, 0.607069
5, 0.780000, 0.760784, 0.733333, 0.379310, 0.376771, -0.466667, 0.410429, 2.735323, 0.419847, 0.947843, 0.500000, 0.760289
6, 0.710000, 0.726190, 0.750000, 0.324324, 0.295432, -0.812500, 0.343505, 2.923729, 0.365854, 0.931920, 0.452830, 0.725800
7, 0.660000, 0.662879, 0.666667, 0.210526, 0.168297, -1.833333, 0.218092, 2.850575, 0.243902, 0.878314, 0.320000, 0.662868
8, 0.760000, 0.808646, 0.882353, 0.405405, 0.420570, -0.411765, 0.480268, 3.125362, 0.454545, 0.927356, 0.555556, 0.805280
9, 0.740000, 0.708333, 0.666667, 0.266667, 0.252874, -1.166667, 0.295468, 2.666667, 0.303030, 0.789299, 0.380952, 0.707107
10, 0.770000, 0.604181, 0.352941, 0.333333, 0.203601, -0.352941, 0.203723, 1.874896, 0.337079, 0.927711, 0.342857, 0.549467
11, 0.710000, 0.669761, 0.615385, 0.250000, 0.209378, -1.230769, 0.244777, 2.611722, 0.283688, 0.931034, 0.355556, 0.667550
12, 0.670000, 0.752976, 0.875000, 0.311111, 0.291845, -1.062500, 0.372839, 3.334906, 0.357143, 0.906622, 0.459016, 0.743023
13, 0.770000, 0.716777, 0.642857, 0.333333, 0.312201, -0.642857, 0.338855, 2.550420, 0.368852, 0.906977, 0.439024, 0.712956
14, 0.750000, 0.637500, 0.450000, 0.391304, 0.260355, -0.250000, 0.261387, 2.112121, 0.401786, 0.885312, 0.418605, 0.609303
15, 0.640000, 0.614828, 0.571429, 0.307692, 0.174691, -0.714286, 0.191781, 2.662088, 0.338983, 0.847197, 0.400000, 0.613295
16, 0.720000, 0.706845, 0.687500, 0.323529, 0.284254, -0.750000, 0.320158, 2.752049, 0.361842, 0.934524, 0.440000, 0.706580
17, 0.740000, 0.656272, 0.529412, 0.333333, 0.253303, -0.529412, 0.264443, 2.335747, 0.360000, 0.893692, 0.409091, 0.643894
18, 0.690000, 0.700166, 0.714286, 0.270270, 0.237205, -1.214286, 0.287715, 2.886199, 0.308642, 0.940199, 0.392157, 0.700024
