# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.860000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.832226, 0.000000, 0.000000
1, 0.710000, 0.705556, 0.700000, 0.212121, 0.203297, -1.900000, 0.262293, 2.806250, 0.246479, 0.765000, 0.325581, 0.705534
2, 0.590000, 0.695076, 0.833333, 0.204082, 0.167344, -2.416667, 0.253619, 3.462585, 0.240385, 0.829072, 0.327869, 0.681187
3, 0.700000, 0.655563, 0.588235, 0.303030, 0.226405, -0.764706, 0.248546, 2.559804, 0.335570, 0.695252, 0.400000, 0.652097
4, 0.290000, 0.431963, 0.647059, 0.144737, -0.057177, -3.176471, -0.119681, 5.905229, 0.171340, 0.751595, 0.236559, 0.374601
5, 0.620000, 0.749020, 0.933333, 0.274510, 0.250493, -1.533333, 0.355742, 3.637500, 0.319635, 0.842745, 0.424242, 0.725988
6, 0.600000, 0.660714, 0.750000, 0.250000, 0.177632, -1.500000, 0.235864, 3.250000, 0.288462, 0.727307, 0.375000, 0.654654
7, 0.670000, 0.596591, 0.500000, 0.181818, 0.110032, -1.750000, 0.133507, 2.442623, 0.208333, 0.797348, 0.266667, 0.588720
8, 0.670000, 0.777817, 0.941176, 0.333333, 0.322104, -0.941176, 0.417763, 3.509804, 0.382775, 0.916726, 0.492308, 0.760469
9, 0.700000, 0.685606, 0.666667, 0.235294, 0.207188, -1.500000, 0.254649, 2.752688, 0.270270, 0.753314, 0.347826, 0.685344
10, 0.820000, 0.727853, 0.588235, 0.476190, 0.416721, -0.058824, 0.420266, 2.329248, 0.495050, 0.773919, 0.526316, 0.714336
11, 0.670000, 0.679487, 0.692308, 0.236842, 0.197471, -1.538462, 0.248718, 2.884615, 0.272727, 0.711317, 0.352941, 0.679366
12, 0.670000, 0.677083, 0.687500, 0.282051, 0.223895, -1.062500, 0.266201, 2.875000, 0.319767, 0.851562, 0.400000, 0.677003
13, 0.800000, 0.704319, 0.571429, 0.363636, 0.329759, -0.428571, 0.342289, 2.337302, 0.392157, 0.799419, 0.444444, 0.691669
14, 0.740000, 0.706250, 0.650000, 0.406250, 0.336735, -0.300000, 0.353716, 2.611475, 0.439189, 0.795000, 0.500000, 0.704006
15, 0.540000, 0.603978, 0.714286, 0.272727, 0.130435, -1.190476, 0.170258, 3.454212, 0.311203, 0.675105, 0.394737, 0.593820
16, 0.670000, 0.702381, 0.750000, 0.292683, 0.247949, -1.062500, 0.301704, 3.027273, 0.333333, 0.850446, 0.421053, 0.700765
17, 0.750000, 0.685684, 0.588235, 0.357143, 0.295378, -0.470588, 0.310687, 2.453394, 0.387597, 0.824238, 0.444444, 0.678724
18, 0.680000, 0.694352, 0.714286, 0.263158, 0.226306, -1.285714, 0.277872, 2.911330, 0.301205, 0.779070, 0.384615, 0.694066
