# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.160000, 0.511628, 1.000000, 0.142857, 0.006623, -5.000000, 0.057639, 45.000000, 0.172414, 0.766196, 0.250000, 0.152499
1, 0.210000, 0.561111, 1.000000, 0.112360, 0.027094, -6.900000, 0.117187, 10.181818, 0.136612, 0.764444, 0.202020, 0.349603
2, 0.290000, 0.596591, 1.000000, 0.144578, 0.054342, -4.916667, 0.167122, 7.176471, 0.174419, 0.814867, 0.252632, 0.439525
3, 0.350000, 0.585046, 0.941176, 0.200000, 0.068768, -2.823529, 0.159730, 6.250774, 0.237389, 0.667257, 0.329897, 0.464166
4, 0.430000, 0.656627, 1.000000, 0.229730, 0.134265, -2.352941, 0.268260, 5.192308, 0.271565, 0.761162, 0.373626, 0.559690
5, 0.510000, 0.711765, 1.000000, 0.234375, 0.180602, -2.266667, 0.315063, 4.361111, 0.276753, 0.841961, 0.379747, 0.650791
6, 0.500000, 0.651786, 0.875000, 0.225806, 0.140303, -2.125000, 0.229284, 4.083333, 0.265152, 0.753348, 0.358974, 0.612372
7, 0.450000, 0.615530, 0.833333, 0.158730, 0.081496, -3.583333, 0.155520, 4.180952, 0.189394, 0.176136, 0.266667, 0.575708
8, 0.720000, 0.433735, 0.000000, 0.000000, -0.154163, -0.647059, -0.159106, 3.152778, 0.000000, 0.103473, 0.000000, 0.000000
9, 0.840000, 0.477273, 0.000000, 0.000000, -0.063830, -0.333333, -0.075378, 3.047619, 0.000000, 0.265152, 0.000000, 0.000000
10, 0.800000, 0.528703, 0.117647, 0.285714, 0.074931, -0.176471, 0.084514, 1.299397, 0.222222, 0.229979, 0.166667, 0.332505
11, 0.790000, 0.486737, 0.076923, 0.100000, -0.029412, -0.615385, -0.029735, 1.269231, 0.094340, 0.299735, 0.086957, 0.262613
12, 0.800000, 0.476190, 0.000000, 0.000000, -0.068376, -0.250000, -0.089087, 3.050000, 0.000000, 0.127604, 0.000000, 0.000000
13, 0.840000, 0.488372, 0.000000, 0.000000, -0.036269, -0.142857, -0.057639, 3.023810, 0.000000, 0.231312, 0.000000, 0.000000
14, 0.730000, 0.456250, 0.000000, 0.000000, -0.115702, -0.350000, -0.137176, 3.095890, 0.000000, 0.202500, 0.000000, 0.000000
15, 0.770000, 0.504822, 0.047619, 0.250000, 0.013722, -0.095238, 0.020046, 1.134712, 0.135135, 0.306510, 0.080000, 0.214034
16, 0.780000, 0.464286, 0.000000, 0.000000, -0.095618, -0.375000, -0.110264, 3.076923, 0.000000, 0.186012, 0.000000, 0.000000
17, 0.800000, 0.505315, 0.058824, 0.200000, 0.014778, -0.176471, 0.018322, 1.168280, 0.135135, 0.710135, 0.090909, 0.236619
18, 0.760000, 0.681063, 0.571429, 0.307692, 0.266504, -0.714286, 0.286464, 2.407563, 0.338983, 0.669850, 0.400000, 0.672181
