# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.760000, 0.710963, 0.642857, 0.321429, 0.297424, -0.714286, 0.326066, 2.569296, 0.357143, 0.793189, 0.428571, 0.707694
1, 0.660000, 0.722222, 0.800000, 0.200000, 0.190476, -2.400000, 0.272166, 3.151724, 0.235294, 0.764444, 0.320000, 0.718022
2, 0.490000, 0.674242, 0.916667, 0.180328, 0.126114, -3.250000, 0.232177, 4.149123, 0.214844, 0.640152, 0.301370, 0.629153
3, 0.180000, 0.506024, 1.000000, 0.171717, 0.004129, -3.823529, 0.045485, 85.000000, 0.205811, 0.648122, 0.293103, 0.109764
4, 0.170000, 0.500000, 1.000000, 0.170000, 0.000000, -3.882353, 0.000000, 3.000000, 0.203837, 0.748051, 0.290598, 0.000000
5, 0.570000, 0.747059, 1.000000, 0.258621, 0.226619, -1.866667, 0.357476, 4.023810, 0.303644, 0.788235, 0.410959, 0.702935
6, 0.490000, 0.645833, 0.875000, 0.222222, 0.133243, -2.187500, 0.221470, 4.150000, 0.261194, 0.714286, 0.354430, 0.603807
7, 0.140000, 0.511364, 1.000000, 0.122449, 0.005550, -6.166667, 0.052753, 46.000000, 0.148515, 0.677083, 0.218182, 0.150756
8, 0.170000, 0.500000, 1.000000, 0.170000, 0.000000, -3.882353, 0.000000, 3.000000, 0.203837, 0.828845, 0.290598, 0.000000
9, 0.110000, 0.458333, 0.916667, 0.111111, -0.020174, -6.416667, -0.272166, 2.833333, 0.134804, 0.597064, 0.198198, 0.000000
10, 0.180000, 0.482636, 0.941176, 0.164948, -0.012096, -3.823529, -0.076469, 43.382353, 0.197531, 0.741673, 0.280702, 0.150595
11, 0.510000, 0.620248, 0.769231, 0.178571, 0.099927, -2.769231, 0.162936, 3.660413, 0.210970, 0.715296, 0.289855, 0.602089
12, 0.450000, 0.672619, 1.000000, 0.225352, 0.144368, -2.437500, 0.278927, 4.896552, 0.266667, 0.714286, 0.367816, 0.587570
13, 0.540000, 0.672757, 0.857143, 0.214286, 0.153166, -2.285714, 0.241524, 3.761905, 0.252101, 0.701412, 0.342857, 0.646997
14, 0.220000, 0.493750, 0.950000, 0.197917, -0.005155, -2.900000, -0.025516, 28.566667, 0.235149, 0.760625, 0.327586, 0.188746
15, 0.220000, 0.506329, 1.000000, 0.212121, 0.005356, -2.714286, 0.051818, 81.000000, 0.251799, 0.718807, 0.350000, 0.112509
16, 0.460000, 0.653274, 0.937500, 0.220588, 0.132391, -2.375000, 0.240917, 4.584677, 0.260417, 0.741815, 0.357143, 0.588202
17, 0.390000, 0.632530, 1.000000, 0.217949, 0.109229, -2.588235, 0.240353, 5.772727, 0.258359, 0.611977, 0.357895, 0.514840
18, 0.140000, 0.500000, 1.000000, 0.140000, 0.000000, -5.142857, 0.000000, 3.000000, 0.169082, 0.773671, 0.245614, 0.000000
