# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.730000, 0.663621, 0.571429, 0.275862, 0.225917, -0.928571, 0.250239, 2.465934, 0.307692, 0.887874, 0.372093, 0.657186
1, 0.640000, 0.577778, 0.500000, 0.138889, 0.072165, -2.600000, 0.097222, 2.525424, 0.162338, 0.891111, 0.217391, 0.572519
2, 0.670000, 0.596591, 0.500000, 0.181818, 0.110032, -1.750000, 0.133507, 2.442623, 0.208333, 0.825284, 0.266667, 0.588720
3, 0.720000, 0.644224, 0.529412, 0.310345, 0.225235, -0.647059, 0.238783, 2.376284, 0.338346, 0.865344, 0.391304, 0.633911
4, 0.720000, 0.574061, 0.352941, 0.260870, 0.129894, -0.647059, 0.132213, 1.963458, 0.275229, 0.822821, 0.300000, 0.529766
5, 0.820000, 0.784314, 0.733333, 0.440000, 0.446154, -0.200000, 0.468902, 2.663850, 0.478261, 0.930980, 0.550000, 0.782655
6, 0.720000, 0.706845, 0.687500, 0.323529, 0.284254, -0.750000, 0.320158, 2.752049, 0.361842, 0.893601, 0.440000, 0.706580
7, 0.750000, 0.678030, 0.583333, 0.259259, 0.231242, -1.083333, 0.260623, 2.460784, 0.291667, 0.842330, 0.358974, 0.671385
8, 0.790000, 0.733168, 0.647059, 0.423077, 0.385246, -0.235294, 0.399356, 2.514706, 0.454545, 0.917434, 0.511628, 0.728094
9, 0.670000, 0.668561, 0.666667, 0.216216, 0.177468, -1.750000, 0.226906, 2.824859, 0.250000, 0.770360, 0.326531, 0.668558
10, 0.740000, 0.609497, 0.411765, 0.304348, 0.192045, -0.529412, 0.195473, 2.062335, 0.321101, 0.849398, 0.350000, 0.576531
11, 0.750000, 0.660035, 0.538462, 0.269231, 0.224566, -0.923077, 0.245400, 2.356335, 0.299145, 0.879310, 0.358974, 0.648742
12, 0.760000, 0.755952, 0.750000, 0.375000, 0.364407, -0.500000, 0.402309, 2.812500, 0.416667, 0.879092, 0.500000, 0.755929
13, 0.770000, 0.716777, 0.642857, 0.333333, 0.312201, -0.642857, 0.338855, 2.550420, 0.368852, 0.828488, 0.439024, 0.712956
14, 0.740000, 0.631250, 0.450000, 0.375000, 0.244186, -0.300000, 0.245854, 2.130769, 0.387931, 0.901563, 0.409091, 0.604669
15, 0.680000, 0.640145, 0.571429, 0.342857, 0.225182, -0.523810, 0.239353, 2.553571, 0.372671, 0.837553, 0.428571, 0.636446
16, 0.740000, 0.642857, 0.500000, 0.307692, 0.228029, -0.625000, 0.238797, 2.272727, 0.333333, 0.877604, 0.380952, 0.626783
17, 0.710000, 0.638200, 0.529412, 0.300000, 0.211957, -0.705882, 0.226564, 2.397533, 0.328467, 0.902197, 0.382979, 0.628859
18, 0.760000, 0.651163, 0.500000, 0.291667, 0.232737, -0.714286, 0.245627, 2.246377, 0.318182, 0.834302, 0.368421, 0.633374
