# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.690000, 0.640365, 0.571429, 0.242424, 0.179025, -1.214286, 0.207162, 2.552693, 0.273973, 0.824751, 0.340426, 0.636644
1, 0.650000, 0.672222, 0.700000, 0.179487, 0.150485, -2.500000, 0.211857, 2.951724, 0.210843, 0.880556, 0.285714, 0.671648
2, 0.590000, 0.623106, 0.666667, 0.177778, 0.112554, -2.416667, 0.160825, 3.058824, 0.208333, 0.839015, 0.280702, 0.621582
3, 0.720000, 0.644224, 0.529412, 0.310345, 0.225235, -0.647059, 0.238783, 2.376284, 0.338346, 0.825656, 0.391304, 0.633911
4, 0.730000, 0.603473, 0.411765, 0.291667, 0.177832, -0.588235, 0.182015, 2.081105, 0.309735, 0.857902, 0.341463, 0.572213
5, 0.740000, 0.709804, 0.666667, 0.322581, 0.291553, -0.733333, 0.323961, 2.661458, 0.359712, 0.899608, 0.434783, 0.708492
6, 0.630000, 0.653274, 0.687500, 0.255814, 0.182140, -1.312500, 0.227000, 2.990385, 0.292553, 0.897693, 0.372881, 0.652377
7, 0.710000, 0.727273, 0.750000, 0.257143, 0.248705, -1.416667, 0.309684, 2.919355, 0.296053, 0.842803, 0.382979, 0.726918
8, 0.750000, 0.802622, 0.882353, 0.394737, 0.405894, -0.470588, 0.468389, 3.148039, 0.443787, 0.916371, 0.545455, 0.798652
9, 0.630000, 0.681818, 0.750000, 0.209302, 0.171889, -2.083333, 0.238686, 3.129630, 0.244565, 0.824811, 0.327273, 0.678401
10, 0.780000, 0.703756, 0.588235, 0.400000, 0.343284, -0.294118, 0.353512, 2.397059, 0.427350, 0.868179, 0.476190, 0.694210
11, 0.710000, 0.571618, 0.384615, 0.192308, 0.100496, -1.230769, 0.109820, 2.087413, 0.213675, 0.850133, 0.256410, 0.540164
12, 0.760000, 0.781250, 0.812500, 0.382353, 0.386503, -0.500000, 0.435322, 2.958333, 0.427632, 0.885045, 0.520000, 0.780625
13, 0.760000, 0.710963, 0.642857, 0.321429, 0.297424, -0.714286, 0.326066, 2.569296, 0.357143, 0.818937, 0.428571, 0.707694
14, 0.720000, 0.675000, 0.600000, 0.375000, 0.285714, -0.400000, 0.300123, 2.533333, 0.405405, 0.877188, 0.461538, 0.670820
15, 0.680000, 0.587703, 0.428571, 0.310345, 0.153887, -0.523810, 0.157450, 2.196126, 0.328467, 0.839060, 0.360000, 0.565749
16, 0.710000, 0.700893, 0.687500, 0.314286, 0.271357, -0.812500, 0.308819, 2.775000, 0.352564, 0.884673, 0.431373, 0.700765
17, 0.710000, 0.755138, 0.823529, 0.350000, 0.331797, -0.705882, 0.391258, 3.103199, 0.395480, 0.885188, 0.491228, 0.752035
18, 0.740000, 0.639535, 0.500000, 0.269231, 0.205379, -0.857143, 0.220762, 2.283582, 0.296610, 0.827243, 0.350000, 0.624127
