# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.150000, 0.296512, 0.500000, 0.082353, -0.130319, -5.071429, -0.395483, 11.750000, 0.098870, 0.349668, 0.141414, 0.215666
1, 0.230000, 0.438889, 0.700000, 0.086420, -0.029412, -6.700000, -0.093466, 7.025000, 0.104790, 0.347222, 0.153846, 0.352767
2, 0.150000, 0.373106, 0.666667, 0.089888, -0.067303, -6.083333, -0.263579, 13.904762, 0.108696, 0.373106, 0.158416, 0.230283
3, 0.160000, 0.377038, 0.705882, 0.131868, -0.090060, -3.941176, -0.322793, 22.161765, 0.157480, 0.376683, 0.222222, 0.184441
4, 0.260000, 0.413891, 0.647059, 0.139241, -0.070292, -3.352941, -0.158825, 6.827451, 0.165165, 0.349043, 0.229167, 0.341962
5, 0.200000, 0.392157, 0.666667, 0.117647, -0.073826, -4.333333, -0.215686, 9.833333, 0.140845, 0.465098, 0.200000, 0.280056
6, 0.230000, 0.364583, 0.562500, 0.113924, -0.104418, -3.812500, -0.243769, 7.125000, 0.135542, 0.496652, 0.189474, 0.306186
7, 0.210000, 0.335227, 0.500000, 0.075949, -0.096613, -5.583333, -0.262920, 6.866667, 0.091463, 0.469697, 0.131868, 0.291937
8, 0.190000, 0.348335, 0.588235, 0.119048, -0.118167, -3.764706, -0.310800, 10.398693, 0.141643, 0.722537, 0.198020, 0.252556
9, 0.740000, 0.564394, 0.333333, 0.181818, 0.094708, -1.166667, 0.101030, 1.923810, 0.200000, 0.325758, 0.235294, 0.514929
10, 0.150000, 0.371013, 0.705882, 0.130435, -0.093670, -4.000000, -0.357190, 29.078431, 0.155844, 0.318568, 0.220183, 0.159730
11, 0.200000, 0.376658, 0.615385, 0.096386, -0.074980, -5.153846, -0.220856, 8.480769, 0.115942, 0.319187, 0.166667, 0.291343
12, 0.200000, 0.169643, 0.125000, 0.029412, -0.285347, -4.000000, -0.519259, 4.916667, 0.034722, 0.659970, 0.047619, 0.163663
13, 0.780000, 0.573090, 0.285714, 0.250000, 0.137931, -0.571429, 0.138357, 1.733591, 0.256410, 0.287375, 0.266667, 0.495830
14, 0.170000, 0.387500, 0.750000, 0.161290, -0.094987, -3.150000, -0.352738, 41.500000, 0.191327, 0.461250, 0.265487, 0.136931
15, 0.260000, 0.409283, 0.666667, 0.172840, -0.088555, -2.523810, -0.188375, 7.916667, 0.202899, 0.505425, 0.274510, 0.318223
16, 0.160000, 0.247024, 0.375000, 0.075000, -0.193182, -4.250000, -0.463713, 9.150000, 0.089286, 0.267857, 0.125000, 0.211289
17, 0.250000, 0.314316, 0.411765, 0.097222, -0.162430, -3.411765, -0.310687, 5.434641, 0.114754, 0.282069, 0.157303, 0.298828
18, 0.160000, 0.332226, 0.571429, 0.093023, -0.106428, -5.000000, -0.335548, 11.892857, 0.111732, 0.309385, 0.160000, 0.230556
