# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.720000, 0.657807, 0.571429, 0.266667, 0.213483, -1.000000, 0.238980, 2.486607, 0.298507, 0.902824, 0.363636, 0.652111
1, 0.660000, 0.588889, 0.500000, 0.147059, 0.086022, -2.400000, 0.112587, 2.475410, 0.171233, 0.861111, 0.227273, 0.582142
2, 0.600000, 0.736742, 0.916667, 0.220000, 0.200000, -2.333333, 0.307729, 3.629252, 0.259434, 0.928977, 0.354839, 0.714435
3, 0.670000, 0.660879, 0.647059, 0.289474, 0.215779, -0.941176, 0.249003, 2.776261, 0.325444, 0.904323, 0.400000, 0.660734
4, 0.690000, 0.602764, 0.470588, 0.266667, 0.157609, -0.823529, 0.168471, 2.301832, 0.291971, 0.899362, 0.340426, 0.588094
5, 0.670000, 0.696078, 0.733333, 0.275000, 0.232558, -1.200000, 0.285831, 2.984524, 0.314286, 0.958431, 0.400000, 0.695081
6, 0.620000, 0.622024, 0.625000, 0.238095, 0.147217, -1.375000, 0.181274, 2.865385, 0.271739, 0.890625, 0.344828, 0.622017
7, 0.630000, 0.681818, 0.750000, 0.209302, 0.171889, -2.083333, 0.238686, 3.129630, 0.244565, 0.875473, 0.327273, 0.678401
8, 0.650000, 0.718994, 0.823529, 0.304348, 0.260980, -1.058824, 0.330103, 3.274510, 0.348259, 0.943657, 0.444444, 0.711354
9, 0.680000, 0.674242, 0.666667, 0.222222, 0.186992, -1.666667, 0.235925, 2.800000, 0.256410, 0.847538, 0.333333, 0.674200
10, 0.780000, 0.703756, 0.588235, 0.400000, 0.343284, -0.294118, 0.353512, 2.397059, 0.427350, 0.906449, 0.476190, 0.694210
11, 0.690000, 0.625553, 0.538462, 0.218750, 0.154853, -1.384615, 0.181033, 2.480149, 0.248227, 0.924403, 0.311111, 0.619460
12, 0.590000, 0.705357, 0.875000, 0.264151, 0.212145, -1.562500, 0.301684, 3.616667, 0.307018, 0.920387, 0.405797, 0.684653
13, 0.780000, 0.602990, 0.357143, 0.277778, 0.183976, -0.571429, 0.186035, 1.892368, 0.290698, 0.872924, 0.312500, 0.550596
14, 0.710000, 0.650000, 0.550000, 0.354839, 0.248705, -0.450000, 0.259463, 2.433333, 0.381944, 0.925938, 0.431373, 0.642262
15, 0.630000, 0.643460, 0.666667, 0.318182, 0.204643, -0.761905, 0.235431, 2.945578, 0.355330, 0.818565, 0.430769, 0.643041
16, 0.750000, 0.750000, 0.750000, 0.363636, 0.349636, -0.562500, 0.389830, 2.833333, 0.405405, 0.924107, 0.489796, 0.750000
17, 0.720000, 0.667612, 0.588235, 0.322581, 0.252536, -0.647059, 0.272265, 2.515180, 0.354610, 0.895464, 0.416667, 0.662876
18, 0.740000, 0.639535, 0.500000, 0.269231, 0.205379, -0.857143, 0.220762, 2.283582, 0.296610, 0.941030, 0.350000, 0.624127
