# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.860000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.799003, 0.000000, 0.000000
1, 0.790000, 0.750000, 0.700000, 0.280000, 0.300000, -1.100000, 0.346410, 2.650000, 0.318182, 0.708889, 0.400000, 0.748331
2, 0.620000, 0.640152, 0.666667, 0.190476, 0.134791, -2.166667, 0.184553, 2.962963, 0.222222, 0.793561, 0.296296, 0.639602
3, 0.620000, 0.654146, 0.705882, 0.266667, 0.186296, -1.235294, 0.232776, 3.071765, 0.304569, 0.701630, 0.387097, 0.652097
4, 0.580000, 0.746988, 1.000000, 0.288136, 0.249196, -1.470588, 0.377269, 4.024390, 0.335968, 0.816088, 0.447368, 0.702834
5, 0.630000, 0.782353, 1.000000, 0.288462, 0.280156, -1.466667, 0.403604, 3.770833, 0.336323, 0.844314, 0.447761, 0.751469
6, 0.640000, 0.659226, 0.687500, 0.261905, 0.192101, -1.250000, 0.236540, 2.959906, 0.298913, 0.756696, 0.379310, 0.658620
7, 0.650000, 0.765152, 0.916667, 0.244444, 0.242424, -1.916667, 0.346392, 3.462963, 0.286458, 0.809659, 0.385965, 0.750000
8, 0.670000, 0.777817, 0.941176, 0.333333, 0.322104, -0.941176, 0.417763, 3.509804, 0.382775, 0.879872, 0.492308, 0.760469
9, 0.700000, 0.721591, 0.750000, 0.250000, 0.237805, -1.500000, 0.300036, 2.942623, 0.288462, 0.722538, 0.375000, 0.721031
10, 0.820000, 0.727853, 0.588235, 0.476190, 0.416721, -0.058824, 0.420266, 2.329248, 0.495050, 0.756201, 0.526316, 0.714336
11, 0.720000, 0.610080, 0.461538, 0.222222, 0.151001, -1.153846, 0.166773, 2.241259, 0.247934, 0.768347, 0.300000, 0.591720
12, 0.590000, 0.730655, 0.937500, 0.272727, 0.232210, -1.562500, 0.339942, 3.784091, 0.317797, 0.844866, 0.422535, 0.700765
13, 0.800000, 0.704319, 0.571429, 0.363636, 0.329759, -0.428571, 0.342289, 2.337302, 0.392157, 0.782392, 0.444444, 0.691669
14, 0.710000, 0.687500, 0.650000, 0.371429, 0.292683, -0.450000, 0.314485, 2.679310, 0.406250, 0.811250, 0.472727, 0.686477
15, 0.540000, 0.656420, 0.857143, 0.295082, 0.184108, -1.190476, 0.261244, 3.908730, 0.339623, 0.733574, 0.439024, 0.624977
16, 0.670000, 0.702381, 0.750000, 0.292683, 0.247949, -1.062500, 0.301704, 3.027273, 0.333333, 0.804315, 0.421053, 0.700765
17, 0.620000, 0.724309, 0.882353, 0.294118, 0.249901, -1.235294, 0.337099, 3.530663, 0.339367, 0.783487, 0.441176, 0.706856
18, 0.700000, 0.705980, 0.714286, 0.277778, 0.248497, -1.142857, 0.297802, 2.861905, 0.316456, 0.810631, 0.400000, 0.705931
