# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.860000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.206395, 0.000000, 0.000000
1, 0.900000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.201667, 0.000000, 0.000000
2, 0.880000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.162879, 0.000000, 0.000000
3, 0.830000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.272856, 0.000000, 0.000000
4, 0.830000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.211198, 0.000000, 0.000000
5, 0.850000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.151765, 0.000000, 0.000000
6, 0.840000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.255580, 0.000000, 0.000000
7, 0.880000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.187027, 0.000000, 0.000000
8, 0.830000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.091070, 0.000000, 0.000000
9, 0.880000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.264205, 0.000000, 0.000000
10, 0.830000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.198086, 0.000000, 0.000000
11, 0.870000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.236958, 0.000000, 0.000000
12, 0.840000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.755208, 0.000000, 0.000000
13, 0.790000, 0.698505, 0.571429, 0.347826, 0.312827, -0.500000, 0.327345, 2.354125, 0.377358, 0.718023, 0.432432, 0.686848
14, 0.640000, 0.643750, 0.650000, 0.309524, 0.203540, -0.800000, 0.233002, 2.868627, 0.345745, 0.717500, 0.419355, 0.643720
15, 0.490000, 0.624774, 0.857143, 0.272727, 0.139676, -1.428571, 0.214568, 4.262673, 0.315789, 0.706751, 0.413793, 0.579954
16, 0.550000, 0.681548, 0.875000, 0.245614, 0.178232, -1.812500, 0.268874, 3.798780, 0.286885, 0.750000, 0.383562, 0.653516
17, 0.510000, 0.704819, 1.000000, 0.257576, 0.190885, -1.882353, 0.324828, 4.441176, 0.302491, 0.806875, 0.409639, 0.640030
18, 0.610000, 0.683555, 0.785714, 0.234043, 0.184783, -1.785714, 0.255224, 3.291429, 0.272277, 0.692691, 0.360656, 0.675878
