# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.700000, 0.735880, 0.785714, 0.289474, 0.274662, -1.142857, 0.337246, 3.029056, 0.331325, 0.735465, 0.423077, 0.734191
1, 0.570000, 0.716667, 0.900000, 0.176471, 0.153543, -3.300000, 0.260052, 3.675000, 0.210280, 0.803889, 0.295082, 0.692820
2, 0.470000, 0.626894, 0.833333, 0.163934, 0.091844, -3.416667, 0.169085, 4.045045, 0.195312, 0.682292, 0.273973, 0.591928
3, 0.190000, 0.512048, 1.000000, 0.173469, 0.008325, -3.764706, 0.064653, 43.500000, 0.207824, 0.683203, 0.295652, 0.155230
4, 0.170000, 0.500000, 1.000000, 0.170000, 0.000000, -3.882353, 0.000000, 3.000000, 0.203837, 0.768958, 0.290598, 0.000000
5, 0.430000, 0.664706, 1.000000, 0.208333, 0.128440, -2.800000, 0.261968, 5.035714, 0.247525, 0.777647, 0.344828, 0.573944
6, 0.240000, 0.522321, 0.937500, 0.166667, 0.015544, -3.750000, 0.054554, 11.208333, 0.199468, 0.769345, 0.283019, 0.316933
7, 0.420000, 0.670455, 1.000000, 0.171429, 0.110429, -3.833333, 0.241747, 4.933333, 0.205479, 0.692708, 0.292683, 0.583874
8, 0.170000, 0.500000, 1.000000, 0.170000, 0.000000, -3.882353, 0.000000, 3.000000, 0.203837, 0.834515, 0.290598, 0.000000
9, 0.150000, 0.481061, 0.916667, 0.115789, -0.009501, -6.083333, -0.056478, 23.833333, 0.140306, 0.635890, 0.205607, 0.204124
10, 0.470000, 0.633948, 0.882353, 0.227273, 0.124835, -2.117647, 0.212430, 4.358456, 0.266904, 0.745571, 0.361446, 0.583253
11, 0.530000, 0.631742, 0.769231, 0.185185, 0.112538, -2.615385, 0.177791, 3.561717, 0.218341, 0.757294, 0.298507, 0.616599
12, 0.280000, 0.571429, 1.000000, 0.181818, 0.050633, -3.500000, 0.161165, 9.000000, 0.217391, 0.739583, 0.307692, 0.377964
13, 0.260000, 0.509967, 0.857143, 0.142857, 0.006445, -4.285714, 0.018867, 7.857143, 0.171429, 0.791528, 0.244898, 0.373544
14, 0.260000, 0.537500, 1.000000, 0.212766, 0.031414, -2.700000, 0.126323, 15.333333, 0.252525, 0.709375, 0.350877, 0.273861
15, 0.230000, 0.512658, 1.000000, 0.214286, 0.010791, -2.666667, 0.073654, 41.500000, 0.254237, 0.683243, 0.352941, 0.159111
16, 0.510000, 0.683036, 0.937500, 0.238095, 0.167233, -2.062500, 0.277968, 4.208333, 0.279851, 0.668899, 0.379747, 0.633866
17, 0.430000, 0.656627, 1.000000, 0.229730, 0.134265, -2.352941, 0.268260, 5.192308, 0.271565, 0.675053, 0.373626, 0.559690
18, 0.140000, 0.500000, 1.000000, 0.140000, 0.000000, -5.142857, 0.000000, 3.000000, 0.169082, 0.787375, 0.245614, 0.000000
