# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.880000, 0.601329, 0.214286, 0.750000, 0.289100, 0.142857, 0.358848, 1.440336, 0.500000, 0.862126, 0.333333, 0.460211
1, 0.780000, 0.566667, 0.300000, 0.166667, 0.098361, -1.200000, 0.104116, 1.800000, 0.182927, 0.817222, 0.214286, 0.500000
2, 0.700000, 0.577652, 0.416667, 0.178571, 0.098558, -1.500000, 0.112400, 2.187179, 0.201613, 0.799242, 0.250000, 0.554766
3, 0.680000, 0.643515, 0.588235, 0.285714, 0.201995, -0.882353, 0.226048, 2.607505, 0.318471, 0.870659, 0.384615, 0.641136
4, 0.820000, 0.517364, 0.058824, 0.333333, 0.051633, -0.058824, 0.076469, 1.142338, 0.172414, 0.879164, 0.100000, 0.239596
5, 0.860000, 0.643137, 0.333333, 0.555556, 0.342723, 0.066667, 0.357187, 1.716049, 0.490196, 0.929412, 0.416667, 0.563602
6, 0.740000, 0.617560, 0.437500, 0.291667, 0.195545, -0.625000, 0.201825, 2.128731, 0.312500, 0.866071, 0.350000, 0.590727
7, 0.760000, 0.755682, 0.750000, 0.300000, 0.310345, -1.000000, 0.362620, 2.813433, 0.340909, 0.824337, 0.428571, 0.755660
8, 0.860000, 0.681786, 0.411765, 0.636364, 0.422918, 0.176471, 0.436478, 1.874162, 0.573770, 0.917080, 0.500000, 0.626036
9, 0.800000, 0.562500, 0.250000, 0.214286, 0.116608, -0.666667, 0.117065, 1.642857, 0.220588, 0.770833, 0.230769, 0.467707
10, 0.750000, 0.615521, 0.411765, 0.318182, 0.206853, -0.470588, 0.209506, 2.044118, 0.333333, 0.873140, 0.358974, 0.580818
11, 0.790000, 0.650309, 0.461538, 0.300000, 0.244604, -0.615385, 0.252748, 2.114858, 0.322581, 0.843943, 0.363636, 0.622309
12, 0.620000, 0.697917, 0.812500, 0.270833, 0.218750, -1.375000, 0.290462, 3.339286, 0.312500, 0.910342, 0.406250, 0.688446
13, 0.810000, 0.560631, 0.214286, 0.272727, 0.133212, -0.357143, 0.134477, 1.531136, 0.258621, 0.802326, 0.240000, 0.440854
14, 0.730000, 0.643750, 0.500000, 0.370370, 0.254144, -0.350000, 0.259033, 2.269841, 0.390625, 0.908750, 0.425532, 0.627495
15, 0.720000, 0.665461, 0.571429, 0.387097, 0.281683, -0.333333, 0.291436, 2.459524, 0.413793, 0.782098, 0.461538, 0.658784
16, 0.670000, 0.500000, 0.250000, 0.160000, 0.000000, -1.062500, 0.000000, 1.833333, 0.172414, 0.910714, 0.195122, 0.433013
17, 0.660000, 0.561304, 0.411765, 0.225806, 0.092365, -1.000000, 0.099581, 2.230309, 0.248227, 0.867470, 0.291667, 0.541018
18, 0.770000, 0.627076, 0.428571, 0.285714, 0.210165, -0.642857, 0.216514, 2.068410, 0.306122, 0.867525, 0.342857, 0.594828
