# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.760000, 0.740809, 0.687500, 0.611111, 0.466192, 0.250000, 0.468048, 2.634259, 0.625000, 0.878676, 0.647059, 0.738888
1, 0.720000, 0.711019, 0.692308, 0.473684, 0.367089, -0.076923, 0.381387, 2.754986, 0.505618, 0.916840, 0.562500, 0.710772
2, 0.680000, 0.715074, 0.812500, 0.500000, 0.369085, 0.000000, 0.401628, 3.244048, 0.541667, 0.862132, 0.619048, 0.708405
3, 0.680000, 0.690476, 0.714286, 0.454545, 0.324324, -0.142857, 0.344584, 2.928571, 0.490196, 0.869048, 0.555556, 0.690066
4, 0.660000, 0.614082, 0.470588, 0.500000, 0.231465, 0.000000, 0.231702, 2.261176, 0.493827, 0.802139, 0.484848, 0.597081
5, 0.740000, 0.729202, 0.684211, 0.650000, 0.453782, 0.315789, 0.454183, 2.660088, 0.656566, 0.862479, 0.666667, 0.727813
6, 0.700000, 0.700000, 0.700000, 0.608696, 0.390244, 0.250000, 0.393179, 2.828571, 0.625000, 0.879167, 0.651163, 0.700000
7, 0.760000, 0.785088, 0.833333, 0.500000, 0.464286, 0.000000, 0.497067, 3.023810, 0.543478, 0.947368, 0.625000, 0.783604
8, 0.680000, 0.701389, 0.777778, 0.538462, 0.367089, 0.111111, 0.386976, 3.155556, 0.573770, 0.918403, 0.636364, 0.697217
9, 0.700000, 0.726190, 0.785714, 0.478261, 0.378109, -0.071429, 0.407543, 3.071429, 0.518868, 0.845238, 0.594595, 0.723747
10, 0.620000, 0.625000, 0.650000, 0.520000, 0.240000, 0.050000, 0.244949, 2.966667, 0.541667, 0.848333, 0.577778, 0.624500
11, 0.640000, 0.639423, 0.625000, 0.625000, 0.278846, 0.250000, 0.278846, 2.779412, 0.625000, 0.837340, 0.625000, 0.639260
12, 0.640000, 0.630542, 0.571429, 0.571429, 0.261084, 0.142857, 0.261084, 2.592857, 0.571429, 0.840722, 0.571429, 0.627765
