# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.760000, 0.740809, 0.687500, 0.611111, 0.466192, 0.250000, 0.468048, 2.634259, 0.625000, 0.889706, 0.647059, 0.738888
1, 0.760000, 0.738046, 0.692308, 0.529412, 0.432892, 0.076923, 0.440841, 2.660477, 0.555556, 0.916840, 0.600000, 0.736627
2, 0.660000, 0.700368, 0.812500, 0.481481, 0.339036, -0.062500, 0.375069, 3.325000, 0.524194, 0.866728, 0.604651, 0.691333
3, 0.640000, 0.662698, 0.714286, 0.416667, 0.267101, -0.285714, 0.292440, 3.064935, 0.454545, 0.882937, 0.526316, 0.660687
4, 0.580000, 0.539216, 0.411765, 0.388889, 0.077329, -0.235294, 0.077403, 2.323529, 0.393258, 0.834225, 0.400000, 0.523937
5, 0.680000, 0.660441, 0.578947, 0.578947, 0.320883, 0.157895, 0.320883, 2.505721, 0.578947, 0.883701, 0.578947, 0.655394
6, 0.640000, 0.625000, 0.550000, 0.550000, 0.250000, 0.100000, 0.250000, 2.528571, 0.550000, 0.860000, 0.550000, 0.620484
7, 0.780000, 0.798246, 0.833333, 0.526316, 0.497258, 0.083333, 0.524842, 2.977011, 0.568182, 0.939693, 0.645161, 0.797474
8, 0.760000, 0.751736, 0.722222, 0.650000, 0.491525, 0.333333, 0.493300, 2.724444, 0.663265, 0.878472, 0.684211, 0.751157
9, 0.720000, 0.696429, 0.642857, 0.500000, 0.361314, 0.000000, 0.367484, 2.619048, 0.523256, 0.883929, 0.562500, 0.694365
10, 0.700000, 0.683333, 0.600000, 0.631579, 0.369748, 0.250000, 0.370075, 2.504348, 0.625000, 0.896667, 0.615385, 0.678233
11, 0.620000, 0.615385, 0.500000, 0.631579, 0.232633, 0.208333, 0.237527, 2.368421, 0.600000, 0.794872, 0.558140, 0.604471
12, 0.620000, 0.606732, 0.523810, 0.550000, 0.214876, 0.095238, 0.215060, 2.497619, 0.544554, 0.797209, 0.536585, 0.601039
