# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.620000, 0.637868, 0.687500, 0.440000, 0.240000, -0.187500, 0.257248, 3.075000, 0.474138, 0.737132, 0.536585, 0.635934
1, 0.580000, 0.491684, 0.307692, 0.250000, -0.015474, -0.615385, -0.015639, 2.095385, 0.259740, 0.792100, 0.275862, 0.455961
2, 0.620000, 0.621324, 0.625000, 0.434783, 0.217463, -0.187500, 0.227106, 2.869048, 0.462963, 0.713235, 0.512821, 0.621313
3, 0.800000, 0.817460, 0.857143, 0.600000, 0.561404, 0.285714, 0.581914, 3.000000, 0.638298, 0.830357, 0.705882, 0.816497
4, 0.520000, 0.493761, 0.411765, 0.333333, -0.011804, -0.411765, -0.011976, 2.560372, 0.346535, 0.672014, 0.368421, 0.486905
5, 0.480000, 0.468591, 0.421053, 0.347826, -0.060359, -0.368421, -0.061178, 2.779605, 0.360360, 0.710526, 0.380952, 0.466173
6, 0.620000, 0.675000, 0.950000, 0.513514, 0.306569, 0.050000, 0.390905, 4.400000, 0.565476, 0.706667, 0.666667, 0.616441
7, 0.700000, 0.603070, 0.416667, 0.384615, 0.200426, -0.250000, 0.200712, 2.100000, 0.390625, 0.768640, 0.400000, 0.573539
8, 0.800000, 0.831597, 0.944444, 0.653846, 0.604430, 0.444444, 0.637177, 3.280193, 0.696721, 0.877604, 0.772727, 0.823905
9, 0.700000, 0.638889, 0.500000, 0.466667, 0.271845, -0.071429, 0.272166, 2.285714, 0.472973, 0.644841, 0.482759, 0.623610
10, 0.420000, 0.441667, 0.550000, 0.354839, -0.106870, -0.450000, -0.117751, 4.100000, 0.381944, 0.636667, 0.431373, 0.428174
11, 0.600000, 0.596154, 0.500000, 0.600000, 0.193548, 0.166667, 0.196116, 2.444444, 0.576923, 0.692308, 0.545455, 0.588348
12, 0.520000, 0.533662, 0.619048, 0.448276, 0.063963, -0.142857, 0.067323, 3.468864, 0.474453, 0.783251, 0.520000, 0.526787
