# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.680000, 0.681985, 0.687500, 0.500000, 0.331104, 0.000000, 0.342039, 2.853261, 0.528846, 0.778493, 0.578947, 0.681963
1, 0.640000, 0.632017, 0.615385, 0.380952, 0.220104, -0.384615, 0.234651, 2.772436, 0.412371, 0.970894, 0.470588, 0.631798
2, 0.600000, 0.606618, 0.625000, 0.416667, 0.188312, -0.250000, 0.199098, 2.950000, 0.446429, 0.925551, 0.500000, 0.606339
3, 0.740000, 0.732143, 0.714286, 0.526316, 0.418605, 0.071429, 0.429480, 2.761905, 0.555556, 0.938492, 0.606061, 0.731925
4, 0.560000, 0.509804, 0.352941, 0.352941, 0.019608, -0.294118, 0.019608, 2.205882, 0.352941, 0.885027, 0.352941, 0.485071
5, 0.640000, 0.658744, 0.736842, 0.518519, 0.293564, 0.052632, 0.309199, 3.195906, 0.551181, 0.850594, 0.608696, 0.654098
6, 0.620000, 0.625000, 0.650000, 0.520000, 0.240000, 0.050000, 0.244949, 2.966667, 0.541667, 0.870833, 0.577778, 0.624500
7, 0.720000, 0.644737, 0.500000, 0.428571, 0.273859, -0.166667, 0.275344, 2.266667, 0.441176, 0.974781, 0.461538, 0.628281
8, 0.700000, 0.704861, 0.722222, 0.565217, 0.386252, 0.166667, 0.394598, 2.898990, 0.590909, 0.937500, 0.634146, 0.704647
9, 0.720000, 0.696429, 0.642857, 0.500000, 0.361314, 0.000000, 0.367484, 2.619048, 0.523256, 0.943452, 0.562500, 0.694365
10, 0.620000, 0.566667, 0.300000, 0.545455, 0.144144, 0.050000, 0.157683, 1.800000, 0.468750, 0.831667, 0.387097, 0.500000
11, 0.700000, 0.698718, 0.666667, 0.695652, 0.398074, 0.375000, 0.398395, 2.701754, 0.689655, 0.825321, 0.680851, 0.697982
12, 0.600000, 0.609195, 0.666667, 0.518519, 0.210111, 0.047619, 0.216270, 3.145833, 0.542636, 0.838259, 0.583333, 0.606478
