# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.500000, 0.599265, 0.875000, 0.378378, 0.147340, -0.562500, 0.211131, 4.840909, 0.426829, 0.625000, 0.528302, 0.532060
1, 0.340000, 0.554054, 1.000000, 0.282609, 0.059293, -1.538462, 0.174792, 11.250000, 0.329949, 0.872141, 0.440678, 0.328798
2, 0.560000, 0.676471, 1.000000, 0.421053, 0.258760, -0.375000, 0.385496, 4.833333, 0.476190, 0.751838, 0.592593, 0.594089
3, 0.360000, 0.555556, 1.000000, 0.304348, 0.065421, -1.285714, 0.183892, 11.000000, 0.353535, 0.817460, 0.466667, 0.333333
4, 0.560000, 0.595365, 0.705882, 0.413793, 0.162861, -0.294118, 0.183060, 3.474265, 0.451128, 0.731729, 0.521739, 0.585018
5, 0.480000, 0.539898, 0.789474, 0.405405, 0.067432, -0.368421, 0.088301, 5.023392, 0.449102, 0.729202, 0.535714, 0.478750
6, 0.440000, 0.533333, 1.000000, 0.416667, 0.054054, -0.400000, 0.166667, 17.000000, 0.471698, 0.688333, 0.588235, 0.258199
7, 0.240000, 0.500000, 1.000000, 0.240000, 0.000000, -2.166667, 0.000000, 3.000000, 0.283019, 0.700658, 0.387097, 0.000000
8, 0.560000, 0.656250, 1.000000, 0.450000, 0.246575, -0.222222, 0.375000, 5.200000, 0.505618, 0.839410, 0.620690, 0.559017
9, 0.560000, 0.607143, 0.714286, 0.357143, 0.164134, -0.571429, 0.193829, 3.428571, 0.396825, 0.694444, 0.476190, 0.597614
10, 0.560000, 0.583333, 0.700000, 0.466667, 0.153846, -0.100000, 0.166667, 3.542857, 0.500000, 0.640000, 0.560000, 0.571548
11, 0.480000, 0.500000, 1.000000, 0.480000, 0.000000, -0.083333, 0.000000, 3.000000, 0.535714, 0.770032, 0.648649, 0.000000
12, 0.480000, 0.545156, 0.952381, 0.444444, 0.078014, -0.238095, 0.148581, 9.154762, 0.497512, 0.565681, 0.606061, 0.362440
