# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.480000, 0.485294, 0.500000, 0.307692, -0.025237, -0.625000, -0.027462, 3.125000, 0.333333, 0.505515, 0.380952, 0.485071
1, 0.600000, 0.580042, 0.538462, 0.333333, 0.133449, -0.538462, 0.142269, 2.685619, 0.360825, 0.509356, 0.411765, 0.578549
2, 0.600000, 0.507353, 0.250000, 0.333333, 0.015748, -0.250000, 0.016062, 1.807692, 0.312500, 0.395221, 0.285714, 0.437237
3, 0.520000, 0.448413, 0.285714, 0.222222, -0.094891, -0.714286, -0.096511, 2.207792, 0.232558, 0.458333, 0.250000, 0.417855
4, 0.620000, 0.526738, 0.235294, 0.400000, 0.059406, -0.117647, 0.063330, 1.692810, 0.350877, 0.557932, 0.296296, 0.438763
5, 0.540000, 0.486418, 0.263158, 0.357143, -0.028623, -0.210526, -0.029366, 1.935407, 0.333333, 0.412564, 0.303030, 0.432154
6, 0.460000, 0.416667, 0.200000, 0.266667, -0.173913, -0.350000, -0.178174, 1.978947, 0.250000, 0.496667, 0.228571, 0.355903
7, 0.680000, 0.561404, 0.333333, 0.333333, 0.122807, -0.333333, 0.122807, 1.933333, 0.333333, 0.517544, 0.333333, 0.512989
8, 0.480000, 0.435764, 0.277778, 0.277778, -0.128472, -0.444444, -0.128472, 2.239766, 0.277778, 0.362847, 0.277778, 0.406116
9, 0.620000, 0.605159, 0.571429, 0.380952, 0.182444, -0.357143, 0.191330, 2.708075, 0.408163, 0.654762, 0.457143, 0.604218
10, 0.440000, 0.466667, 0.600000, 0.375000, -0.060606, -0.400000, -0.068041, 4.200000, 0.405405, 0.566667, 0.461538, 0.447214
11, 0.680000, 0.681090, 0.708333, 0.653846, 0.361022, 0.333333, 0.362179, 2.946078, 0.664062, 0.708333, 0.680000, 0.680545
12, 0.460000, 0.468801, 0.523810, 0.392857, -0.059655, -0.285714, -0.062042, 3.464286, 0.413534, 0.456486, 0.448980, 0.465563
