# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.560000, 0.544118, 0.500000, 0.363636, 0.080268, -0.375000, 0.082918, 2.700000, 0.384615, 0.522059, 0.421053, 0.542326
1, 0.340000, 0.554054, 1.000000, 0.282609, 0.059293, -1.538462, 0.174792, 11.250000, 0.329949, 0.696466, 0.440678, 0.328798
2, 0.500000, 0.632353, 1.000000, 0.390244, 0.187256, -0.562500, 0.321403, 5.777778, 0.444444, 0.476103, 0.561404, 0.514496
3, 0.280000, 0.500000, 1.000000, 0.280000, 0.000000, -1.571429, 0.000000, 3.000000, 0.327103, 0.757937, 0.437500, 0.000000
4, 0.560000, 0.652406, 0.941176, 0.432432, 0.237171, -0.294118, 0.329187, 4.632353, 0.484848, 0.459893, 0.592593, 0.585018
5, 0.380000, 0.500000, 1.000000, 0.380000, 0.000000, -0.631579, 0.000000, 3.000000, 0.433790, 0.644312, 0.550725, 0.000000
6, 0.400000, 0.500000, 1.000000, 0.400000, 0.000000, -0.500000, 0.000000, 3.000000, 0.454545, 0.638333, 0.571429, 0.000000
7, 0.240000, 0.500000, 1.000000, 0.240000, 0.000000, -2.166667, 0.000000, 3.000000, 0.283019, 0.807018, 0.387097, 0.000000
8, 0.360000, 0.500000, 1.000000, 0.360000, 0.000000, -0.777778, 0.000000, 3.000000, 0.412844, 0.748264, 0.529412, 0.000000
9, 0.320000, 0.484127, 0.857143, 0.272727, -0.019185, -1.428571, -0.043863, 10.714286, 0.315789, 0.624008, 0.413793, 0.308607
10, 0.400000, 0.500000, 1.000000, 0.400000, 0.000000, -0.500000, 0.000000, 3.000000, 0.454545, 0.727500, 0.571429, 0.000000
11, 0.520000, 0.538462, 1.000000, 0.500000, 0.074074, 0.000000, 0.196116, 15.000000, 0.555556, 0.646635, 0.666667, 0.277350
12, 0.420000, 0.500000, 1.000000, 0.420000, 0.000000, -0.380952, 0.000000, 3.000000, 0.475113, 0.639573, 0.591549, 0.000000
