# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.760000, 0.740809, 0.687500, 0.611111, 0.466192, 0.250000, 0.468048, 2.634259, 0.625000, 0.830882, 0.647059, 0.738888
1, 0.740000, 0.699584, 0.615385, 0.500000, 0.371373, 0.000000, 0.375344, 2.506631, 0.519481, 0.875260, 0.551724, 0.694499
2, 0.620000, 0.687500, 0.875000, 0.451613, 0.300442, -0.187500, 0.360390, 3.750000, 0.500000, 0.875919, 0.595745, 0.661438
3, 0.660000, 0.654762, 0.642857, 0.428571, 0.268503, -0.214286, 0.281579, 2.785714, 0.459184, 0.840278, 0.514286, 0.654654
4, 0.600000, 0.568627, 0.470588, 0.421053, 0.133449, -0.176471, 0.133953, 2.441176, 0.430108, 0.825312, 0.444444, 0.560112
5, 0.680000, 0.650255, 0.526316, 0.588235, 0.306759, 0.157895, 0.307917, 2.344298, 0.574713, 0.859083, 0.555556, 0.638334
6, 0.680000, 0.700000, 0.800000, 0.571429, 0.375000, 0.200000, 0.394771, 3.266667, 0.606061, 0.829167, 0.666667, 0.692820
7, 0.720000, 0.730263, 0.750000, 0.450000, 0.375000, -0.166667, 0.401478, 2.907407, 0.489130, 0.883772, 0.562500, 0.729996
8, 0.740000, 0.772569, 0.888889, 0.592593, 0.491393, 0.277778, 0.525016, 3.301587, 0.634921, 0.906250, 0.711111, 0.763763
9, 0.660000, 0.676587, 0.714286, 0.434783, 0.295191, -0.214286, 0.318170, 2.993789, 0.471698, 0.875992, 0.540541, 0.675536
10, 0.720000, 0.675000, 0.450000, 0.750000, 0.375000, 0.300000, 0.401478, 2.011111, 0.661765, 0.805000, 0.562500, 0.636396
11, 0.660000, 0.657051, 0.583333, 0.666667, 0.315620, 0.291667, 0.317947, 2.535088, 0.648148, 0.816506, 0.622222, 0.652903
12, 0.600000, 0.609195, 0.666667, 0.518519, 0.210111, 0.047619, 0.216270, 3.145833, 0.542636, 0.831691, 0.583333, 0.606478
