# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.800000, 0.891304, 1.000000, 0.285714, 0.365482, -1.500000, 0.472866, 3.277778, 0.333333, 1.000000, 0.444444, 0.884652
1, 0.830000, 0.874661, 0.944444, 0.515152, 0.565440, 0.055556, 0.612234, 3.131313, 0.566667, 0.993902, 0.666667, 0.871873
2, 0.810000, 0.833333, 0.866667, 0.433333, 0.472222, -0.266667, 0.519462, 2.983333, 0.481481, 0.975686, 0.577778, 0.832666
3, 0.790000, 0.877907, 1.000000, 0.400000, 0.464286, -0.500000, 0.549841, 3.323077, 0.454545, 0.994601, 0.571429, 0.869376
4, 0.840000, 0.903614, 1.000000, 0.515152, 0.587416, 0.058824, 0.644861, 3.238806, 0.570470, 0.997874, 0.680000, 0.898459
5, 0.850000, 0.882890, 0.928571, 0.481481, 0.551435, -0.071429, 0.598514, 3.051587, 0.532787, 0.993355, 0.634146, 0.881708
6, 0.850000, 0.918478, 1.000000, 0.347826, 0.450952, -0.875000, 0.539551, 3.194805, 0.400000, 1.000000, 0.516129, 0.914853
7, 0.890000, 0.904067, 0.923077, 0.545455, 0.624317, 0.153846, 0.656079, 2.976024, 0.594059, 0.991600, 0.685714, 0.903867
8, 0.890000, 0.937500, 1.000000, 0.521739, 0.626866, 0.083333, 0.675664, 3.142857, 0.576923, 1.000000, 0.685714, 0.935414
9, 0.910000, 0.949438, 1.000000, 0.550000, 0.661654, 0.181818, 0.703123, 3.112500, 0.604396, 1.000000, 0.709677, 0.948091
10, 0.890000, 0.930380, 1.000000, 0.656250, 0.721941, 0.476190, 0.751581, 3.161765, 0.704698, 0.999096, 0.792453, 0.927771
11, 0.860000, 0.917647, 1.000000, 0.517241, 0.603399, 0.066667, 0.657304, 3.197183, 0.572519, 0.999216, 0.681818, 0.913944
12, 0.930000, 0.957317, 1.000000, 0.720000, 0.794118, 0.611111, 0.811503, 3.093333, 0.762712, 1.000000, 0.837209, 0.956365
13, 0.860000, 0.918605, 1.000000, 0.500000, 0.590164, 0.000000, 0.646997, 3.194444, 0.555556, 0.995847, 0.666667, 0.914991
14, 0.860000, 0.891369, 0.937500, 0.535714, 0.600457, 0.125000, 0.639103, 3.058099, 0.585937, 0.996280, 0.681818, 0.890175
15, 0.940000, 0.963855, 1.000000, 0.739130, 0.813549, 0.647059, 0.828070, 3.077922, 0.779817, 1.000000, 0.850000, 0.963177
16, 0.870000, 0.898299, 0.941176, 0.571429, 0.633596, 0.235294, 0.666435, 3.051367, 0.620155, 0.994330, 0.711111, 0.897275
17, 0.930000, 0.961111, 1.000000, 0.588235, 0.703390, 0.300000, 0.736535, 3.084337, 0.641026, 0.994444, 0.740741, 0.960324
18, 0.920000, 0.951807, 1.000000, 0.680000, 0.761194, 0.529412, 0.783874, 3.106667, 0.726496, 0.996811, 0.809524, 0.950586
19, 0.860000, 0.916667, 1.000000, 0.533333, 0.615385, 0.125000, 0.666667, 3.200000, 0.588235, 0.998512, 0.695652, 0.912871
20, 0.830000, 0.908602, 1.000000, 0.291667, 0.384949, -1.428571, 0.488212, 3.223684, 0.339806, 0.996928, 0.451613, 0.903994
