# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.840000, 0.913043, 1.000000, 0.333333, 0.431818, -1.000000, 0.524750, 3.210526, 0.384615, 1.000000, 0.500000, 0.908893
1, 0.880000, 0.883469, 0.888889, 0.615385, 0.653580, 0.333333, 0.671739, 2.916667, 0.655738, 0.996612, 0.727273, 0.883452
2, 0.870000, 0.786275, 0.666667, 0.555556, 0.528986, 0.133333, 0.532138, 2.437229, 0.574713, 0.981569, 0.606061, 0.777124
3, 0.880000, 0.870432, 0.857143, 0.545455, 0.597855, 0.142857, 0.620573, 2.845865, 0.588235, 0.992940, 0.666667, 0.870330
4, 0.970000, 0.981928, 1.000000, 0.850000, 0.900662, 0.823529, 0.905139, 3.037500, 0.876289, 0.998583, 0.918919, 0.981761
5, 0.940000, 0.935216, 0.928571, 0.722222, 0.777448, 0.571429, 0.786149, 2.918871, 0.755814, 0.994186, 0.812500, 0.935192
6, 0.920000, 0.956522, 1.000000, 0.500000, 0.626866, 0.000000, 0.675664, 3.095238, 0.555556, 1.000000, 0.666667, 0.955533
7, 0.970000, 0.950044, 0.923077, 0.857143, 0.871575, 0.769231, 0.872375, 2.869683, 0.869565, 0.999116, 0.888889, 0.949661
8, 0.970000, 0.946970, 0.916667, 0.846154, 0.862888, 0.750000, 0.863791, 2.856589, 0.859375, 0.999527, 0.880000, 0.946485
9, 0.970000, 0.983146, 1.000000, 0.785714, 0.863139, 0.727273, 0.871338, 3.034884, 0.820896, 1.000000, 0.880000, 0.983002
10, 0.970000, 0.981013, 1.000000, 0.875000, 0.914089, 0.857143, 0.917481, 3.039474, 0.897436, 0.999699, 0.933333, 0.980829
11, 0.960000, 0.949020, 0.933333, 0.823529, 0.851301, 0.733333, 0.853664, 2.903252, 0.843373, 0.996863, 0.875000, 0.948890
12, 0.970000, 0.981707, 1.000000, 0.857143, 0.904580, 0.833333, 0.908727, 3.037975, 0.882353, 1.000000, 0.923077, 0.981537
13, 0.920000, 0.923588, 0.928571, 0.650000, 0.718310, 0.428571, 0.734898, 2.945750, 0.691489, 0.999585, 0.764706, 0.923575
14, 0.960000, 0.950893, 0.937500, 0.833333, 0.858357, 0.750000, 0.860518, 2.912037, 0.852273, 1.000000, 0.882353, 0.950799
15, 0.960000, 0.975904, 1.000000, 0.809524, 0.870382, 0.764706, 0.877787, 3.050633, 0.841584, 0.999291, 0.894737, 0.975606
16, 0.890000, 0.910347, 0.941176, 0.615385, 0.677986, 0.352941, 0.702817, 3.019339, 0.661157, 0.996102, 0.744186, 0.909825
17, 0.950000, 0.927778, 0.900000, 0.692308, 0.754902, 0.500000, 0.763200, 2.846512, 0.725806, 0.992222, 0.782609, 0.927362
18, 0.960000, 0.952516, 0.941176, 0.842105, 0.864590, 0.764706, 0.866579, 2.919853, 0.860215, 0.996811, 0.888889, 0.952448
19, 0.920000, 0.927083, 0.937500, 0.681818, 0.741602, 0.500000, 0.755934, 2.965909, 0.721154, 0.998140, 0.789474, 0.927025
20, 0.910000, 0.951613, 1.000000, 0.437500, 0.566474, -0.285714, 0.628619, 3.107143, 0.492958, 0.995392, 0.608696, 0.950382
