# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.640000, 0.804348, 1.000000, 0.181818, 0.199288, -3.500000, 0.332674, 3.642857, 0.217391, 0.817935, 0.307692, 0.780189
1, 0.710000, 0.823171, 1.000000, 0.382979, 0.396839, -0.611111, 0.497529, 3.547170, 0.436893, 0.914634, 0.553846, 0.803954
2, 0.610000, 0.688235, 0.800000, 0.250000, 0.197531, -1.600000, 0.269069, 3.334694, 0.289855, 0.841176, 0.380952, 0.679100
3, 0.470000, 0.691860, 1.000000, 0.208955, 0.148458, -2.785714, 0.283162, 4.606061, 0.248227, 0.855066, 0.345679, 0.619452
4, 0.560000, 0.711552, 0.941176, 0.271186, 0.213443, -1.588235, 0.323142, 3.957353, 0.316206, 0.859674, 0.421053, 0.673483
5, 0.690000, 0.789867, 0.928571, 0.302326, 0.310498, -1.214286, 0.406322, 3.392857, 0.349462, 0.868771, 0.456140, 0.777593
6, 0.550000, 0.755435, 1.000000, 0.150943, 0.143184, -4.625000, 0.277691, 3.957447, 0.181818, 0.875000, 0.262295, 0.714751
7, 0.620000, 0.748895, 0.923077, 0.244898, 0.228583, -1.923077, 0.334884, 3.586154, 0.287081, 0.862069, 0.387097, 0.728357
8, 0.510000, 0.721591, 1.000000, 0.196721, 0.160384, -3.083333, 0.295268, 4.256410, 0.234375, 0.884470, 0.328767, 0.665719
9, 0.630000, 0.792135, 1.000000, 0.229167, 0.236168, -2.363636, 0.365917, 3.711538, 0.270936, 0.850358, 0.372881, 0.764375
10, 0.530000, 0.667571, 0.904762, 0.296875, 0.191328, -1.238095, 0.284387, 4.133053, 0.342960, 0.858047, 0.447059, 0.624012
11, 0.610000, 0.770588, 1.000000, 0.277778, 0.261364, -1.600000, 0.387720, 3.847826, 0.324675, 0.918039, 0.434783, 0.735647
12, 0.730000, 0.835366, 1.000000, 0.400000, 0.423077, -0.500000, 0.517970, 3.490909, 0.454545, 0.898374, 0.571429, 0.818982
13, 0.600000, 0.767442, 1.000000, 0.259259, 0.243570, -1.857143, 0.372389, 3.869565, 0.304348, 0.854651, 0.411765, 0.731357
14, 0.590000, 0.755952, 1.000000, 0.280702, 0.251278, -1.562500, 0.379068, 3.953488, 0.327869, 0.825521, 0.438356, 0.715475
15, 0.650000, 0.789157, 1.000000, 0.326923, 0.318005, -1.058824, 0.434815, 3.729167, 0.377778, 0.930546, 0.492754, 0.760469
16, 0.540000, 0.722892, 1.000000, 0.269841, 0.214749, -1.705882, 0.346829, 4.243243, 0.315985, 0.864281, 0.425000, 0.667670
17, 0.690000, 0.783333, 0.900000, 0.230769, 0.247573, -2.100000, 0.348539, 3.300000, 0.271084, 0.735556, 0.367347, 0.774597
18, 0.480000, 0.686747, 1.000000, 0.246377, 0.168532, -2.058824, 0.303348, 4.677419, 0.290102, 0.872077, 0.395349, 0.611142
19, 0.660000, 0.797619, 1.000000, 0.320000, 0.320000, -1.125000, 0.436436, 3.680000, 0.370370, 0.872396, 0.484848, 0.771517
20, 0.500000, 0.731183, 1.000000, 0.122807, 0.107462, -6.142857, 0.238289, 4.162791, 0.148936, 0.783410, 0.218750, 0.679975
