# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.850000, 0.918478, 1.000000, 0.347826, 0.450952, -0.875000, 0.539551, 3.194805, 0.400000, 0.986413, 0.516129, 0.914853
1, 0.880000, 0.861789, 0.833333, 0.625000, 0.640288, 0.333333, 0.650902, 2.789954, 0.657895, 1.000000, 0.714286, 0.861319
2, 0.780000, 0.760784, 0.733333, 0.379310, 0.376771, -0.466667, 0.410429, 2.735323, 0.419847, 0.991373, 0.500000, 0.760289
3, 0.710000, 0.831395, 1.000000, 0.325581, 0.354982, -1.071429, 0.464535, 3.508772, 0.376344, 0.996262, 0.491228, 0.814120
4, 0.810000, 0.862155, 0.941176, 0.470588, 0.518256, -0.117647, 0.574349, 3.159276, 0.522876, 0.994330, 0.627451, 0.858525
5, 0.840000, 0.877076, 0.928571, 0.464286, 0.531616, -0.142857, 0.582810, 3.068410, 0.515873, 0.991694, 0.619048, 0.875563
6, 0.770000, 0.875000, 1.000000, 0.258065, 0.324324, -1.875000, 0.439941, 3.333333, 0.303030, 1.000000, 0.410256, 0.866025
7, 0.910000, 0.751989, 0.538462, 0.700000, 0.558824, 0.307692, 0.564966, 2.112637, 0.660377, 0.992485, 0.608696, 0.721037
8, 0.810000, 0.856061, 0.916667, 0.379310, 0.441833, -0.583333, 0.509985, 3.090476, 0.429688, 0.991477, 0.536585, 0.853913
9, 0.900000, 0.903984, 0.909091, 0.526316, 0.612703, 0.090909, 0.644415, 2.930682, 0.574713, 0.997446, 0.666667, 0.903969
10, 0.780000, 0.790838, 0.809524, 0.485714, 0.467312, -0.047619, 0.496722, 2.914130, 0.527950, 0.981917, 0.607143, 0.790617
11, 0.820000, 0.866667, 0.933333, 0.451613, 0.509537, -0.200000, 0.566176, 3.116667, 0.503597, 1.000000, 0.608696, 0.864099
12, 0.860000, 0.871274, 0.888889, 0.571429, 0.610245, 0.222222, 0.635363, 2.949206, 0.615385, 0.991531, 0.695652, 0.871096
13, 0.730000, 0.843023, 1.000000, 0.341463, 0.379596, -0.928571, 0.484004, 3.457627, 0.393258, 0.998339, 0.509091, 0.828279
14, 0.890000, 0.934524, 1.000000, 0.592593, 0.679860, 0.312500, 0.717629, 3.150685, 0.645161, 0.985863, 0.744186, 0.932227
15, 0.880000, 0.927711, 1.000000, 0.586207, 0.667958, 0.294118, 0.708134, 3.169014, 0.639098, 0.991850, 0.739130, 0.924890
16, 0.810000, 0.838767, 0.882353, 0.468750, 0.501574, -0.117647, 0.545588, 3.022282, 0.517241, 1.000000, 0.612245, 0.837634
17, 0.880000, 0.888889, 0.900000, 0.450000, 0.538462, -0.200000, 0.583333, 2.939241, 0.500000, 0.987778, 0.600000, 0.888819
18, 0.760000, 0.785259, 0.823529, 0.400000, 0.401496, -0.411765, 0.449305, 2.985769, 0.445860, 0.989015, 0.538462, 0.784326
19, 0.870000, 0.897321, 0.937500, 0.555556, 0.621653, 0.187500, 0.656188, 3.041667, 0.604839, 0.994420, 0.697674, 0.896421
20, 0.700000, 0.772657, 0.857143, 0.171429, 0.191375, -3.285714, 0.291707, 3.167411, 0.204082, 0.996160, 0.285714, 0.768025
