# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.920000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.820652, 0.000000, 0.000000
1, 0.790000, 0.850271, 0.944444, 0.459459, 0.496161, -0.166667, 0.557450, 3.211470, 0.512048, 0.914634, 0.618182, 0.845040
2, 0.570000, 0.747059, 1.000000, 0.258621, 0.226619, -1.866667, 0.357476, 4.023810, 0.303644, 0.896078, 0.410959, 0.702935
3, 0.450000, 0.680233, 1.000000, 0.202899, 0.136307, -2.928571, 0.270440, 4.774194, 0.241379, 0.785714, 0.337349, 0.600387
4, 0.450000, 0.645287, 0.941176, 0.228571, 0.129747, -2.235294, 0.238183, 4.744422, 0.269360, 0.846917, 0.367816, 0.573450
5, 0.400000, 0.651163, 1.000000, 0.189189, 0.108205, -3.285714, 0.239158, 5.307692, 0.225806, 0.787375, 0.318182, 0.549841
6, 0.270000, 0.603261, 1.000000, 0.098765, 0.039979, -8.125000, 0.142819, 6.842105, 0.120482, 0.852582, 0.179775, 0.454447
7, 0.650000, 0.602564, 0.538462, 0.194444, 0.117053, -1.692308, 0.143719, 2.576923, 0.222930, 0.827586, 0.285714, 0.599145
8, 0.510000, 0.721591, 1.000000, 0.196721, 0.160384, -3.083333, 0.295268, 4.256410, 0.234375, 0.745265, 0.328767, 0.665719
9, 0.440000, 0.685393, 1.000000, 0.164179, 0.114764, -4.090909, 0.246729, 4.696970, 0.197133, 0.848315, 0.282051, 0.608922
10, 0.480000, 0.600964, 0.809524, 0.261538, 0.114140, -1.476190, 0.172437, 4.167435, 0.302491, 0.858951, 0.395349, 0.563614
11, 0.340000, 0.611765, 1.000000, 0.185185, 0.079498, -3.400000, 0.203456, 6.473684, 0.221239, 0.800000, 0.312500, 0.472789
12, 0.620000, 0.768293, 1.000000, 0.321429, 0.294205, -1.111111, 0.415300, 3.863636, 0.371901, 0.878049, 0.486486, 0.732520
13, 0.410000, 0.656977, 1.000000, 0.191781, 0.113582, -3.214286, 0.245378, 5.185185, 0.228758, 0.815615, 0.321839, 0.560316
14, 0.310000, 0.589286, 1.000000, 0.188235, 0.065041, -3.312500, 0.183340, 7.600000, 0.224719, 0.779762, 0.316832, 0.422577
15, 0.570000, 0.740964, 1.000000, 0.283333, 0.240283, -1.529412, 0.369522, 4.075000, 0.330739, 0.844082, 0.441558, 0.694210
16, 0.460000, 0.674699, 1.000000, 0.239437, 0.154400, -2.176471, 0.289238, 4.862069, 0.282392, 0.865698, 0.386364, 0.591099
17, 0.470000, 0.705556, 1.000000, 0.158730, 0.122517, -4.300000, 0.255452, 4.432432, 0.190840, 0.735556, 0.273973, 0.641179
18, 0.540000, 0.722892, 1.000000, 0.269841, 0.214749, -1.705882, 0.346829, 4.243243, 0.315985, 0.887314, 0.425000, 0.667670
19, 0.560000, 0.738095, 1.000000, 0.266667, 0.225352, -1.750000, 0.356348, 4.100000, 0.312500, 0.844866, 0.421053, 0.690066
20, 0.470000, 0.715054, 1.000000, 0.116667, 0.095563, -6.571429, 0.224007, 4.325000, 0.141700, 0.817972, 0.208955, 0.655826
