# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.080000, 0.500000, 1.000000, 0.080000, 0.000000, -10.500000, 0.000000, 3.000000, 0.098039, 0.366848, 0.148148, 0.000000
1, 0.230000, 0.530488, 1.000000, 0.189474, 0.022843, -3.277778, 0.107486, 18.400000, 0.226131, 0.436992, 0.318584, 0.246932
2, 0.320000, 0.600000, 1.000000, 0.180723, 0.069767, -3.533333, 0.190117, 7.000000, 0.216138, 0.607059, 0.306122, 0.447214
3, 0.410000, 0.627076, 0.928571, 0.183099, 0.093980, -3.214286, 0.194348, 4.928571, 0.218121, 0.578904, 0.305882, 0.549841
4, 0.370000, 0.409993, 0.470588, 0.129032, -0.087707, -2.705882, -0.139310, 3.803245, 0.150943, 0.501063, 0.202532, 0.405490
5, 0.430000, 0.519103, 0.642857, 0.147541, 0.015884, -3.071429, 0.027180, 3.815126, 0.174419, 0.578073, 0.240000, 0.504136
6, 0.490000, 0.437500, 0.375000, 0.061224, -0.037429, -5.375000, -0.067837, 2.750000, 0.073529, 0.508152, 0.105263, 0.433013
7, 0.550000, 0.512378, 0.461538, 0.136364, 0.012291, -2.461538, 0.016773, 2.698587, 0.158730, 0.599469, 0.210526, 0.509850
8, 0.640000, 0.507576, 0.333333, 0.125000, 0.008811, -2.000000, 0.010555, 2.133333, 0.142857, 0.648674, 0.181818, 0.476731
9, 0.680000, 0.501532, 0.272727, 0.111111, 0.001871, -1.909091, 0.002160, 1.914685, 0.126050, 0.603677, 0.157895, 0.446299
10, 0.620000, 0.444846, 0.142857, 0.130435, -0.106581, -0.809524, -0.106762, 1.624697, 0.132743, 0.580470, 0.136364, 0.326636
11, 0.650000, 0.382353, 0.000000, 0.000000, -0.206897, -1.333333, -0.210042, 3.307692, 0.000000, 0.630588, 0.000000, 0.000000
12, 0.730000, 0.466802, 0.055556, 0.090909, -0.078275, -0.500000, -0.081525, 1.250000, 0.080645, 0.660569, 0.068966, 0.220863
13, 0.830000, 0.512458, 0.071429, 0.200000, 0.034091, -0.214286, 0.039670, 1.191638, 0.147059, 0.750000, 0.105263, 0.260972
14, 0.830000, 0.519345, 0.062500, 0.333333, 0.057650, -0.062500, 0.083149, 1.149390, 0.178571, 0.682292, 0.105263, 0.247006
15, 0.820000, 0.493976, 0.000000, 0.000000, -0.019253, -0.058824, -0.045485, 3.012195, 0.000000, 0.693834, 0.000000, 0.000000
16, 0.830000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.680369, 0.000000, 0.000000
17, 0.900000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.751111, 0.000000, 0.000000
18, 0.830000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.784550, 0.000000, 0.000000
19, 0.840000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.825893, 0.000000, 0.000000
20, 0.930000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.725038, 0.000000, 0.000000
