# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.680000, 0.769022, 0.875000, 0.184211, 0.198397, -3.000000, 0.300724, 3.258197, 0.218750, 0.824049, 0.304348, 0.761684
1, 0.590000, 0.750000, 1.000000, 0.305085, 0.264706, -1.277778, 0.390567, 4.000000, 0.354331, 0.813686, 0.467532, 0.707107
2, 0.310000, 0.594118, 1.000000, 0.178571, 0.065041, -3.600000, 0.183340, 7.312500, 0.213675, 0.792549, 0.303030, 0.433861
3, 0.350000, 0.622093, 1.000000, 0.177215, 0.082957, -3.642857, 0.208023, 6.095238, 0.212121, 0.750000, 0.301075, 0.494152
4, 0.170000, 0.500000, 1.000000, 0.170000, 0.000000, -3.882353, 0.000000, 3.000000, 0.203837, 0.795181, 0.290598, 0.000000
5, 0.300000, 0.593023, 1.000000, 0.166667, 0.060150, -4.000000, 0.176090, 7.375000, 0.200000, 0.779070, 0.285714, 0.431331
6, 0.200000, 0.565217, 1.000000, 0.090909, 0.023437, -9.000000, 0.108893, 9.666667, 0.111111, 0.842391, 0.166667, 0.361158
7, 0.300000, 0.597701, 1.000000, 0.156627, 0.059393, -4.384615, 0.174943, 7.117647, 0.188406, 0.764810, 0.270833, 0.442043
8, 0.340000, 0.625000, 1.000000, 0.153846, 0.074074, -4.500000, 0.196116, 6.000000, 0.185185, 0.827178, 0.266667, 0.500000
9, 0.120000, 0.505618, 1.000000, 0.111111, 0.002494, -7.000000, 0.035333, 91.000000, 0.135135, 0.748723, 0.200000, 0.106000
10, 0.270000, 0.537975, 1.000000, 0.223404, 0.033369, -2.476190, 0.130259, 15.166667, 0.264484, 0.803797, 0.365217, 0.275589
11, 0.280000, 0.576471, 1.000000, 0.172414, 0.051383, -3.800000, 0.162386, 8.538462, 0.206612, 0.791765, 0.294118, 0.391077
12, 0.330000, 0.591463, 1.000000, 0.211765, 0.074586, -2.722222, 0.196818, 7.466667, 0.251397, 0.766260, 0.349515, 0.427699
13, 0.230000, 0.552326, 1.000000, 0.153846, 0.031690, -4.500000, 0.126886, 11.555556, 0.185185, 0.838040, 0.266667, 0.323498
14, 0.350000, 0.613095, 1.000000, 0.197531, 0.085537, -3.062500, 0.211375, 6.421053, 0.235294, 0.729911, 0.329897, 0.475595
15, 0.330000, 0.596386, 1.000000, 0.202381, 0.075097, -2.941176, 0.197518, 7.187500, 0.240793, 0.813253, 0.336634, 0.439057
16, 0.340000, 0.602410, 1.000000, 0.204819, 0.080524, -2.882353, 0.204819, 6.882353, 0.243553, 0.768604, 0.340000, 0.452570
17, 0.250000, 0.583333, 1.000000, 0.117647, 0.038462, -6.500000, 0.140028, 8.000000, 0.142857, 0.833333, 0.210526, 0.408248
18, 0.380000, 0.626506, 1.000000, 0.215190, 0.103269, -2.647059, 0.233336, 5.952381, 0.255255, 0.763997, 0.354167, 0.503003
19, 0.330000, 0.601190, 1.000000, 0.192771, 0.075097, -3.187500, 0.197518, 6.941176, 0.229885, 0.839286, 0.323232, 0.449868
20, 0.170000, 0.553763, 1.000000, 0.077778, 0.016588, -10.857143, 0.091451, 11.300000, 0.095368, 0.790323, 0.144330, 0.327913
