# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.930000, 0.847826, 0.750000, 0.545455, 0.593968, 0.125000, 0.603170, 2.557471, 0.576923, 0.970788, 0.631579, 0.842163
1, 0.890000, 0.867886, 0.833333, 0.652174, 0.663814, 0.388889, 0.671703, 2.774775, 0.681818, 0.992547, 0.731707, 0.867198
2, 0.770000, 0.809804, 0.866667, 0.382353, 0.407216, -0.533333, 0.467047, 3.061458, 0.430464, 0.976471, 0.530612, 0.807805
3, 0.650000, 0.796512, 1.000000, 0.285714, 0.289773, -1.500000, 0.411625, 3.686275, 0.333333, 0.992110, 0.444444, 0.770080
4, 0.790000, 0.873494, 1.000000, 0.447368, 0.500951, -0.235294, 0.578082, 3.338710, 0.502959, 0.985471, 0.618182, 0.864285
5, 0.780000, 0.872093, 1.000000, 0.388889, 0.448898, -0.571429, 0.537964, 3.343750, 0.443038, 0.973837, 0.560000, 0.862662
6, 0.740000, 0.858696, 1.000000, 0.235294, 0.288840, -2.250000, 0.410850, 3.393939, 0.277778, 1.000000, 0.380952, 0.846990
7, 0.820000, 0.863837, 0.923077, 0.413793, 0.477655, -0.384615, 0.539312, 3.089011, 0.465116, 0.995579, 0.571429, 0.861804
8, 0.790000, 0.880682, 1.000000, 0.363636, 0.433657, -0.750000, 0.526174, 3.313433, 0.416667, 0.955966, 0.533333, 0.872562
9, 0.840000, 0.910112, 1.000000, 0.407407, 0.500936, -0.454545, 0.578071, 3.219178, 0.462185, 0.985700, 0.578947, 0.905663
10, 0.830000, 0.874925, 0.952381, 0.555556, 0.594078, 0.190476, 0.636291, 3.158730, 0.606061, 0.965943, 0.701754, 0.871489
11, 0.880000, 0.929412, 1.000000, 0.555556, 0.646018, 0.200000, 0.690742, 3.164384, 0.609756, 0.998039, 0.714286, 0.926727
12, 0.890000, 0.911247, 0.944444, 0.629630, 0.688209, 0.388889, 0.711758, 3.027778, 0.674603, 0.984417, 0.755556, 0.910642
13, 0.740000, 0.848837, 1.000000, 0.350000, 0.392523, -0.857143, 0.494152, 3.433333, 0.402299, 0.949336, 0.518519, 0.835269
14, 0.880000, 0.877976, 0.875000, 0.583333, 0.628713, 0.250000, 0.648906, 2.885135, 0.625000, 0.948661, 0.700000, 0.877971
15, 0.850000, 0.862863, 0.882353, 0.535714, 0.577227, 0.117647, 0.607143, 2.950420, 0.581395, 0.997165, 0.666667, 0.862643
16, 0.740000, 0.796598, 0.882353, 0.384615, 0.391671, -0.529412, 0.456841, 3.171486, 0.433526, 0.935507, 0.535714, 0.791969
17, 0.840000, 0.777778, 0.700000, 0.350000, 0.384615, -0.600000, 0.416667, 2.568831, 0.388889, 0.956667, 0.466667, 0.773879
18, 0.800000, 0.879518, 1.000000, 0.459459, 0.517141, -0.176471, 0.590547, 3.317460, 0.515152, 0.976612, 0.629630, 0.871227
19, 0.820000, 0.892857, 1.000000, 0.470588, 0.539877, -0.125000, 0.608069, 3.272727, 0.526316, 0.985491, 0.640000, 0.886405
20, 0.690000, 0.767281, 0.857143, 0.166667, 0.183351, -3.428571, 0.284150, 3.190476, 0.198675, 0.956989, 0.279070, 0.762001
