# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
1, 0.990000, 0.994624, 1.000000, 0.875000, 0.927954, 0.857143, 0.930372, 3.010870, 0.897436, 0.996928, 0.933333, 0.994609
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
3, 0.980000, 0.857143, 0.714286, 1.000000, 0.823009, 0.714286, 0.836211, 2.428571, 0.925926, 0.998464, 0.833333, 0.845154
4, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
5, 0.990000, 0.937500, 0.875000, 1.000000, 0.927954, 0.875000, 0.930372, 2.750000, 0.972222, 0.999321, 0.933333, 0.935414
6, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
7, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
8, 0.940000, 0.744444, 0.500000, 0.833333, 0.594595, 0.400000, 0.617578, 2.011236, 0.735294, 0.000000, 0.625000, 0.703167
9, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
10, 0.980000, 0.911348, 0.833333, 0.833333, 0.822695, 0.666667, 0.822695, 2.677419, 0.833333, 0.998227, 0.833333, 0.908002
11, 0.970000, 0.833333, 0.666667, 1.000000, 0.784483, 0.666667, 0.803362, 2.333333, 0.909091, 0.000000, 0.800000, 0.816497
12, 0.990000, 0.994565, 1.000000, 0.888889, 0.935733, 0.875000, 0.937671, 3.010989, 0.909091, 1.000000, 0.941176, 0.994550
13, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
14, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
15, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
