# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.810000, 0.435484, 0.000000, 0.000000, -0.096998, -1.714286, -0.101311, 3.148148, 0.000000, 0.044547, 0.000000, 0.000000
1, 0.860000, 0.462366, 0.000000, 0.000000, -0.075269, -1.000000, -0.075269, 3.081395, 0.000000, 0.073733, 0.000000, 0.000000
2, 0.900000, 0.463918, 0.000000, 0.000000, -0.043841, -2.333333, -0.048248, 3.077778, 0.000000, 0.054983, 0.000000, 0.000000
3, 0.880000, 0.473118, 0.000000, 0.000000, -0.061947, -0.714286, -0.062941, 3.056818, 0.000000, 0.069124, 0.000000, 0.000000
4, 0.930000, 0.489474, 0.000000, 0.000000, -0.029412, -0.400000, -0.032774, 3.021505, 0.000000, 0.349474, 0.000000, 0.000000
5, 0.910000, 0.494565, 0.000000, 0.000000, -0.018100, -0.125000, -0.029637, 3.010989, 0.000000, 0.441576, 0.000000, 0.000000
6, 0.900000, 0.468750, 0.000000, 0.000000, -0.050420, -1.500000, -0.051571, 3.066667, 0.000000, 0.627604, 0.000000, 0.000000
7, 0.900000, 0.483871, 0.000000, 0.000000, -0.043841, -0.428571, -0.048248, 3.033333, 0.000000, 0.837174, 0.000000, 0.000000
8, 0.890000, 0.538889, 0.100000, 0.333333, 0.112903, -0.100000, 0.136782, 1.222727, 0.227273, 0.527778, 0.153846, 0.312694
9, 0.920000, 0.614130, 0.250000, 0.500000, 0.295775, 0.000000, 0.316013, 1.522222, 0.416667, 0.754076, 0.333333, 0.494535
10, 0.910000, 0.718085, 0.500000, 0.333333, 0.353448, -0.500000, 0.361954, 2.068182, 0.357143, 0.813830, 0.400000, 0.684167
11, 0.900000, 0.744811, 0.555556, 0.454545, 0.445061, -0.111111, 0.447828, 2.181699, 0.471698, 0.713065, 0.500000, 0.720365
12, 0.910000, 0.722826, 0.500000, 0.444444, 0.421594, -0.125000, 0.422467, 2.057471, 0.454545, 0.535326, 0.470588, 0.687624
13, 0.940000, 0.739130, 0.500000, 0.666667, 0.539877, 0.250000, 0.546342, 2.022222, 0.625000, 0.687500, 0.571429, 0.699379
14, 0.910000, 0.687404, 0.428571, 0.375000, 0.351585, -0.285714, 0.352501, 1.913961, 0.384615, 0.600614, 0.400000, 0.636812
15, 0.940000, 0.684211, 0.400000, 0.400000, 0.368421, -0.200000, 0.368421, 1.832609, 0.400000, 0.553684, 0.400000, 0.622389
