# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
1, 0.990000, 0.994624, 1.000000, 0.875000, 0.927954, 0.857143, 0.930372, 3.010870, 0.897436, 1.000000, 0.933333, 0.994609
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
4, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
5, 0.990000, 0.994565, 1.000000, 0.888889, 0.935733, 0.875000, 0.937671, 3.010989, 0.909091, 1.000000, 0.941176, 0.994550
6, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
7, 0.980000, 0.989247, 1.000000, 0.777778, 0.864315, 0.714286, 0.872383, 3.021978, 0.813953, 0.994624, 0.875000, 0.989189
8, 0.990000, 0.994444, 1.000000, 0.909091, 0.946809, 0.900000, 0.948151, 3.011236, 0.925926, 1.000000, 0.952381, 0.994429
9, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
10, 0.990000, 0.994681, 1.000000, 0.857143, 0.917763, 0.833333, 0.920882, 3.010753, 0.882353, 0.994681, 0.923077, 0.994667
11, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
12, 0.980000, 0.989130, 1.000000, 0.800000, 0.878049, 0.750000, 0.884652, 3.022222, 0.833333, 1.000000, 0.888889, 0.989071
13, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
14, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
15, 0.970000, 0.984211, 1.000000, 0.625000, 0.754098, 0.400000, 0.777987, 3.032609, 0.675676, 1.000000, 0.769231, 0.984084
