# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.980000, 0.986842, 1.000000, 0.923077, 0.946695, 0.916667, 0.948043, 3.027027, 0.937500, 0.997807, 0.960000, 0.986754
1, 0.980000, 0.954545, 0.909091, 1.000000, 0.939759, 0.909091, 0.941469, 2.818182, 0.980392, 1.000000, 0.952381, 0.953463
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
4, 0.980000, 0.984375, 1.000000, 0.947368, 0.957118, 0.944444, 0.958000, 3.032258, 0.957447, 0.995660, 0.972973, 0.984251
5, 0.960000, 0.947368, 0.894737, 1.000000, 0.913345, 0.894737, 0.916794, 2.789474, 0.977011, 1.000000, 0.944444, 0.945905
6, 0.940000, 0.931239, 0.894737, 0.944444, 0.871355, 0.842105, 0.872157, 2.822807, 0.934066, 0.991511, 0.918919, 0.930524
7, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
8, 0.960000, 0.970588, 1.000000, 0.888889, 0.911032, 0.875000, 0.914659, 3.062500, 0.909091, 0.998162, 0.941176, 0.970143
9, 0.980000, 0.981481, 1.000000, 0.958333, 0.959872, 0.956522, 0.960645, 3.038462, 0.966387, 1.000000, 0.978723, 0.981307
10, 0.960000, 0.964286, 1.000000, 0.916667, 0.919614, 0.909091, 0.922600, 3.076923, 0.932203, 0.996753, 0.956522, 0.963624
