# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.980000, 0.986842, 1.000000, 0.923077, 0.946695, 0.916667, 0.948043, 3.027027, 0.937500, 0.997807, 0.960000, 0.986754
1, 0.960000, 0.909091, 0.818182, 1.000000, 0.875312, 0.818182, 0.882196, 2.636364, 0.957447, 1.000000, 0.900000, 0.904534
2, 0.980000, 0.980000, 0.960000, 1.000000, 0.960000, 0.960000, 0.960769, 2.920000, 0.991736, 1.000000, 0.979592, 0.979796
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
4, 0.980000, 0.984375, 1.000000, 0.947368, 0.957118, 0.944444, 0.958000, 3.032258, 0.957447, 0.994792, 0.972973, 0.984251
5, 0.960000, 0.947368, 0.894737, 1.000000, 0.913345, 0.894737, 0.916794, 2.789474, 0.977011, 1.000000, 0.944444, 0.945905
6, 0.920000, 0.904924, 0.842105, 0.941176, 0.826690, 0.789474, 0.829811, 2.717544, 0.919540, 0.989813, 0.888889, 0.902741
7, 0.980000, 0.964286, 0.928571, 1.000000, 0.949290, 0.928571, 0.950513, 2.857143, 0.984848, 1.000000, 0.962963, 0.963624
8, 0.960000, 0.970588, 1.000000, 0.888889, 0.911032, 0.875000, 0.914659, 3.062500, 0.909091, 0.996324, 0.941176, 0.970143
9, 0.960000, 0.959742, 0.956522, 0.956522, 0.919485, 0.913043, 0.919485, 2.951505, 0.956522, 0.998390, 0.956522, 0.959737
10, 0.960000, 0.959416, 0.954545, 0.954545, 0.918831, 0.909091, 0.918831, 2.946128, 0.954545, 0.994318, 0.954545, 0.959403
