# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.920000, 0.861842, 0.750000, 0.900000, 0.767442, 0.666667, 0.772683, 2.527027, 0.865385, 0.976974, 0.818182, 0.854554
1, 0.960000, 0.909091, 0.818182, 1.000000, 0.875312, 0.818182, 0.882196, 2.636364, 0.957447, 0.954545, 0.900000, 0.904534
2, 0.760000, 0.760000, 0.520000, 1.000000, 0.520000, 0.520000, 0.592749, 2.040000, 0.844156, 1.000000, 0.684211, 0.721110
3, 0.920000, 0.846154, 0.692308, 1.000000, 0.769053, 0.692308, 0.790421, 2.384615, 0.918367, 1.000000, 0.818182, 0.832050
4, 0.880000, 0.833333, 0.666667, 1.000000, 0.719101, 0.666667, 0.749269, 2.333333, 0.909091, 0.961806, 0.800000, 0.816497
5, 0.880000, 0.842105, 0.684211, 1.000000, 0.728752, 0.684211, 0.757138, 2.368421, 0.915493, 1.000000, 0.812500, 0.827170
6, 0.800000, 0.747029, 0.526316, 0.909091, 0.537893, 0.473684, 0.578904, 2.085965, 0.793651, 0.562818, 0.666667, 0.713679
7, 0.820000, 0.678571, 0.357143, 1.000000, 0.444444, 0.357143, 0.534522, 1.714286, 0.735294, 0.819444, 0.526316, 0.597614
8, 0.780000, 0.672794, 0.375000, 0.857143, 0.406048, 0.312500, 0.464596, 1.780303, 0.681818, 0.957721, 0.521739, 0.603300
9, 0.680000, 0.652174, 0.304348, 1.000000, 0.320883, 0.304348, 0.437152, 1.608696, 0.686275, 0.994364, 0.466667, 0.551677
10, 0.840000, 0.818182, 0.636364, 1.000000, 0.662162, 0.636364, 0.703526, 2.272727, 0.897436, 0.991071, 0.777778, 0.797724
