# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.960000, 0.973684, 1.000000, 0.857143, 0.896266, 0.833333, 0.901127, 3.055556, 0.882353, 0.998904, 0.923077, 0.973329
1, 0.960000, 0.909091, 0.818182, 1.000000, 0.875312, 0.818182, 0.882196, 2.636364, 0.957447, 1.000000, 0.900000, 0.904534
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 1.000000, 1.000000, 1.000000
4, 0.960000, 0.956597, 0.944444, 0.944444, 0.913194, 0.888889, 0.913194, 2.921147, 0.944444, 0.995660, 0.944444, 0.956520
5, 0.960000, 0.947368, 0.894737, 1.000000, 0.913345, 0.894737, 0.916794, 2.789474, 0.977011, 1.000000, 0.944444, 0.945905
6, 0.940000, 0.931239, 0.894737, 0.944444, 0.871355, 0.842105, 0.872157, 2.822807, 0.934066, 0.989813, 0.918919, 0.930524
7, 0.980000, 0.964286, 0.928571, 1.000000, 0.949290, 0.928571, 0.950513, 2.857143, 0.984848, 1.000000, 0.962963, 0.963624
8, 0.920000, 0.908088, 0.875000, 0.875000, 0.816176, 0.750000, 0.816176, 2.812500, 0.875000, 0.994485, 0.875000, 0.907485
9, 0.940000, 0.938003, 0.913043, 0.954545, 0.878837, 0.869565, 0.879554, 2.864548, 0.945946, 0.991948, 0.933333, 0.937671
10, 0.960000, 0.959416, 0.954545, 0.954545, 0.918831, 0.909091, 0.918831, 2.946128, 0.954545, 0.993506, 0.954545, 0.959403
