# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score,gmean
0, 0.980000, 0.986842, 1.000000, 0.923077, 0.946695, 0.916667, 0.948043, 3.027027, 0.937500, 0.992325, 0.960000, 0.986754
1, 0.960000, 0.909091, 0.818182, 1.000000, 0.875312, 0.818182, 0.882196, 2.636364, 0.957447, 0.991841, 0.900000, 0.904534
2, 0.980000, 0.980000, 1.000000, 0.961538, 0.960000, 0.960000, 0.960769, 3.041667, 0.968992, 0.000000, 0.980392, 0.979796
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000, 1.000000
4, 0.960000, 0.956597, 0.944444, 0.944444, 0.913194, 0.888889, 0.913194, 2.921147, 0.944444, 0.981771, 0.944444, 0.956520
5, 0.940000, 0.921053, 0.842105, 1.000000, 0.868651, 0.842105, 0.876243, 2.684211, 0.963855, 0.000000, 0.914286, 0.917663
6, 0.940000, 0.931239, 0.894737, 0.944444, 0.871355, 0.842105, 0.872157, 2.822807, 0.934066, 0.972835, 0.918919, 0.930524
7, 0.980000, 0.964286, 0.928571, 1.000000, 0.949290, 0.928571, 0.950513, 2.857143, 0.984848, 1.000000, 0.962963, 0.963624
8, 0.920000, 0.908088, 0.875000, 0.875000, 0.816176, 0.750000, 0.816176, 2.812500, 0.875000, 0.979779, 0.875000, 0.907485
9, 0.940000, 0.938003, 0.913043, 0.954545, 0.878837, 0.869565, 0.879554, 2.864548, 0.945946, 0.979871, 0.933333, 0.937671
10, 0.960000, 0.964286, 1.000000, 0.916667, 0.919614, 0.909091, 0.922600, 3.076923, 0.932203, 0.981331, 0.956522, 0.963624
